taxon_name,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type
Acanthus,shrub,,,,,,
Acanthus ebracteatus,subshrub,,,,,,
Andrographis,,,,,,,
Andrographis paniculata,,,,,,,
Barleria,,,,,,,
Barleria lupulina,,,,,,,
Barleria prionitis,shrub,,,,,,
Brunoniella,,,,,,,
Brunoniella acaulis,,,,,,,
Brunoniella acaulis,herb,,,annual,,,
Brunoniella australis,herb,,,annual,,,
Brunoniella linearifolia,herb,,,annual,,,
Dicliptera,,,,,,,
Dicliptera armata,,,,,,,
Dicliptera arnhemica,,,,,,,
Dicliptera australis,,,,,,,
Dicliptera ciliata,,,,,,,
Dicliptera spicata,,,,,,,
Dipteracanthus,subshrub herb,,,perennial,,,
Dipteracanthus australasicus,subshrub herb,,,perennial,,,
Dipteracanthus australasicus,subshrub shrub,,,,,,
Dipteracanthus australasicus,,,,,,,
Dipteracanthus bracteatus,herb,,,,,,
Graptophyllum,,,,,,,
Graptophyllum spinigerum,,,,,,,
Hygrophila,,,,,,,
Hygrophila angustifolia,herb,decumbent,,,,,
Hygrophila triflora,,,,,,,
Hypoestes,,,,,,,
Hypoestes floribunda,herb,,,perennial,,,
Nelsonia,,,,,,,
Nelsonia campestris,herb,prostrate decumbent,,annual perennial,,,
Pseuderanthemum,,,,,,,
Pseuderanthemum variabile,herb,,,perennial,,,
Rostellularia,,,,,,,
Rostellularia adscendens,herb,,,,,,
Ruellia,,,,,,,
Ruellia tuberosa,,,,,,,
Staurogyne,,,,,,,
Staurogyne spatulata,herb,decumbent,,,,,
Staurogyne leptocaulis,herb,decumbent,,,,,
Thunbergia,,,,,,,
Thunbergia arnhemica,,,,,,,
Adiantum,fern,,,,,terrestrial,
Adiantum aethiopicum,,,,,,,
Adiantum capillus-veneris,fern,,,,rhizome,,
Adiantum hispidulum,,stoloniferous,,,rhizome stolon,,
Adiantum philippense,,erect,,,rhizome,,
Agave,,,,,,,
Agave attenuata,,,,,,,
Cordyline,,,,,,,
Cordyline cannifolia,,,,,,,
Dracaena,,,,,,,
Dracaena angustifolia,shrub,,,,,,
,,,,,,,
Gunniopsis,,,,,,,
Gunniopsis quadrifida,,,,,,,
Gunniopsis septifraga,herb,,,annual,,,
Gunniopsis zygophylloides,herb,decumbent,,perennial,,,
Sesuvium,herb,,,perennial,,,
Sesuvium portulacastrum,herb,prostrate spreading,,perennial,,,
Tetragonia,,,,,,,
Tetragonia eremaea,,,,,,,
Trianthema,herb,prostrate,,,,,
Trianthema compactum,,,,,,,
Trianthema glossostigmum,,,,,,,
Trianthema megaspermum,,prostrate,,,,,
Trianthema oxycalyptrum,herb,prostrate,,,,,
Trianthema patellitectum,herb,prostrate,,,,,
Trianthema pilosum,herb,prostrate,,short_lived_perennial annual,,,
Trianthema portulacastrum,herb,procumbent,,annual,,,
Trianthema rhynchocalyptrum,herb,,,perennial,,,
Trianthema triquetrum,herb,prostrate spreading,,short_lived_perennial annual,,,
Trianthema turgidifolium,shrub herb,sprawling,,,,,
Zaleya,,,,,,,
Zaleya galericulata,,,,,,,
,,,,,,,
Caldesia,,,,,,,
Caldesia acanthocarpa,herb,,,annual perennial,,,
Caldesia oligococca,,,,,,,
Caldesia oligococca,herb,,,annual perennial,,,
,,,,,,,
Achyranthes,herb,,,annual perennial,,,
Achyranthes aspera,herb,,,short_lived_perennial annual,,,
Aerva,herb,,,perennial,,,
Aerva javanica,herb,,,perennial,,,dioecious
Alternanthera,herb,prostrate,,annual perennial,,,
Alternanthera angustifolia,herb,prostrate decumbent,,annual,,,
Alternanthera brasiliana,,,,,,,
Alternanthera denticulata,herb,prostrate,,annual,,,
Alternanthera nana,herb,prostrate erect spreading,,short_lived_perennial annual,,,
Alternanthera nodiflora,herb,prostrate,,annual,,,
Alternanthera pungens,herb,prostrate,,annual perennial,,,
Amaranthus,herb,,,annual,,,dioecious monoecious
Amaranthus cochleitepalus,herb,spreading,,annual,,,
Amaranthus grandiflorus,herb,erect,,annual,,,
Amaranthus hybridus,,,,,,,
Amaranthus interruptus,herb,erect decumbent,,short_lived_perennial annual,,,
Amaranthus leptostachyus,,,,,,,
Amaranthus mitchellii,,,,,,,
Amaranthus pallidiflorus,,,,,,,
Amaranthus spinosus,,,,,,,
Amaranthus tricolor,,,,,,,
Amaranthus viridis,herb,,,,,,monoecious
Celosia,herb,,,annual perennial,,,
Celosia argentea,herb,erect,,annual,,,
Gomphrena,herb,,,annual perennial,,,
Gomphrena affinis,,,,,,,
Gomphrena brachystylis,,,,,,,
Gomphrena canescens,herb,,,annual,,,
Gomphrena celosioides,herb,decumbent,,annual perennial,,,
Gomphrena conica,,,,,,,
Gomphrena cunninghamii,herb,erect spreading,,annual,,,
Gomphrena diffusa,,,,,,,
Gomphrena flaccida,herb,,,annual,,,
Gomphrena lanata,herb,erect spreading,,annual,,,
Gomphrena parviflora,herb,prostrate,,annual,,,
Surreya,,,,,,,
Surreya diandra,subshrub shrub,dense,,,,,
Omegandra,herb,prostrate decumbent,,perennial,,,
Omegandra kanisii,herb,prostrate decumbent,,perennial,,,
Ptilotus,shrub herb,,,annual perennial,,,
Ptilotus aervoides,herb,prostrate mat_forming,,short_lived_perennial annual,,,
Ptilotus aristatus,,,,,,,
Ptilotus aristatus,,,,,,,
Ptilotus arthrolasius,,,,,,,
Ptilotus calostachyus,,,,,,,
Ptilotus capitatus,,,,,,,
Ptilotus clementii,herb,,,short_lived_perennial annual,,,
Ptilotus comatus,,,,,,,
Ptilotus corymbosus,herb,,,annual,,,
Ptilotus decipiens,herb,dense,,short_lived_perennial annual,,,
Ptilotus dissitiflorus,,,,,,,
Ptilotus distans,herb,,,perennial,,,
Ptilotus exaltatus,,,,,,,
Ptilotus exaltatus,herb,erect spreading,,short_lived_perennial annual,,,
Ptilotus exaltatus,herb,erect,,short_lived_perennial annual,,,
Ptilotus fusiformis,herb,,,perennial,,,
Ptilotus gardneri,,,,,,,
Ptilotus gardneri,,,,,,,
Ptilotus gaudichaudii,,,,,,,
Ptilotus helipteroides,herb,,,annual,,,
Ptilotus incanus,subshrub,,,perennial,,,
Ptilotus latifolius,herb,,,short_lived_perennial annual,,,
Ptilotus lophotrichus,,,,,,,
Ptilotus lophotrichus,,,,,,,
Ptilotus lophotrichus,,,,,,,
Ptilotus xerophilus,herb,,,short_lived_perennial annual,,,
Ptilotus nobilis,,,,,,,
Ptilotus nobilis,herb,,,short_lived_perennial annual,,,
Ptilotus obovatus,subshrub shrub,spreading,,perennial,,,
Ptilotus obovatus,,,,,,,
Ptilotus parvifolius,,,,,,,
Ptilotus polystachyus,herb,,,short_lived_perennial annual,,,
Ptilotus rotundatus,,,,,,,
Ptilotus royceanus,,,,,,,
Ptilotus schwartzii,subshrub herb,,,perennial,,,
Ptilotus sessilifolius,subshrub,,,perennial,,,
Ptilotus spicatus,,,,,,,
Pupalia,subshrub herb,,,annual perennial,,,
Pupalia lappacea,,,,,,,
,,,,,,,
Blepharocarya,,,,,,,
Blepharocarya depauperata,,,,,,,
Buchanania,,,,,,,
Buchanania arborescens,,,,,,,
Buchanania obovata,tree,,,,,,
Mangifera,tree,,,,,,monoecious andromonoecious
Mangifera indica,tree,,,,,,
Rhus,,,,,,,
Rhus taitensis,,,,,,,
Semecarpus,,,,,,,
Semecarpus australiensis,,,,,,,
Annona,tree subshrub shrub,,,,,,
Annona reticulata,tree,,,,,,
Desmos,shrub,scandent scrambling,,,,,
Desmos wardianus,shrub climber_vine,scandent scrambling,,,,,
Melodorum,,,,,,,
Uvaria rupestre,climber_shrub shrub climber_vine,,,,,,
Miliusa,tree,,,,,,
Miliusa brahei,tree,,,,,,
Miliusa traceyi,tree,,,,,,
Monoon,,,,,,,
Monoon australe,tree shrub,,,,,,
Huberantha nitidissima,tree shrub,scandent,,,,,
Meiogyne,tree shrub,,,,,,
Meiogyne cylindrocarpa,tree shrub,,,,,,
Uvaria,climber_liana climber_shrub shrub,,,,,,
Uvaria holtzei,climber_vine_woody shrub,scrambling,,,,,
,,,,,,,
Actinotus,,,,,,,
Actinotus schwarzii,subshrub shrub,,,perennial,,,
Cyclospermum,,,,,,,
Cyclospermum leptophyllum,herb,erect spreading,,annual,,,
Daucus,,,,,,,
Daucus glochidiatus,,,,,,,
