Month,Date,Temperature,Plant species,Genus,Family,Origin,Horticutural variety,Colour,Flower N,Insect taxa,N,TotalN,Native bee genera,counts?,notes
October,25/10/2020,34.9,Grevillea x Peaches and Cream,Grevillea,Proteaceae,native,n,peach,1,Other flies,0,,,,
October,25/10/2020,34.9,Callistemon 'Endeavour',Callistemon,Myrtaceae,native,y,red,60,Native bees,2,65,Lasioglossum (2),,
October,25/10/2020,34.9,Callistemon 'Endeavour',Callistemon,Myrtaceae,native,y,red,60,Honeybees,63,,,,
October,25/10/2020,34.9,Callistemon 'Endeavour',Callistemon,Myrtaceae,native,y,red,60,Wasps,0,,,,
October,25/10/2020,34.9,Callistemon 'Endeavour',Callistemon,Myrtaceae,native,y,red,60,Syrphid flies,0,,,,
October,25/10/2020,34.9,Callistemon 'Endeavour',Callistemon,Myrtaceae,native,y,red,60,Other flies,0,,,,
October,25/10/2020,34.9,Dianella revoluta,Dianella,Asphodelaceae ,native,n,purple,11,Native bees,0,0,,,
October,25/10/2020,34.9,Dianella revoluta,Dianella,Asphodelaceae ,native,n,purple,11,Honeybees,0,,,,
October,25/10/2020,34.9,Dianella revoluta,Dianella,Asphodelaceae ,native,n,purple,11,Wasps,0,,,,
October,25/10/2020,34.9,Dianella revoluta,Dianella,Asphodelaceae ,native,n,purple,11,Syrphid flies,0,,,,
October,25/10/2020,34.9,Dianella revoluta,Dianella,Asphodelaceae ,native,n,purple,11,Other flies,0,,,,
October,25/10/2020,34.9,Hibbertia scandens,Hibbertia,Goodeniaceae,native,n,yellow,7,Native bees,0,8,,,
October,25/10/2020,34.9,Hibbertia scandens,Hibbertia,Goodeniaceae,native,n,yellow,7,Honeybees,0,,,,
October,25/10/2020,34.9,Hibbertia scandens,Hibbertia,Goodeniaceae,native,n,yellow,7,Wasps,0,,,,
October,25/10/2020,34.9,Hibbertia scandens,Hibbertia,Goodeniaceae,native,n,yellow,7,Syrphid flies,8,,,,
October,25/10/2020,34.9,Hibbertia scandens,Hibbertia,Goodeniaceae,native,n,yellow,7,Other flies,0,,,,
October,25/10/2020,34.9,Verticordia plumosa,Verticordia,Myrtaceae,native,n,pink,100,Native bees,0,9,,,
October,25/10/2020,34.9,Verticordia plumosa,Verticordia,Myrtaceae,native,n,pink,100,Honeybees,7,,,,
October,25/10/2020,34.9,Verticordia plumosa,Verticordia,Myrtaceae,native,n,pink,100,Wasps,0,,,,
October,25/10/2020,34.9,Verticordia plumosa,Verticordia,Myrtaceae,native,n,pink,100,Syrphid flies,2,,,,
October,25/10/2020,34.9,Verticordia plumosa,Verticordia,Myrtaceae,native,n,pink,100,Other flies,0,,,,
October,25/10/2020,34.9,Leptospermum rotundifolium 'Lavender Queen,Leptospermum,Myrtaceae,native,y,purple,20,Native bees,0,6,,,
October,25/10/2020,34.9,Leptospermum rotundifolium 'Lavender Queen,Leptospermum,Myrtaceae,native,y,purple,20,Honeybees,4,,,,
October,25/10/2020,34.9,Leptospermum rotundifolium 'Lavender Queen,Leptospermum,Myrtaceae,native,y,purple,20,Wasps,0,,,,
October,25/10/2020,34.9,Leptospermum rotundifolium 'Lavender Queen,Leptospermum,Myrtaceae,native,y,purple,20,Syrphid flies,2,,,,
October,25/10/2020,34.9,Leptospermum rotundifolium 'Lavender Queen,Leptospermum,Myrtaceae,native,y,purple,20,Other flies,0,,,,
October,25/10/2020,34.9,Westringia fruticosa,Westringia,Lamiaceae,native,n,white,15,Native bees,0,7,,,
October,25/10/2020,34.9,Westringia fruticosa,Westringia,Lamiaceae,native,n,white,15,Honeybees,3,,,,
October,25/10/2020,34.9,Westringia fruticosa,Westringia,Lamiaceae,native,n,white,15,Wasps,0,,,,
October,25/10/2020,34.9,Westringia fruticosa,Westringia,Lamiaceae,native,n,white,15,Syrphid flies,4,,,,
October,25/10/2020,34.9,Westringia fruticosa,Westringia,Lamiaceae,native,n,white,15,Other flies,0,,,,
October,25/10/2020,34.9,Ricinocarpos pinifolius,Ricinocarpos,Euphorbiaceae,native,n,white,1100,Native bees,0,5,,,
October,25/10/2020,34.9,Ricinocarpos pinifolius,Ricinocarpos,Euphorbiaceae,native,n,white,1100,Honeybees,0,,,,
