Month,Date,Temperature,Plant species,Genus,Family,Origin,Horticutural variety,Colour,Flower N,Insect taxa,N,TotalN,Native bee genera,counts?,notes
October,25/10/2020,34.9,Callistemon 'White Anzac’ ,Callistemon,Myrtaceae,native,y,white,20,Other flies,0,,,,
October,25/10/2020,34.9,Leptospermum 'Merinda',Leptospermum,Myrtaceae,native,y,pink,500,Native bees,3,45,Exoneura,3,& beetle
October,25/10/2020,34.9,Leptospermum 'Merinda',Leptospermum,Myrtaceae,native,y,pink,500,Honeybees,16,,,,
October,25/10/2020,34.9,Leptospermum 'Merinda',Leptospermum,Myrtaceae,native,y,pink,500,Wasps,3,,,,
October,25/10/2020,34.9,Leptospermum 'Merinda',Leptospermum,Myrtaceae,native,y,pink,500,Syrphid flies,18,,,,
October,25/10/2020,34.9,Leptospermum 'Merinda',Leptospermum,Myrtaceae,native,y,pink,500,Other flies,5,,,,
October,25/10/2020,34.9,Scaevola 'Crinkle cut',Scaevola,Goodeniaceae,native,y,blue,250,Native bees,4,19,Homalictus,4,
October,25/10/2020,34.9,Scaevola 'Crinkle cut',Scaevola,Goodeniaceae,native,y,blue,250,Honeybees,0,,,,
October,25/10/2020,34.9,Scaevola 'Crinkle cut',Scaevola,Goodeniaceae,native,y,blue,250,Wasps,8,,,,
October,25/10/2020,34.9,Scaevola 'Crinkle cut',Scaevola,Goodeniaceae,native,y,blue,250,Syrphid flies,7,,,,
October,25/10/2020,34.9,Scaevola 'Crinkle cut',Scaevola,Goodeniaceae,native,y,blue,250,Other flies,0,,,,
October,25/10/2020,34.9,Tagetes ,Tagetes,Asteraceae,exotic,y,yellow/orange,16,Native bees,0,3,,,
October,25/10/2020,34.9,Tagetes ,Tagetes,Asteraceae,exotic,y,yellow/orange,16,Honeybees,0,,,,
October,25/10/2020,34.9,Tagetes ,Tagetes,Asteraceae,exotic,y,yellow/orange,16,Wasps,0,,,,
October,25/10/2020,34.9,Tagetes ,Tagetes,Asteraceae,exotic,y,yellow/orange,16,Syrphid flies,3,,,,
October,25/10/2020,34.9,Tagetes ,Tagetes,Asteraceae,exotic,y,yellow/orange,16,Other flies,0,,,,
October,25/10/2020,34.9,Petunia,Petunia,Petunioideae,exotic,y,white/pink/purple/red,70,Native bees,0,0,,,
October,25/10/2020,34.9,Petunia,Petunia,Petunioideae,exotic,y,white/pink/purple/red,70,Honeybees,0,,,,
October,25/10/2020,34.9,Petunia,Petunia,Petunioideae,exotic,y,white/pink/purple/red,70,Wasps,0,,,,
October,25/10/2020,34.9,Petunia,Petunia,Petunioideae,exotic,y,white/pink/purple/red,70,Syrphid flies,0,,,,
October,25/10/2020,34.9,Petunia,Petunia,Petunioideae,exotic,y,white/pink/purple/red,70,Other flies,0,,,,
October,25/10/2020,34.9,Dianthus,Dianthus,Caryophyllaceae,exotic,y,white/pink/purple/red,30,Native bees,0,4,,,
October,25/10/2020,34.9,Dianthus,Dianthus,Caryophyllaceae,exotic,y,white/pink/purple/red,30,Honeybees,2,,,,
October,25/10/2020,34.9,Dianthus,Dianthus,Caryophyllaceae,exotic,y,white/pink/purple/red,30,Wasps,0,,,,
October,25/10/2020,34.9,Dianthus,Dianthus,Caryophyllaceae,exotic,y,white/pink/purple/red,30,Syrphid flies,1,,,,
October,25/10/2020,34.9,Dianthus,Dianthus,Caryophyllaceae,exotic,y,white/pink/purple/red,30,Other flies,1,,,,
October,25/10/2020,34.9,Lobularia maritima,Lobularia maritima,Brassicaceae,exotic,n,white,100,Native bees,0,6,,,
October,25/10/2020,34.9,Lobularia maritima,Lobularia maritima,Brassicaceae,exotic,n,white,100,Honeybees,2,,,,
October,25/10/2020,34.9,Lobularia maritima,Lobularia maritima,Brassicaceae,exotic,n,white,100,Wasps,0,,,,
October,25/10/2020,34.9,Lobularia maritima,Lobularia maritima,Brassicaceae,exotic,n,white,100,Syrphid flies,4,,,,
October,25/10/2020,34.9,Lobularia maritima,Lobularia maritima,Brassicaceae,exotic,n,white,100,Other flies,0,,,,
October,25/10/2020,34.9,Centranthus ruber,Centranthus,Caprifoliaceae,exotic,n,red,8,Native bees,0,2,,,
October,25/10/2020,34.9,Centranthus ruber,Centranthus,Caprifoliaceae,exotic,n,red,8,Honeybees,0,,,,
October,25/10/2020,34.9,Centranthus ruber,Centranthus,Caprifoliaceae,exotic,n,red,8,Wasps,0,,,,
October,25/10/2020,34.9,Centranthus ruber,Centranthus,Caprifoliaceae,exotic,n,red,8,Syrphid flies,2,,,,
October,25/10/2020,34.9,Centranthus ruber,Centranthus,Caprifoliaceae,exotic,n,red,8,Other flies,0,,,,
October,25/10/2020,34.9,Armeria maritima Alba 'white thrift',Armeria ,Plumbaginaceae,exotic,y,white,15,Native bees,0,4,,,
October,25/10/2020,34.9,Armeria maritima Alba 'white thrift',Armeria ,Plumbaginaceae,exotic,y,white,15,Honeybees,1,,,,
October,25/10/2020,34.9,Armeria maritima Alba 'white thrift',Armeria ,Plumbaginaceae,exotic,y,white,15,Wasps,0,,,,
October,25/10/2020,34.9,Armeria maritima Alba 'white thrift',Armeria ,Plumbaginaceae,exotic,y,white,15,Syrphid flies,3,,,,
October,25/10/2020,34.9,Armeria maritima Alba 'white thrift',Armeria ,Plumbaginaceae,exotic,y,white,15,Other flies,0,,,,
October,25/10/2020,34.9,Nemesia fruticans,Nemesia,Scrophulariaceae,exotic,n,purple,15,Native bees,0,1,,,
October,25/10/2020,34.9,Nemesia fruticans,Nemesia,Scrophulariaceae,exotic,n,purple,15,Honeybees,0,,,,
October,25/10/2020,34.9,Nemesia fruticans,Nemesia,Scrophulariaceae,exotic,n,purple,15,Wasps,0,,,,
October,25/10/2020,34.9,Nemesia fruticans,Nemesia,Scrophulariaceae,exotic,n,purple,15,Syrphid flies,1,,,,
October,25/10/2020,34.9,Nemesia fruticans,Nemesia,Scrophulariaceae,exotic,n,purple,15,Other flies,0,,,,
October,25/10/2020,34.9,Leptospermum scoparium 'Ballerina',Leptospermum,Myrtaceae,native,y,pink,32,Native bees,0,1,,,
October,25/10/2020,34.9,Leptospermum scoparium 'Ballerina',Leptospermum,Myrtaceae,native,y,pink,32,Honeybees,0,,,,
October,25/10/2020,34.9,Leptospermum scoparium 'Ballerina',Leptospermum,Myrtaceae,native,y,pink,32,Wasps,0,,,,
October,25/10/2020,34.9,Leptospermum scoparium 'Ballerina',Leptospermum,Myrtaceae,native,y,pink,32,Syrphid flies,1,,,,
October,25/10/2020,34.9,Leptospermum scoparium 'Ballerina',Leptospermum,Myrtaceae,native,y,pink,32,Other flies,0,,,,
October,25/10/2020,34.9,Thryptomene saxicola,Thryptomene,Myrtaceae,native,n,pink,300,Native bees,1,12,Exoneura,1,
October,25/10/2020,34.9,Thryptomene saxicola,Thryptomene,Myrtaceae,native,n,pink,300,Honeybees,9,,,,
October,25/10/2020,34.9,Thryptomene saxicola,Thryptomene,Myrtaceae,native,n,pink,300,Wasps,0,,,,
