Site,"Latitude, Longitude",Date,Day,Time,Patch,Umbel phase,#umbel/patch,"Native bee (Colletidae, Halictidae)",Ant,Fly,Stripey fly,Hoverfly,Mosquito fly,Butterfly / moth,Honeybee,Beetle,Wasp,grasshopper?,orange/brown bug,orange/silver bug,green flower spider,green bug,small spider,green caterpillar eating umbels,black weevil?,,
Tomago Sandbeds,"32°47′S, 151°51′E",15/1/2004,3,12pm,6,male,7,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",15/1/2004,3,12pm,6,female,9,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",15/1/2004,3,3pm,1,male,12,,7,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",15/1/2004,3,3pm,1,female,11,,9,1,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",15/1/2004,3,3pm,2,male,6,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",15/1/2004,3,3pm,2,female,5,,2,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",15/1/2004,3,3pm,3,male,9,,,,,,,,,,,,,,,1,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",15/1/2004,3,3pm,3,female,3,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",15/1/2004,3,3pm,4,male,6,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",15/1/2004,3,3pm,4,female,2,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",15/1/2004,3,3pm,5,male,6,,,1,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",15/1/2004,3,3pm,5,female,3,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",15/1/2004,3,3pm,6,male,7,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",15/1/2004,3,3pm,6,female,9,,,2,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,9am,1,male,9,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,9am,1,female,7,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,9am,2,male,11,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,9am,2,female,4,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,9am,3,male,6,,,,,2,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,9am,3,female,6,,1,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,9am,4,male,8,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,9am,4,female,6,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,9am,5,male,12,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,9am,5,female,3,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,9am,6,male,10,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,9am,6,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,12pm,1,male,9,,,,,,2,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,12pm,1,female,7,,1,,,,1,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,12pm,2,male,11,9,1,,,,5,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,12pm,2,female,4,4,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,12pm,3,male,6,,1,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,12pm,3,female,6,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,12pm,4,male,8,,1,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,12pm,4,female,6,,,,,,1,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,12pm,5,male,12,4,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,12pm,5,female,3,2,,,,,1,,,,,,,,1,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,12pm,6,male,10,3,,,,,7,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,12pm,6,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,3pm,1,male,9,,3,,,,4,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,3pm,1,female,7,,1,,,,4,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,3pm,2,male,11,,,,,,3,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,3pm,2,female,4,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,3pm,3,male,6,3,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,3pm,3,female,6,2,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,3pm,4,male,8,,1,,,,1,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,3pm,4,female,6,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,3pm,5,male,12,,,,,,2,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,3pm,5,female,3,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,3pm,6,male,10,,2,1,,,6,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",28/1/2004,1,3pm,6,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,9am,1,male,10,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,9am,1,female,7,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,9am,2,male,11,6,1,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,9am,2,female,2,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,9am,3,male,4,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,9am,3,female,3,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,9am,4,male,8,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,9am,4,female,5,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,9am,5,male,12,1,2,,,1,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,9am,5,female,3,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,9am,6,male,10,,1,,,,4,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,9am,6,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,12pm,1,male,10,16,,,,,1,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,12pm,1,female,7,3,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,12pm,2,male,11,7,1,,,,1,1,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,12pm,2,female,2,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,12pm,3,male,4,5,2,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,12pm,3,female,3,1,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,12pm,4,male,8,3,1,,,,1,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,12pm,4,female,5,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,12pm,5,male,12,,,,,,2,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,12pm,5,female,3,,,,,,1,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,12pm,6,male,10,2,,,,,6,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,12pm,6,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,3pm,1,male,10,,1,,,,2,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,3pm,1,female,7,,1,,,,,,,2,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,3pm,2,male,11,2,,,,,1,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,3pm,2,female,2,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,3pm,3,male,4,,,,,,1,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,3pm,3,female,3,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,3pm,4,male,8,,3,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,3pm,4,female,5,,,,,,1,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,3pm,5,male,12,,,1,,1,2,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,3pm,5,female,3,,,,,,1,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,3pm,6,male,10,,1,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",29/1/2004,2,3pm,6,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,9am,1,male,11,4,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,9am,1,female,5,1,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,9am,2,male,10,,,,,,1,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,9am,2,female,1,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,9am,3,male,3,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,9am,3,female,3,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,9am,4,male,5,,,,,,1,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,9am,4,female,5,,,,,,1,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,9am,5,male,10,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,9am,5,female,5,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,9am,6,male,8,1,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,9am,6,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,12pm,1,male,11,,,,,,,,,1,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,12pm,1,female,5,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,12pm,2,male,10,4,,,,,5,,,1,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,12pm,2,female,1,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,12pm,3,male,3,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,12pm,3,female,3,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,12pm,4,male,5,,,,,,1,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,12pm,4,female,5,,,,,1,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,12pm,5,male,10,7,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,12pm,5,female,5,1,,,,,,,,,,,,,1,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,12pm,6,male,8,4,,,,,4,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,12pm,6,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,3pm,1,male,11,,3,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,3pm,1,female,5,,3,,,,,,,1,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,3pm,2,male,10,,2,,,,1,,,1,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,3pm,2,female,1,,1,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,3pm,3,male,3,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,3pm,3,female,3,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,3pm,4,male,5,,,,,,2,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,3pm,4,female,5,,,,,,1,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,3pm,5,male,10,3,1,,,,1,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,3pm,5,female,5,3,,,,,3,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,3pm,6,male,8,,2,,,,8,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",30/1/2004,3,3pm,6,female,0,,,,,,,,,,,,,,,,,,,,
