Site,"Latitude, Longitude",Month of Survey,Day,Time,Patch,Umbel phase,#umbel/patch,"Native bee (Colletidae, Halictidae)",Ant,Fly,Hoverfly,Mosquito,Bee or fly ,Honeybee,Wasp?,flying black unknown,bug,spider,white flying insect,brown unknown,flying unknown,beetle,aphid,slater?,moth,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,1,male,9,5,1,1,,3,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,1,female,3,1,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,2,male,12,,5,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,2,female,1,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,3,male,10,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,3,female,3,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,5,male,7,4,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,5,female,4,1,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,6,male,12,8,,1,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,10am,6,female,1,1,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,1,male,9,2,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,1,female,3,7,,,2,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,2,male,12,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,2,female,1,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,3,male,10,7,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,3,female,3,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,4,male,9,2,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,4,female,5,3,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,5,male,7,1,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,5,female,4,2,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,6,male,12,7,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,1pm,6,female,1,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,4pm,1,male,9,1,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,4pm,1,female,3,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,4pm,4,male,9,,,2,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,4pm,4,female,5,,,2,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,6:30pm,1,male,9,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,6:30pm,1,female,3,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,6:30pm,2,male,12,,2,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,6:30pm,2,female,1,,2,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,6:30pm,3,male,10,,12,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,6:30pm,3,female,3,,4,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,6:30pm,4,male,9,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,6:30pm,4,female,5,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,6:30pm,5,male,7,,3,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,6:30pm,5,female,4,,3,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,6:30pm,6,male,12,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,1,6:30pm,6,female,1,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,10am,1,male,8,1,1,3,,2,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,10am,1,female,4,,,2,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,10am,2,male,12,4,3,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,10am,2,female,2,,,,,1,,,1,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,10am,3,male,11,9,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,10am,3,female,3,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,10am,4,male,11,2,1,,,2,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,10am,4,female,7,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,10am,5,male,7,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,10am,5,female,4,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,10am,6,male,12,7,11,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,10am,6,female,1,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,1pm,1,male,8,4,3,,,1,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,1pm,1,female,4,1,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,1pm,2,male,12,5,3,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,1pm,2,female,2,1,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,1pm,3,male,11,1,2,,,,,,,1,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,1pm,3,female,3,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,1pm,4,male,11,4,2,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,1pm,4,female,7,2,4,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,1pm,5,male,7,3,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,1pm,5,female,4,1,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,1pm,6,male,12,,9,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,1pm,6,female,1,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,4pm,1,male,8,3,,,,,,,,,1,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,4pm,1,female,4,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,4pm,2,male,12,2,2,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,4pm,2,female,2,1,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,4pm,3,male,11,,4,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,4pm,3,female,3,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,4pm,4,male,11,,2,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,4pm,4,female,7,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,4pm,5,male,7,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,4pm,5,female,4,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,6:30pm,1,male,8,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,6:30pm,1,female,4,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,6:30pm,3,male,11,,4,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,6:30pm,3,female,3,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",Feb-03,2,6:30pm,4,male,11,,,,,,,,,,,,,,,,,,,,
