name_original ,mean_Wood_Density,,,,,,
Acacia doratoxylon,0.76,,,,,,
Acacia havilandiorum,0.92,,,,,,
Acacia oswaldii,0.98,,,,,,
Acacia suaveolens,0.59,,,,,,
Acacia ulicifolia,0.60,,,,,,
Acmena smithii,0.66,,,,,,
Banksia ericifolia,0.59,,,,,,
Bertya cunninghamii,0.75,,,,,,
Beyeria opaca,0.71,,,,,,
Callicoma serratifolia,0.46,,,,,,
Cassinia laevis,0.65,,,,,,
Ceratopetalum apetalum,0.51,,,,,,
Dillwynia retorta,0.82,,,,,,
Doryphora sassafras,0.51,,,,,,
Dodonaea viscosa subsp. Angustifolia,0.90,,,,,,
Dodonaea viscosa subsp. Cuneata,0.79,,,,,,
Dodonaea viscosa subsp. spatulata,0.76,,,,,,
Epacris pulchella,0.67,,,,,,
Eremophila glabra,0.76,,,,,,
Eremophila longifolia,0.70,,,,,,
Eremophila mitchellii,0.72,,,,,,
Eucalyptus dumosa,0.91,,,,,,
Eucalyptus socialis,0.72,,,,,,
Geijera parviflora,1.01,,,,,,
Gompholobium latifolium,0.72,,,,,,
Grevillea oldei,0.63,,,,,,
Hakea tephrosperma,0.73,,,,,,
Hibbertia obtusifolia,0.64,,,,,,
Leptospermum polygalifolium,0.76,,,,,,
Leucopogon ericoides,0.66,,,,,,
Lomatia myricoides,0.52,,,,,,
Melaleuca uncinata,0.86,,,,,,
Melaleuca uncinata,0.80,,,,,,
Micromyrtus sessilis,0.87,,,,,,
Neolitsia dealbata,0.45,,,,,,
Olearia decurrens,0.81,,,,,,
Olearia pimeleoides,0.99,,,,,,
Palmeria scandens,0.46,,,,,,
Persoonia lanceolata,0.62,,,,,,
Persoonia levis,0.58,,,,,,
Petrophile pulchella,0.56,,,,,,
Philotheca difformis,0.92,,,,,,
Pimelea microcephala,0.67,,,,,,
Pultenaea rosmarinofolia,0.77,,,,,,
,,,,,,,
,,,,,,,
