Column,Unit,notes,col_names_in_R
BloomfieldID,NA,,BloomfieldID
Country,NA,Biomes,Country
Biome,NA,"TrRF_lw, Tropical Rain Forest_lowland (<1500 m asl) TrRF_up, Tropical Rain Forest_upland (>1500 m asl) Sa, Savanna TeW, Temperate woodland TeDF, Temperate Deciduous Forest TeRF, Temperate Rain Forest TeG, Temperate Grassland BF, Boreal Forest Tu, Tundra",Biome
Site,NA,,Site
Latitude,degrees,,Latitude
Longitude,degrees,,Longitude
Absolute Latitude,degrees,,AbsLatitude
Absolute Longitude,degrees,,AbsLongitude
Altitude,m,,Altitude
Calc_Atm_Press,(Barometric formula) (Pa),,Calc_Atm_Press
Responsible,NA,,Responsible
Species_1,NA,,Species_1
Family,NA,,Family
Genus,NA,,Genus
Sp,NA,Plant functional types,Sp
PFTLPJ,NA,,PFTLPJ
PFTSheffield,NA,,PFTSheffield
PFTJULES,NA,,PFTJULES
PFTWright,NA,,PFTWright
PFTJULES-2,NA,"Note: this is a step towards making PFT_Exeter, where evergreen and deciduous habits were added to PFT-JULES",PFTJULES-2
PFTExeter,NA,"As agreed with Anna Harper at UE, where there is some lumping (e.g. NlDc are shown as BlDc, to reflect the priority given to evergreen vs decid over that of Angio vs Gymno; and to ensure that there are NOT too many PFTs)",PFTExeter
Date,NA,,Date
Aa_sat,mmol CO2 m-2 s-1,,Aa_sat
gs_sat,mol m-2 s-1,,gs_sat
Ci_sat,ppm,,Ci_sat
LfT_sat,oC,,LfT_sat
Rdarka,mmol CO2 m-2 s-1,,Rdarka
LfT_Rdark,NA,,LfT_Rdark
Am_sat,nmol CO2 gDM-1 s-1,,Am_sat
Rdarkm,nmol CO2 gDM-1 s-1,,Rdarkm
AN_sat,mmol CO2 gN-1 s-1,,AN_sat
RdarkN,mmol CO2 gN-1 s-1,,RdarkN
AP_sat,mmol CO2 gP-1 s-1,,AP_sat
RdarkP,mmol CO2 gP-1 s-1,,RdarkP
FixedQ10,NA,Average fixed Q10 value for leaf R from Atkin et al. 2005,FixedQ10
varQ10,NA,Calculated according to the T-midpoint (Eqn 7 in Atkin et al. 2005): 3.09-0.045*((25+leafT)/2),varQ10
Rdarka_25C_FixedQ10,mmol CO2 m-2 s-1,"Predicted rates at 25oC, assuming a fixed Q10 value",Rdarka_25C_FixedQ10
Rdarkm_25C_FixedQ10,nmol CO2 gDM-1 s-1,,Rdarkm_25C_FixedQ10
RdarkN_25C_FixedQ10,mmol CO2 gN-1 s-1,,RdarkN_25C_FixedQ10
RdarkP_25C_FixedQ10,mmol CO2 gP-1 s-1,,RdarkP_25C_FixedQ10
Rdarka_MeanMonth-T_FixedQ10,mmol CO2 m-2 s-1,"Predicted rates at  the mean daily T of the warmest quarter, assuming a fixed Q10 value",Rdarka_MeasMonth-T_fixedQ10
Rdarkm_MeanMonth-T_FixedQ10,nmol CO2 gDM-1 s-1,,Rdarkm_MeasMonth-T_fixedQ10
RdarkN_MeanMonth-T_FixedQ10,mmol CO2 gN-1 s-1,,RdarkN_MeasMonth-T_fixedQ10
RdarkP_MeanMonth-T_FixedQ10,mmol CO2 gP-1 s-1,,RdarkP_MeasMonth-T_fixedQ10
Rdarka_TWQ-T_FixedQ10,mmol CO2 m-2 s-1,"Predicted rates at  the mean daily T of the warmest quarter, assuming a fixed Q10 value",Rdarka_TWQ-T_FixedQ10
Rdarkm_TWQ-T_FixedQ10,nmol CO2 gDM-1 s-1,,Rdarkm_TWQ-T_FixedQ10
RdarkN_TWQ-T_FixedQ10,mmol CO2 gN-1 s-1,,RdarkN_TWQ-T_FixedQ10
RdarkP_TWQ-T_FixedQ10,mmol CO2 gP-1 s-1,,RdarkP_TWQ-T_FixedQ10
Rdarka_MaxT-WM_FixedQ10,NA,"Predicted rates at  the mean daily maximum of the warmest month, assuming a fixed Q10 value",Rdarka_MaxT-WM_FixedQ10
Rdarkm_MaxT-WM_FixedQ10,NA,,Rdarkm_MaxT-WM_FixedQ10
RdarkN_MaxT-WM_FixedQ10,NA,,RdarkN_MaxT-WM_FixedQ10
RdarkP_MaxT-WM_FixedQ10,NA,,RdarkP_MaxT-WM_FixedQ10
Rdarka_25C_varQ10,mmol CO2 m-2 s-1,"Predicted rates at 25oC, such as the mean daily T of the warmest quarter, assuming a T-variable Q10 value (Tjoelker et al. 2001, Atkin and Tjoelker 2003)",Rdarka_25C_varQ10
Rdarkm_25C_varQ10,nmol CO2 gDM-1 s-1,,Rdarkm_25C_varQ10
