site,country,n_rows,n_species,latitude,longitude,matched_dataset,matched_dataset_site,species_matched,species_total,responsible,date_range,verdict,traits_affected,recommended_action,notes
CTC1,Australia-FNQ,53,15,-16.1,145.45,Weerasinghe_2014,"Daintree Rainforest Observatory (crane site, plot 103-51 etc.)",15,15,"Crous, Zaragoza-Castells",2009-05 to 2010-09,full_duplicate,"Aa_sat, gs_sat, Rdark, LeafN, LeafP, LMA/SLA, sugars, starch, TNC",set_all_trait_columns_to_NA,"Species list matches Weerasinghe_2014 exactly (15/15); same coordinates to 2 d.p. Weerasinghe_2014 already includes leaf soluble sugars/starch/TNC, so even the NSC traits (the novel contribution of Asao_2024) are already published for this site."
RobCk-TERN,Australia-FNQ,52,16,-17.119519,145.632297,Bloomfield_2018,"FNQ, Robson (Robson Creek SuperSite)",15,16,Weerasinghe,Aug 2012,partial_duplicate,"Aa_sat, gs_sat, Ci_sat, Rdark, LeafN, LeafP, LMA/SLA (via Bloomfield_2018); sugars/starch/TNC NOT in Bloomfield_2018",set_gas_exchange_N_P_SLA_columns_to_NA_keep_NSC_columns,"15/16 species match Bloomfield_2018's 'FNQ, Robson' site exactly; coordinates match to 3 d.p. Bloomfield_2018's own data.csv has columns suffixed '_with_Weerasinghe_2014', confirming it is already a multi-source synthesis. It has no sugar/starch/NSC columns at all, so those trait values are new here."
Warra-TERN-AW,Australia-TAS,29,9,-43.09506944,146.7242472,Bloomfield_2018,Warra (Warra Tall Eucalypt SuperSite),9,9,Weerasinghe,Mar 2012,partial_duplicate,"Aa_sat, gs_sat, Ci_sat, Rdark, LeafN, LeafP, LMA/SLA (via Bloomfield_2018); sugars/starch/TNC NOT in Bloomfield_2018",set_gas_exchange_N_P_SLA_columns_to_NA_keep_NSC_columns,"All 9 species match Bloomfield_2018's 'Warra' site species list; coordinates match to 2 d.p. Same rationale as RobCk-TERN: standard traits duplicated, NSC traits are new."
Warra-TERN-SV,Australia-TAS,6,2,-43.09156944,146.68355,Bloomfield_2018,Warra (Warra Tall Eucalypt SuperSite),2,2,Weerasinghe,Mar 2012,partial_duplicate,"Aa_sat, gs_sat, Ci_sat, Rdark, LeafN, LeafP, LMA/SLA (via Bloomfield_2018); sugars/starch/TNC NOT in Bloomfield_2018",set_gas_exchange_N_P_SLA_columns_to_NA_keep_NSC_columns,"Both species (Melaleuca squarrosa, Tasmannia lanceolata) match Bloomfield_2018's 'Warra' site species list. Same rationale as RobCk-TERN."
Warra-TERN_FT,Australia-TAS,13,3,-43.08883333,146.65115,Bloomfield_2018,Warra (Warra Tall Eucalypt SuperSite),3,3,Weerasinghe,Mar 2012,partial_duplicate,"Aa_sat, gs_sat, Ci_sat, Rdark, LeafN, LeafP, LMA/SLA (via Bloomfield_2018); sugars/starch/TNC NOT in Bloomfield_2018",set_gas_exchange_N_P_SLA_columns_to_NA_keep_NSC_columns,"All 3 species (Acacia dealbata, Acacia melanoxylon, Eucalyptus obiqua/obliqua) match Bloomfield_2018's 'Warra' site species list. Same rationale as RobCk-TERN."
KBL3,Australia-FNQ,9,5,-17.68187,145.534,none found,,0,5,Zaragoza-Castells,2009-04-28 to 2009-05-03,new,,include_all_trait_columns,"No match among Bloomfield_2018's named SuperSites or any other gas-exchange/NSC dataset in the repo. Physical plot area overlaps with Kanowski_2000/Wells_2012 (forest structure plots), but those do not measure the same physiological traits, so no trait-level duplication."
KCR,Australia-FNQ,16,7,-17.10915,145.60272,none found,,0,7,Zaragoza-Castells,2009-04-23 to 2009-04-27,new,,include_all_trait_columns,"~3 km from Bloomfield_2018's 'FNQ, Robson' site and only partial species overlap (2 of 7 species also occur at Robson); treated as a distinct, unsynthesised plot. No trait-level match found."
ANBG,Australia-ACT,19,5,-35.276276,149.109011,none found,,0,5,Crous,2009-02-25 to 2009-03-03,new,,include_all_trait_columns,"Australian National Botanic Gardens, Canberra. No gas-exchange/NSC dataset in the repo covers this location; several unrelated ANBG-based datasets exist (e.g. Arnold_2021, ANBG_2019) but none measure Aa_sat/Rdark/NSC."
