trait_name,find,replace
bud_bank_location,rare,NA
bud_bank_location,yes,bud-bearing_root
habitat,rf,rainforest
habitat,scl,sclerophyll
post_fire_recruitment,n,post_fire_recruitment_absent
post_fire_recruitment,y,post_fire_recruitment
resprouting_capacity,fr (r+s+),partial_resprouting
resprouting_capacity,osr(r-s+),fire_killed
resprouting_capacity,r (r+s-),resprouts
seedbank_location,canopy,canopy_seedbank
seedbank_location,nil,none
seedbank_location,soil,soil_seedbank
seedbank_location,unburnt,none
seedbank_location,wind?,none
woodiness,h,herbaceous
woodiness,w,woody
