name_original,Wood density (g/cm^3),metadata_id,primary_source_id
Agathis robusta,0.38,61,59
Antiaris toxicaria,0.31,61,59
Castanospermum australe,0.63,61,59
Elaeocarpus angustifolius,0.42,61,59
Ficus watkinsiana,0.35,61,59
Garuga floribunda,0.48,61,59
Geissois biagiana,0.45,61,59
Pouteria euphlebia,0.85,61,59
Prumnopitys amara,0.36,61,59
Sterculia shillinglawii,0.24,61,59
Syzygium forte,0.66,61,59
Syzygium sayeri,0.63,61,59
Terminalia complanata,0.45,61,59
Tetrameles nudiflora,0.25,61,59
Toona ciliata,0.39,61,59
Vavaea amicorum,0.51,61,59
