Species,date_gas_exchange,Temp,CO2,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),CiCa,Trmmol (mmol m-2 s-1),VpdL (kPa),Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi,date_isotope_analysis,leaf_percentN,leaf_d15N,leaf_CN,leaf_percentC,leaf_d13C,stem_percentN,stem_d15N,stem_CN,stem_percentC,stem_d13C,root_percentN,root_d15N,root_CN,root_percentC,root_d13C,StemFW (g),InitialLeafLA (cm-2),NewLeafLA (cm-2),TotalLA (cm-2),InitialLeafFW (g),NewLeafFW (g),TotalLeafFW (g),StemDW (g),InitialLeafDW (g),NewLeafDW (g),TotalLeafDW (g),LMA (g m-2),leaf_area_ratio,Rep,GrowthPeriod,LaminaT (um),abaxialEpiT (um),adaxialEpiT (um),percentMucilage (%),percentMesophyll (%),percentVascular (%),abaxialEpiDen (mm-2),abaxialStomDen (mm-2),abaxialSI (%),adaxialEpiDen (mm-2),adaxialStomDen (mm-2),adaxialSI (%),PAR_round,PAR_desc,context
Wollemia nobilis,2009-06-23,Elv,400,405,1.924,0.01697,204,0.514487385,0.3533,2.049,31.34,32.415,31.011,398.947,396.509,27.5696,27.9747,60.853,61.746,500.18,699,2010-03-05,2.1817957,2.116090441,20.63572061,45.0229265,-30.40019124,2.5279349,2.454909175,18.62266358,47.0768812,-28.56754411,NA,NA,NA,NA,NA,51.79,1132,1048,2180,88.29,73.23,161.52,12.87,30.91,22.06,52.97,242.9816514,33.110571081409475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,measured_at_700_PAR,Elv_Temp_and_400_ppm_CO2_and_measured_at_700_PAR
Wollemia nobilis,2009-06-23,Elv,400,402,1.1065,0.03653,338.2,0.848880622,0.6867,1.86,31.44,32.56,31.01,400.034,398.407,29.4388,30.2244,64.612,66.335,500.27,700,2010-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8994586,-0.050998516,20.97998898,39.8506205,-26.70452774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,measured_at_700_PAR,Elv_Temp_and_400_ppm_CO2_and_measured_at_700_PAR
Wollemia nobilis,2009-06-23,Elv,400,407,3.111,0.03144,226.9,0.57244435,0.5914,1.86,31.45,32.33,31.01,400.316,396.37,28.9384,29.6153,63.491,64.976,500.2,699,2010-03-05,2.3924617,1.757881478,21.64271808,51.7793741,-31.01552511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.03,414,1032,1446,23.82,62.72,86.54,8.88,8.66,20.05,28.71,198.5477178,38.46767757382282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,measured_at_700_PAR,Elv_Temp_and_400_ppm_CO2_and_measured_at_700_PAR
Wollemia nobilis,2009-06-23,Elv,400,403,3.708,0.03526,215.4,0.54521246,0.6816,1.91,31.48,32.665,31.01,399.766,395.076,29.2504,30.0302,64.041,65.748,500.2,699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,measured_at_700_PAR,Elv_Temp_and_400_ppm_CO2_and_measured_at_700_PAR
Wollemia nobilis,2009-06-23,Elv,400,401,2.038,0.02074,229.5,0.577455802,0.3946,1.87,31.476,32.515,31.01,399.979,397.434,29.5795,30.0233,64.767,65.739,500.2,699,2010-03-05,2.3477722,1.728285866,22.76250379,53.4411736,-29.91737501,2.1186808,1.053710013,22.59528089,47.8721878,-27.72312935,NA,NA,NA,NA,NA,45.8,1028,946,1974,67.77,68.35,136.12,12.55,24.58,21.3,45.88,232.4214792,33.78401506075646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,measured_at_700_PAR,Elv_Temp_and_400_ppm_CO2_and_measured_at_700_PAR
Wollemia nobilis,2009-06-23,Elv,640,504,6.148,0.03229,310,0.489875259,0.637,1.944,31.45,32.791,31.01,640.413,632.814,29.3417,30.0579,64.306,65.877,500.2,699,2010-03-05,1.9157634,0.852276863,25.50490932,48.8613718,-35.83805149,1.4786144,1.084326164,32.04655534,47.3844982,-34.16513054,NA,NA,NA,NA,NA,42.49,839,1334,2173,58.36,88.98,147.34,12.34,20.86,28.04,48.9,225.0345145,35.483344219464406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,measured_at_700_PAR,Elv_Temp_and_640_ppm_CO2_and_measured_at_700_PAR
Wollemia nobilis,2009-06-23,Elv,640,507,4.787,0.02202,269.4,0.425085194,0.4298,1.919,31.5,32.82,31.01,639.624,633.755,29.9482,30.4314,65.403,66.457,500.2,699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,measured_at_700_PAR,Elv_Temp_and_640_ppm_CO2_and_measured_at_700_PAR
Wollemia nobilis,2009-06-23,Elv,640,503,6.22,0.03467,326.2,0.515223576,0.741,2.111,31.18,32.07,31.01,640.879,633.123,25.6129,26.4495,56.943,58.802,500.18,700,2010-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2486225,0.150220287,35.43189795,44.241065,-30.39612355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,measured_at_700_PAR,Elv_Temp_and_640_ppm_CO2_and_measured_at_700_PAR
Wollemia nobilis,2009-06-23,Elv,640,501,4.656,0.02415,307.8,0.484436888,0.5267,2.15,31.27,32.247,31.01,641.163,635.376,26.0072,26.6017,57.531,58.845,500.16,701,2010-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6805407,-0.321986654,23.5230056,39.5313683,-33.01691344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,measured_at_700_PAR,Elv_Temp_and_640_ppm_CO2_and_measured_at_700_PAR
Wollemia nobilis,2009-06-23,Elv,640,509,1.603,0.01908,483.3,0.757253292,0.415,2.139,31.29,32.301,31.01,640.396,638.227,26.3846,26.853,58.295,59.33,500.18,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.18,2017,227,2244,143.35,19.63,162.98,23.43,45.78,6.28,52.06,231.9964349,29.725791495562323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,measured_at_700_PAR,Elv_Temp_and_640_ppm_CO2_and_measured_at_700_PAR
