"var_name","character","unit"
"SLA","specific_leaf_area","cm2/g"
"leaf thickness (mm)","leaf_thickness","mm"
"leaf N (mg/g)","leaf_N_per_dry_mass","mg/g"
"leaf P (mg/g)","leaf_P_per_dry_mass","mg/g"
"LMA","leaf_mass_per_area","ug/ mm2"
"Leaf Area (mm2)","leaf_area","mm2"
