site_name,trait_name,unit,value,notes
Coomallo Creek Mt Lesueur,longitude,deg,115.27,
Coomallo Creek Mt Lesueur,latitude,deg,-29.82,
Coomallo Creek Mt Lesueur,elevation,m,100,
Esperance,longitude,deg,121.88,
Esperance,latitude,deg,-33.87,
Esperance,elevation,m,25,
Fitzgerald_River,longitude,deg,119.43,
Fitzgerald_River,latitude,deg,-34.07,
Fitzgerald_River,elevation,m,286,
John Forrest National Park,longitude,deg,116.07,
John Forrest National Park,latitude,deg,-31.98,
John Forrest National Park,elevation,m,210,
Kalbarri,longitude,deg,114.17,
Kalbarri,latitude,deg,-27.72,
Kalbarri,elevation,m,6,
Lake_King,longitude,deg,119.68,
Lake_King,latitude,deg,-33.1,
Lake_King,elevation,m,310,
Merridin_etc,longitude,deg,118.22,
Merridin_etc,latitude,deg,-31.5,
Merridin_etc,elevation,m,318,
Millbrook,longitude,deg,117.88,
Millbrook,latitude,deg,-35.03,
Millbrook,elevation,m,68,
Stirling_Ranges,longitude,deg,118.22,
Stirling_Ranges,latitude,deg,-34.52,
Stirling_Ranges,elevation,m,300,
Walpole,longitude,deg,116.73,
Walpole,latitude,deg,-34.98,
Walpole,elevation,m,18,
Watheroo,longitude,deg,115.92,
Watheroo,latitude,deg,-30.12,
Watheroo,elevation,m,198,
