site,lat,long,altitude
Coomallo Creek Mt Lesueur,-29.82,115.27,100
Esperance,-33.87,121.88,25
Fitzgerald_River,-34.07,119.43,286
John Forrest National Park,-31.98,116.07,210
Kalbarri,-27.72,114.17,6
Lake_King,-33.10,119.68,310
Merridin_etc,-31.50,118.22,318
Millbrook,-35.03,117.88,68
Stirling_Ranges,-34.52,118.22,300
Walpole,-34.98,116.73,18
Watheroo,-30.12,115.92,198
