species,context,replicate,Latitude,Longitude,site,Soil,LMA (g m-2),Dry matter content (%),Leaf lifespan (months),Leaf P per area (mg P m-2),Dry seed mass (mg),Seed P concentration (mg g-1),serotiny,storage_organ,fire_response,leaf K (mg/kg),leaf Ca (mg/kg),leaf Mg (mg/kg),leaf S (mg/kg),leaf P (mg/kg),leaf B (mg/kg),leaf Fe (mg/kg),leaf Mn (mg/kg),leaf Zn (mg/kg),leaf Cu (mg/kg),leaf Ni (mg/kg),leaf Mo (mg/kg)
Banksia hookeriana,pot_measurement,4,-29.404092,115.088485,site_-29.404092S_115.088485E,H8,,,,,,,,,,3144.253,6882.407,2291.704,950.531,161.301,3.313,93.481,266.780,8.929,3.735,0.398,0.145
Banksia lanata,pot_measurement,1,-30.054978,115.332677,site_-30.054978S_115.332677E,N42,,,,,,,,,,2332.296,4264.126,1065.748,905.081,219.076,12.364,83.214,242.127,11.437,4.144,1.598,0.174
Banksia lanata,pot_measurement,2,-30.054978,115.332677,site_-30.054978S_115.332677E,N42,,,,,,,,,,3555.504,4140.723,710.228,1113.454,299.534,14.003,60.133,237.008,5.697,4.780,1.387,0.096
Banksia lanata,pot_measurement,3,-30.054978,115.332677,site_-30.054978S_115.332677E,N42,,,,,,,,,,3158.696,4381.172,1112.205,1079.919,255.638,14.289,43.462,260.226,4.683,3.892,0.888,0.124
Banksia lanata,pot_measurement,4,-30.054978,115.332677,site_-30.054978S_115.332677E,N42,,,,,,,,,,3200.000,5081.121,1092.394,1248.538,309.911,14.273,65.360,215.703,6.770,5.892,0.879,0.143
Banksia laricina,pot_measurement,1,-31.086681,115.749598,site_-31.086681S_115.749598E,R10,,,,,,,,,,3807.785,3723.731,768.495,1188.511,268.726,30.689,53.395,133.967,7.123,3.683,0.611,0.109
Banksia laricina,pot_measurement,2,-31.086681,115.749598,site_-31.086681S_115.749598E,R10,,,,,,,,,,4336.158,4894.235,620.880,1833.158,325.468,34.313,38.599,150.679,6.350,5.908,0.632,0.116
Banksia laricina,pot_measurement,3,-31.086681,115.749598,site_-31.086681S_115.749598E,R10,,,,,,,,,,1983.828,3358.165,767.318,1404.869,184.789,47.424,61.998,249.760,5.175,3.414,0.472,0.011
Banksia laricina,pot_measurement,4,-31.086681,115.749598,site_-31.086681S_115.749598E,R10,,,,,,,,,,2750.038,4160.427,816.298,1186.000,250.589,34.395,35.465,267.714,6.675,3.873,0.952,0.155
Banksia menziesii,pot_measurement,1,-30.054978,115.332677,site_-30.054978S_115.332677E,N42,,,,,,,,,,1894.912,3887.676,1539.034,714.453,179.219,7.368,36.031,210.091,5.033,2.748,0.800,0.057
Banksia menziesii,pot_measurement,2,-30.054978,115.332677,site_-30.054978S_115.332677E,N42,,,,,,,,,,1886.703,3309.000,1393.723,895.845,175.349,9.471,24.339,220.390,3.090,2.641,0.140,0.048
Banksia menziesii,pot_measurement,3,-30.054978,115.332677,site_-30.054978S_115.332677E,N42,,,,,,,,,,2195.288,3551.074,1512.154,745.982,171.645,9.185,17.776,253.062,2.663,2.561,0.314,0.055
Banksia menziesii,pot_measurement,4,-30.054978,115.332677,site_-30.054978S_115.332677E,N42,,,,,,,,,,1501.913,3329.250,1485.625,596.574,160.220,9.930,20.534,149.033,2.804,2.493,0.341,
Banksia prionotes,pot_measurement,1,-30.469025,115.760399,site_-30.469025S_115.760399E,B52,,,,,,,,,,2821.016,5053.042,1573.597,708.818,181.493,7.194,153.976,381.041,74.715,3.704,0.250,0.017
Banksia prionotes,pot_measurement,2,-30.469025,115.760399,site_-30.469025S_115.760399E,B52,,,,,,,,,,2336.381,5005.036,1503.892,988.712,192.984,,150.555,457.224,57.115,3.451,0.720,0.021
Banksia prionotes,pot_measurement,3,-30.469025,115.760399,site_-30.469025S_115.760399E,B52,,,,,,,,,,3850.756,5534.898,1662.362,1151.992,144.236,4.832,210.118,675.209,27.489,5.726,0.357,
Banksia prionotes,pot_measurement,4,-30.469025,115.760399,site_-30.469025S_115.760399E,B52,,,,,,,,,,1547.282,3178.802,1146.893,765.458,134.727,6.894,63.812,459.141,33.486,2.816,0.865,
Banksia scabrella,pot_measurement,1,-28.938042,115.087018,site_-28.938042S_115.087018E,S1,,,,,,,,,,2153.798,3721.830,937.538,893.672,196.724,7.086,45.138,312.916,3.975,3.161,0.287,0.056
Banksia scabrella,pot_measurement,2,-28.938042,115.087018,site_-28.938042S_115.087018E,S1,,,,,,,,,,,,,,,,,,,,,
Banksia scabrella,pot_measurement,3,-28.938042,115.087018,site_-28.938042S_115.087018E,S1,,,,,,,,,,2385.819,3623.680,899.782,958.785,256.979,7.263,61.391,383.845,4.526,3.265,0.320,0.039
Banksia scabrella,pot_measurement,4,-28.938042,115.087018,site_-28.938042S_115.087018E,S1,,,,,,,,,,2083.679,4008.627,952.042,740.843,176.714,6.465,33.903,332.794,3.867,2.391,0.286,0.053
