longitude,latitude,sampling date,site,species,height (m),Specific leaf area (cm^2 g^-1),Leaf area to sapwood area ratio (cm^2 cm^-2),MOE (MPa),wood density (g cm^-1),pith area (micron^2),vessel area (micron^2),hydraulically weighted vessel diameter (micron),vessel number per area (mm^-2),vessel lumen fraction,vessel wall fraction,axial parenchyma fraction,ray fraction,axial+ray parenchyma fraction,fibre fraction,fibre wall fraction,fibre lumen fraction,conduits15 fraction,mucilage canals fraction,references
145.490E,18.162S,2012 Oct,Blencoe Falls,Corymbia citriodora,8.2,91.9347181,10115.0656,6740.82407,0.64239,87179.2,2073.9585,66.11977259,91.7402542,0.19026548,0.044247789,0.048672566,0.1238938,0.172566366,0.566371667,0.48230087,0.084070797,0.026548672,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124892"
145.490E,18.162S,2012 Oct,Blencoe Falls,Corymbia citriodora,9,86.15639498,11645.8557,6689.92072,0.65594,98960.17,1722.4948,68.35788787,85.23996705,0.1468254,0.027777777,0.063492064,0.079365077,0.142857141,0.682539686,0.59126984,0.091269846,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124893"
145.490E,18.162S,2012 Oct,Blencoe Falls,Corymbia citriodora,5.4,88.03486458,10729.21694,6096.50747,0.57043,211350.65,1462.539189,63.29048413,86.71854351,0.126829268,0.043902439,0.107317073,0.12195122,0.229268293,0.595121951,0.497560976,0.097560976,0.004878049,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124894"
145.490E,18.162S,2012 Oct,Blencoe Falls,Corymbia clarksoniana,3.9,63.75401371,13226.71014,6907.35995,0.58919,615752.16,1214.161749,61.93415125,156.5805121,0.190114068,0.057034221,0.038022814,0.053231939,0.091254753,0.631178707,0.501901141,0.129277567,0.030418251,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124895"
145.490E,18.162S,2012 Oct,Blencoe Falls,Corymbia clarksoniana,6.7,72.18918097,6547.497244,4728.88944,0.51961,546637.12,1894.671117,71.03072556,91.13025945,0.172661871,0.032374101,0.050359712,0.061151079,0.111510791,0.658273381,0.503597122,0.154676259,0.025179856,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124896"
145.490E,18.162S,2012 Oct,Blencoe Falls,Corymbia clarksoniana,2.6,66.63834706,7215.042894,2385.424,0.53835,198155.96,1335.4023,69.86857943,184.4963274,0.24637682,0.028985507,0.091787443,0.067632852,0.159420295,0.50241547,0.32850243,0.17391304,0.062801933,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124897"
145.490E,18.162S,2012 Oct,Blencoe Falls,Eucalyptus sp.,4.5,61.39710195,7404.846271,6869.53692,0.45878,579859.46,2500.689,74.53512102,70.86654518,0.17721519,0.025316455,0.14767933,0.071729956,0.219409286,0.53586498,0.32911392,0.20675106,0.042194095,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124898"
145.490E,18.162S,2012 Oct,Blencoe Falls,Eucalyptus sp.,2.4,55.79938565,6704.96036,4578.82696,0.49511,908234.44,1749.5367,66.73797203,101.3255224,0.17727272,0.018181819,0.077272725,0.11363636,0.190909085,0.51363636,0.3,0.21363636,0.1,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124899"
145.490E,18.162S,2012 Oct,Blencoe Falls,Eucalyptus sp.,3.4,67.92318473,9235.075398,7975.22091,0.56053,296880.51,2042.671468,61.46395383,90.50596363,0.18487395,0.025210084,0.113445378,0.084033613,0.197478992,0.56302521,0.369747899,0.193277311,0.029411765,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124900"
145.490E,18.162S,2012 Oct,Blencoe Falls,Grevillea glauca,3.6,65.46500551,5369.006363,3017.23853,0.60608,731362.77,1257.424566,56.89064594,103.8342989,0.130563798,0.038575668,0.130563798,0.308605341,0.439169139,0.391691395,0.34421365,0.047477745,0,0,"Zieminska K, Westoby M, Wright IJ. 2015. Broad Anatomical Variation within a Narrow Wood Density Range—A Study of Twig Wood across 69 Australian Angiosperms. PLoS ONE 10: e0124901"
