SPECIES,growth form,height (cm),plant longevity,leaf area (mm2),storage organ present,diaspore weight (mg),seed mass (mg),plant_height_duplicate,height (cm)_filtered
Chenopodium desertorum var.anidiophyllum,subshrub,30,perennial,53,0,0,0,NA,30
Sclerolaena decurrens,subshrub,20,perennial,17,0,0,0,NA,20
Sclerolaena obliquicuspis,subshrub,50,perennial,5,0,2.32,0.35,NA,50
Sida cunninghamii,subshrub,10,perennial,467,0,3.962,0.884,NA,10
Sclerolaena calcarata,subshrub,30,perennial,7,0,4.84,0.613,NA,30
Sclerolaena divaricata,subshrub,70,perennial,8,0,7.205,0.98,NA,70
Sclerolaena intricata,subshrub,50,perennial,7,0,6.77,0.54,NA,50
Sclerolaena tricuspis,subshrub,70,perennial,8,0,6.93,0.75,NA,70
Threlkeldia proceriflora,subshrub,40,perennial,50,0,10.728,0.77,NA,40
Brachyscome ciliaris var. lanuginosa,forb,40,perennial,13,0,0.116,0.116,NA,40
Centipeda cunninghamii,forb,20,perennial,13,0,0.0332,0.0332,Duplicate of WAH_1998_1126,NA
Centipeda thespidioides,forb,30,perennial,13,0,0.185,0.185,NA,30
Convolvulus erubescens,forb,10,perennial,300,1,4.322,4.322,NA,10
Hibiscus sturtii var. grandiflorus,forb,30,perennial,300,0,2.6,2.6,NA,30
Malvastrum americanum,forb,50,perennial,350,0,1.8,1.8,NA,50
Oxalis corniculata,forb,30,perennial,30,0,0.88,0.88,NA,30
Salvia verbenaca,forb,60,perennial,13333,0,1.372,1.372,NA,60
Wahlenbergia communis,forb,60,perennial,100,0,0.01,0.01,Duplicate of WAH_1998_6707,NA
Wahlenbergia queenslandica,forb,50,perennial,32,0,0.0068,0.0068,NA,50
Arthropodium minus,forb,30,perennial,500,1,2.2,2.2,NA,30
Bulbine bulbosa,forb,40,perennial,1000,1,4.2,4.2,NA,40
Juncus aridicola,forb,100,perennial,1,1,0.0089,0.0089,NA,100
Mentha pulegium,forb,50,perennial,63,0,0,0,NA,50
Mentha satureioides,forb,14,perennial,13,0,0.225,0.225,NA,14
Morgania floribunda,forb,50,perennial,117,0,0.052,0.052,NA,50
Podolepis capillaris,forb,50,perennial,7,0,0.07,0.07,Duplicate of WAH_1998_4972,NA
Rumex brownii,forb,100,perennial,1000,0,2.349,0.62,NA,100
Teucrium racemosum,forb,60,perennial,117,1,2.975,2.975,Duplicate of WAH_1998_6225,NA
Wahlenbergia fluminalis,forb,40,perennial,7,0,0.03,0.03,NA,40
Wahlenbergia gracilis,forb,50,perennial,15,0,0.0103,0.0103,NA,50
Eragrostis eriopoda,grass,60,perennial,33,0,0.045,0.045,Duplicate of GrassBase_2014_0447,NA
Eragrostis lacunaria,grass,37,perennial,90,0,0.067,0.067,NA,37
Eragrostis microcarpa,grass,60,perennial,88,0,0,0,Duplicate of GrassBase_2014_0467,NA
Eragrostis setifolia,grass,50,perennial,160,0,0.0278,0.0278,NA,50
Paspalidium constrictum,grass,60,perennial,250,0,1.413,1.413,Duplicate of GrassBase_2014_0749,NA
Eragrostis brownii,grass,40,perennial,0,0,0.1529,0.1529,Duplicate of Hughes_1992_084,NA
