Site,Species,Month,Huber_value,Huber_value_SE,SLA,SLA_SE,Sapwood_density,Sapwood_density_SE,Predawn_leaf_water_potential,Predawn_leaf_water_potential_SE,Midday_leaf_water_potential,Midday_leaf_water_potential_SE,Sapwood_area_max_rate,Sapwood_area_max_rate_SE,Sapwood_area,Sapwood_area_SE,Canopy_conductance,Canopy_conductance_SE,soil_to_leaf_hydraulic_conductance,soil_to_leaf_SE
Tin fish,Corymbia opaca,2007-04,1.2,0.1,,,,,-0.61,0.05,-1.73,0.11,0.08,0.01,2166,5111,4.3,0.8,0.05,0.01
Tin fish,Corymbia opaca,2007-11,3.5,0.1,,,,,-0.95,0.14,-1.59,0.21,0.06,0.01,2696,372,14.3,2.3,0.03,0.004
Tin fish,Eucalyptus victrix,2007-04,1.9,0.3,,,,,-0.98,0.05,-2.78,0.18,0.07,0.01,2363,537,6.1,1.4,0.03,0.006
Tin fish,Eucalyptus victrix,2007-11,2.6,0.3,,,,,-1.3,0.09,-3.06,0.1,0.06,0.01,2026,378,8.3,1.8,0.02,0.003
Tin fish,Acacia aneura,2007-04,6.5,0.7,,,,,-3.13,0.3,-5.33,0.14,0.06,0.01,2221,73,14.3,4.5,0.01,0.004
Tin fish,Acacia aneura,2007-11,14.4,2.2,,,,,-7.68,0.36,-7.69,0.3,0.01,0,109,36,9,2.2,,
Woodforde,Eucalyptus camaldulensis,2007-04,2.2,0.3,,,,,-0.29,0.06,-2.31,0.3,0.12,0.03,4129,1085,11.6,3,0.04,0.01
Woodforde,Eucalyptus camaldulensis,2007-11,2.9,0.5,,,,,-1.15,0.13,-2.36,0.16,0.12,0.02,4718,791,19.8,3.9,0.05,0.02
Woodforde,Acacia aneura,2007-04,5.9,0.5,,,,,-0.82,0.02,-2.67,0.05,0.05,0.003,1693,76,11,2.1,0.01,0.003
Woodforde,Acacia aneura,2007-11,9.8,0.9,,,,,-7.22,0.31,-6.9,0.2,0.03,0.006,640,133,8.3,1.8,,
Tin fish,Corymbia opaca,,,,4.3,0.2,569.7,20.7,,,,,,,,,,,,
Tin fish,Eucalyptus victrix,,,,3.7,0.1,666.8,17.5,,,,,,,,,,,,
Tin fish,Acacia aneura,,,,2.4,0.1,736,8.7,,,,,,,,,,,,
Woodforde,Eucalyptus camaldulensis,,,,4.8,0.2,569.5,9.5,,,,,,,,,,,,
Woodforde,Acacia aneura,,,,2.5,0.1,745.9,9.6,,,,,,,,,,,,
