find,dataset_id,still_to_match,stripped_name,stripped_name2,cleaned_name,trinomial,binomial,genus,replace_new,reason_new,fuzzy_match_genus,fuzzy_match_genus_known,fuzzy_match_genus_APNI,fuzzy_match_binomial,fuzzy_match_binomial_APC_known,fuzzy_match_trinomial,fuzzy_match_trinomial_known,fuzzy_match_cleaned_APC,fuzzy_match_cleaned_APC_known,fuzzy_match_cleaned_APNI,fuzzy_match_cleaned_APC_imprecise,fuzzy_match_cleaned_APC_known_imprecise,fuzzy_match_cleaned_APNI_imprecise,taxonomic_ref,taxonomic_resolution
Abutilon hannii subsp. indeterminate,RussellSmith_2014,match_14_accepted,abutilon hannii indeterminate,abutilon hannii indeterminate,Abutilon hannii subsp. indeterminate,abutilon hannii indeterminate,abutilon hannii,Abutilon,Abutilon hannii,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Abutilon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Abutilon indicum subsp. indeterminate,RussellSmith_2014,match_14_accepted,abutilon indicum indeterminate,abutilon indicum indeterminate,Abutilon indicum subsp. indeterminate,abutilon indicum indeterminate,abutilon indicum,Abutilon,Abutilon indicum,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Abutilon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Acacia aneura var. Bloods Range (D.J.Nelson 631),RussellSmith_2014,match_06_known,acacia aneura bloods range d j nelson 631,acacia aneura bloods range d j nelson 631,Acacia aneura var. Bloods Range (D.J.Nelson 631),acacia aneura bloods,acacia aneura,Acacia,Acacia aneura var. Bloods Range (D.J.Nelson 631),match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Acacia,Acakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Varietas
Acacia aneura var. indeterminate,RussellSmith_2014,match_14_accepted,acacia aneura indeterminate,acacia aneura indeterminate,Acacia aneura var. indeterminate,acacia aneura indeterminate,acacia aneura,Acacia,Acacia aneura,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Acacia,Acakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Acacia colei var. indeterminate,RussellSmith_2014,match_14_accepted,acacia colei indeterminate,acacia colei indeterminate,Acacia colei var. indeterminate,acacia colei indeterminate,acacia colei,Acacia,Acacia colei,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Acacia,Acakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Acacia cyperophylla var. indeterminate,RussellSmith_2014,match_14_known,acacia cyperophylla indeterminate,acacia cyperophylla indeterminate,Acacia cyperophylla var. indeterminate,acacia cyperophylla indeterminate,acacia cyperophylla,Acacia,Acacia cyperophylla,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-05-22),Acacia,Acakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Acacia drepanocarpa subsp. indeterminate,RussellSmith_2014,match_14_accepted,acacia drepanocarpa indeterminate,acacia drepanocarpa indeterminate,Acacia drepanocarpa subsp. indeterminate,acacia drepanocarpa indeterminate,acacia drepanocarpa,Acacia,Acacia drepanocarpa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Acacia,Acakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Acacia galioides var. indeterminate,RussellSmith_2014,match_14_accepted,acacia galioides indeterminate,acacia galioides indeterminate,Acacia galioides var. indeterminate,acacia galioides indeterminate,acacia galioides,Acacia,Acacia galioides,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Acacia,Acakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Acacia galioides var. leioclada,RussellSmith_2014,match_06_known,acacia galioides leioclada,acacia galioides leioclada,Acacia galioides var. leioclada,acacia galioides leioclada,acacia galioides,Acacia,Acacia galioides var. leioclada,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Acacia,Acakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Varietas
Acacia macdonnellensis subsp. indeterminate,RussellSmith_2014,match_14_accepted,acacia macdonnellensis indeterminate,acacia macdonnellensis indeterminate,Acacia macdonnellensis subsp. indeterminate,acacia macdonnellensis indeterminate,acacia macdonnellensis,Acacia,Acacia macdonnellensis,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Acacia,Acakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
