taxon_name,family,plant_growth_form_to_use,woodiness_to_use
Acanthus ebracteatus,Acanthaceae,shrub,woody
Acanthus ebracteatus subsp. ebarbatus,Acanthaceae,shrub,woody
Acanthus ilicifolius,Acanthaceae,shrub,woody
Acanthus mollis,Acanthaceae,herb,woody
Andrographis paniculata,Acanthaceae,herb,herbaceous
Asystasia alba,Acanthaceae,herb,herbaceous soft_woody
Asystasia australasica,Acanthaceae,herb,herbaceous
Asystasia gangetica,Acanthaceae,herb,herbaceous
Asystasia gangetica subsp. gangetica,Acanthaceae,herb,herbaceous
Asystasia gangetica subsp. micrantha,Acanthaceae,herb,herbaceous
Asystasia sp. Flora of Australia (D.A.Powell 740),Acanthaceae,,
Asystasia sp. Newcastle Bay (L.J.Brass 18671),Acanthaceae,herb,herbaceous
Asystasia sp. Phosphate Hill (D.A.Powell 787),Acanthaceae,,
Avicennia integra,Acanthaceae,shrub tree,woody
Avicennia marina,Acanthaceae,shrub tree,woody
Avicennia marina subsp. australasica,Acanthaceae,shrub tree,woody
Avicennia marina subsp. eucalyptifolia,Acanthaceae,shrub tree,woody
Avicennia marina subsp. marina,Acanthaceae,shrub tree,woody
Barleria cristata,Acanthaceae,shrub,woody
Barleria lupulina,Acanthaceae,shrub,woody
Barleria prionitis,Acanthaceae,shrub,woody
Barleria repens,Acanthaceae,herb subshrub climber_herbaceous,herbaceous semi_woody
Barleria strigosa,Acanthaceae,subshrub,woody
Brillantaisia lamium,Acanthaceae,shrub,woody
Brunoniella acaulis,Acanthaceae,herb,herbaceous
Brunoniella acaulis subsp. acaulis,Acanthaceae,herb,herbaceous
Brunoniella acaulis subsp. ciliata,Acanthaceae,herb,herbaceous
Brunoniella australis,Acanthaceae,herb,herbaceous
Brunoniella linearifolia,Acanthaceae,herb,herbaceous
Brunoniella pumilio,Acanthaceae,herb,herbaceous
Brunoniella sp. Daly River road (N.Byrnes 1275),Acanthaceae,herb,herbaceous
Brunoniella spiciflora,Acanthaceae,herb,herbaceous
Crossandra infundibuliformis,Acanthaceae,subshrub,semi_woody
Crossandra nilotica,Acanthaceae,subshrub,semi_woody
Dicladanthera forrestii,Acanthaceae,herb subshrub,herbaceous semi_woody
Dicladanthera glabra,Acanthaceae,herb subshrub,herbaceous semi_woody woody
Dicliptera armata,Acanthaceae,herb,herbaceous
Dicliptera arnhemica,Acanthaceae,herb,herbaceous
Dicliptera australis,Acanthaceae,herb,herbaceous
Dicliptera chinensis,Acanthaceae,herb,herbaceous
Dicliptera ciliata,Acanthaceae,herb,herbaceous
Dicliptera glabra,Acanthaceae,herb,herbaceous
Dicliptera maclearii,Acanthaceae,herb,herbaceous
Dicliptera miscella,Acanthaceae,herb,herbaceous
Dicliptera spicata,Acanthaceae,herb,herbaceous
Dipteracanthus australasicus,Acanthaceae,herb shrub,herbaceous woody
Dipteracanthus australasicus subsp. australasicus,Acanthaceae,subshrub shrub,woody woody_base
Dipteracanthus australasicus subsp. corynothecus,Acanthaceae,subshrub shrub,woody woody_base
Dipteracanthus australasicus subsp. dalyensis,Acanthaceae,subshrub shrub,woody woody_base
Dipteracanthus australasicus subsp. glabratus,Acanthaceae,subshrub shrub,woody woody_base
Dipteracanthus bracteatus,Acanthaceae,herb,herbaceous
Dipteracanthus chichesterensis,Acanthaceae,subshrub,woody
Dipteracanthus prostratus,Acanthaceae,subshrub shrub,woody woody_base
Dipteracanthus sp. Kalpowar (D.G.Fell+ DGF2969B),Acanthaceae,subshrub,woody
Dyschoriste depressa,Acanthaceae,herb,herbaceous
Ecbolium ligustrinum,Acanthaceae,shrub,woody
Eranthemum pulchellum,Acanthaceae,shrub,woody
Graptophyllum excelsum,Acanthaceae,shrub,woody
Graptophyllum ilicifolium,Acanthaceae,shrub,woody
Graptophyllum pictum,Acanthaceae,shrub,woody
Graptophyllum reticulatum,Acanthaceae,shrub,woody
Graptophyllum spinigerum,Acanthaceae,shrub,woody
Harnieria hygrophiloides,Acanthaceae,shrub,woody
Harnieria kempeana,Acanthaceae,shrub,woody
Harnieria kempeana subsp. kempeana,Acanthaceae,shrub,woody
Harnieria kempeana subsp. muelleri,Acanthaceae,shrub,woody
Harnieria kempeana subsp. rhadinophylla,Acanthaceae,shrub,woody
Harnieria sp. Lornesleigh (E.J.Thompson+ CHA75),Acanthaceae,shrub,woody
Harnieria sp. Mt Garnet (R.J.Myers AQ6301),Acanthaceae,shrub,woody
Hemigraphis alternata,Acanthaceae,herb,herbaceous
Hemigraphis ciliata,Acanthaceae,herb,herbaceous
Hemigraphis primulifolia,Acanthaceae,herb,herbaceous
Hygrophila angustifolia,Acanthaceae,herb,herbaceous
Hygrophila costata,Acanthaceae,herb,herbaceous
Hygrophila polysperma,Acanthaceae,herb,herbaceous
Hygrophila triflora,Acanthaceae,herb,herbaceous
Hypoestes aristata,Acanthaceae,herb subshrub,herbaceous semi_woody
Hypoestes floribunda,Acanthaceae,herb subshrub,herbaceous woody
Hypoestes floribunda var. angustifolia,Acanthaceae,herb subshrub,herbaceous woody
Hypoestes floribunda var. canescens,Acanthaceae,herb subshrub,herbaceous woody
Hypoestes floribunda var. cinerea,Acanthaceae,herb subshrub,herbaceous woody
Hypoestes floribunda var. distans,Acanthaceae,herb subshrub,herbaceous woody
Hypoestes floribunda var. floribunda,Acanthaceae,herb subshrub,herbaceous woody
Hypoestes floribunda var. pubescens,Acanthaceae,herb subshrub,herbaceous woody
Hypoestes floribunda var. suaveolens,Acanthaceae,herb subshrub,herbaceous woody
Hypoestes floribunda var. varia,Acanthaceae,herb subshrub,herbaceous woody
Hypoestes floribunda var. velutina,Acanthaceae,herb subshrub,herbaceous woody
Hypoestes floribunda var. yorkensis,Acanthaceae,herb subshrub,herbaceous woody
Hypoestes phyllostachya,Acanthaceae,herb subshrub,herbaceous woody
Hypoestes sparsiflora,Acanthaceae,herb subshrub,herbaceous woody
Isoglossa eranthemoides,Acanthaceae,herb,herbaceous
Justicia betonica,Acanthaceae,herb shrub,herbaceous soft_woody
Justicia brandegeeana,Acanthaceae,shrub,woody
Justicia carnea,Acanthaceae,shrub,woody
Justicia carthagenensis,Acanthaceae,herb,herbaceous
Justicia caudata,Acanthaceae,shrub,woody
Justicia gendarussa,Acanthaceae,shrub,woody
Justicia spicigera,Acanthaceae,shrub,woody
Justicia tenella,Acanthaceae,herb,herbaceous
Lepidagathis royenii,Acanthaceae,herb,herbaceous
Nelsonia campestris,Acanthaceae,herb,herbaceous
Odontonema cuspidatum,Acanthaceae,shrub,woody
Pachystachys coccinea,Acanthaceae,shrub,woody
Peristrophe bivalvis,Acanthaceae,herb,herbaceous
Peristrophe brassii,Acanthaceae,herb,herbaceous
Peristrophe speciosa,Acanthaceae,herb shrub,herbaceous woody
Pseuderanthemum tenellum,Acanthaceae,shrub,woody
Pseuderanthemum variabile,Acanthaceae,herb,herbaceous
Rhaphidospora bonneyana,Acanthaceae,shrub,woody
Rhaphidospora cavernarum,Acanthaceae,herb shrub,herbaceous semi_woody
Rhaphidospora platyphylla,Acanthaceae,herb shrub,herbaceous semi_woody
Rostellularia adscendens,Acanthaceae,herb subshrub,herbaceous semi_woody
Rostellularia adscendens subsp. adscendens,Acanthaceae,herb subshrub,herbaceous semi_woody
Rostellularia adscendens subsp. clementii,Acanthaceae,herb subshrub,herbaceous semi_woody
Rostellularia adscendens subsp. dallachyi,Acanthaceae,herb subshrub,herbaceous semi_woody
Rostellularia adscendens subsp. glaucoviolacea,Acanthaceae,herb subshrub,herbaceous semi_woody
Rostellularia adscendens subsp. Irvinebank (A.R.Bean+ 5461),Acanthaceae,herb subshrub,herbaceous semi_woody
Rostellularia adscendens var. adscendens,Acanthaceae,herb subshrub,herbaceous semi_woody
Rostellularia adscendens var. clementii,Acanthaceae,herb,herbaceous
Rostellularia adscendens var. hispida,Acanthaceae,herb subshrub,herbaceous semi_woody
Rostellularia adscendens var. juncea,Acanthaceae,herb subshrub,herbaceous semi_woody
Rostellularia adscendens var. largiflorens,Acanthaceae,herb,herbaceous
Rostellularia adscendens var. latifolia,Acanthaceae,herb subshrub,herbaceous semi_woody
Rostellularia adscendens var. pogonanthera,Acanthaceae,herb subshrub,herbaceous semi_woody
Rostellularia obtusa,Acanthaceae,herb,herbaceous
Ruellia blechum,Acanthaceae,herb,herbaceous
Ruellia ciliosa,Acanthaceae,herb,herbaceous
Ruellia repens,Acanthaceae,herb,herbaceous
Ruellia simplex,Acanthaceae,herb,herbaceous
Ruellia solitaria,Acanthaceae,herb,herbaceous
Ruellia sp. A Kimberley Flora (K.F.Kenneally 9007),Acanthaceae,herb shrub,herbaceous semi_woody woody
Ruellia squarrosa,Acanthaceae,shrub,woody
Ruellia tuberosa,Acanthaceae,herb,herbaceous
Sanchezia parvibracteata,Acanthaceae,shrub,woody
Staurogyne spatulata,Acanthaceae,herb,herbaceous
Stephanophysum longifolium,Acanthaceae,herb subshrub shrub,herbaceous semi_woody woody
Strobilanthes hamiltoniana,Acanthaceae,shrub,woody
Strobilanthes persicifolia,Acanthaceae,shrub,woody
Strobilanthes wallichii,Acanthaceae,herb,herbaceous
Thunbergia alata,Acanthaceae,climber_herbaceous,herbaceous
Thunbergia arnhemica,Acanthaceae,climber_herbaceous,herbaceous
Thunbergia fragrans,Acanthaceae,climber_herbaceous,herbaceous
Thunbergia grandiflora,Acanthaceae,climber_herbaceous,herbaceous
Thunbergia mysorensis,Acanthaceae,climber_herbaceous,herbaceous
Xerothamnella herbacea,Acanthaceae,herb,herbaceous
Xerothamnella parvifolia,Acanthaceae,shrub,woody
Baileyoxylon lanceolatum,Achariaceae,tree,woody
Hydnocarpus sp. Possum Scrub (G.Sankowsky+ 1349),Achariaceae,tree,woody
Ryparosa kurrangii,Achariaceae,tree,woody
Actinidia chinensis,Actinidiaceae,climber_woody,woody
Saurauia andreana,Actinidiaceae,shrub tree,woody
Agapanthus praecox,Agapanthaceae,herb,herbaceous
Agapanthus praecox subsp. orientalis,Agapanthaceae,herb,herbaceous
Agapanthus praecox subsp. praecox,Agapanthaceae,herb,herbaceous
Aizoon pubescens,Aizoaceae,herb subshrub,herbaceous woody_base
