var_name,trait_name,unit
LMA (mg mm-2),specific_leaf_area,mg/mm2
Leaf nitrogen (mg mg-1),leaf_N_per_dry_mass,mg/mg
leaf size (mm2),leaf_area,mm2
wood density (mg mm-3),wood_density,mg/mm3
branch mass fraction,branch_mass_fraction,fraction
Seed mass (mg),seed_mass,mg
