species,Sex,Plant ID,Height,LAI,DIFN,tot lf (mg),SLA,#flws/br,mn flw (mg),mn frt (mg),tot flw (mg),#frt/br,tot frt (mg),tot stm (mg),chlorophyll,% nitrogen,#flws/lf (g),flw/lf (g),lf/stm (mg),RA (rep/stm),RA (rep/veg),C-iso diff
Maireana pyramidata,male,1,65,18.39,0.063,5715,8.185263158,460,0.42,1.5,160.3,1,1.5,2893.5,184.27,2.288,80.48993876,28.04899388,1.975116641,55.91843788,28.31146107,
Maireana pyramidata,male,3,75,20.83,0.046,,7.741509434,,,,,,,,165.87,2.26,,,,,,
Maireana pyramidata,male,5,75,25.53,0.023,,6.968584071,,,,,,,,202.89,2.551,,,,,,
Maireana pyramidata,male,7,90,23.89,0.03,,7.455882353,,,,,,,,183.47,2.398,,,,,,
Maireana pyramidata,male,9,80,29.59,0.012,,7.312844037,,,,,,,,192.05,2.955,,,,,,
Maireana pyramidata,male,11,105,9.34,0.25,2697.4,9.099166667,123,0.3,1.2,41.1,1,1.3,1103.1,219.14,3.391,45.59946615,15.23689479,2.445290545,38.43713172,15.71884036,
Maireana pyramidata,male,13,60,11.59,0.172,6502.3,7.985350318,66,0.3,1.9,16.3,1,2.1,2544.3,215.13,3.116,10.15025453,2.506805284,2.555634163,7.23185159,2.829767928,
Maireana pyramidata,male,15,90,24.07,0.029,1792.9,6.89556962,12,0.22,,2.5,,,1252.1,167.76,3.265,6.693067098,1.394388979,1.431914384,1.996645635,1.394388979,
Maireana pyramidata,male,17,135,16.84,0.078,1808,7.684393064,99,0.46,,34.8,,,895,177.45,3.525,54.75663717,19.24778761,2.020111732,38.88268156,19.24778761,
Maireana pyramidata,male,19,150,21.23,0.043,5509.4,8.497810219,125,0.34,1.975,29.7,4,8.4,4175.4,106.59,3.057,22.68849602,5.390786656,1.319490348,9.124874264,6.915453588,
Maireana pyramidata,male,21,100,14.25,0.126,5154.2,,537,0.42,3.25,156,4,13,3201.3,,,104.1868767,30.26657871,1.610033424,52.79105363,32.78879361,-25.15
Maireana pyramidata,male,23,120,6.44,0.374,2511.6,,90,0.22,,18.8,,,1694.6,,,35.83373149,7.485268355,1.482119674,11.0940635,7.485268355,-24.55
Maireana pyramidata,male,25,130,16.72,0.08,5345.2,,705,0.26,,175,,,3841.5,,,131.8940358,32.73965427,1.391435637,45.5551217,32.73965427,-25.1
Maireana pyramidata,male,27,85,16.79,0.083,8863.3,,551,0.42,,163.6,,,5843.5,,,62.1664617,18.45813636,1.516779327,27.99691965,18.45813636,-24.1
Maireana pyramidata,male,29,105,21.65,0.062,5110.5,,864,0.26,,273.1,,,2459.5,,,169.0636924,53.43899814,2.077861354,111.038829,53.43899814,-24.55
Maireana pyramidata,male,31,75,30.86,0.01,2093.3,,23,0.3,5,5.8,1,5,1784.5,,,10.98743611,2.770744757,1.173045671,6.052115438,5.159317824,-26.8
Maireana pyramidata,male,33,80,12.37,0.154,8732.9,,931,0.3,,270.7,,,4859.2,,,106.6083432,30.99772126,1.797188838,55.70875864,30.99772126,-23.5
Maireana pyramidata,male,35,70,13.38,0.132,1133.4,,39,0.3,,9.2,,,1152.2,,,34.4097406,8.117169578,0.983683388,7.984724874,8.117169578,-25.75
Maireana pyramidata,male,37,75,12.74,0.151,,,,,,,,,,,,,,,,,-24.15
Maireana pyramidata,male,39,80,10.67,0.197,,,,,,,,,,,,,,,,,-26
Maireana pyramidata,female,2,105,19.02,0.058,2239.1,7.616546763,317,0.18,7.34,69.5,78,256.2,1237.1,83.56,2.718,141.5747399,31.03925684,1.809958775,263.2770188,145.4602296,
Maireana pyramidata,female,4,75,16.57,0.084,,7.328476821,,,,,,,,154.6,2.626,,,,,,
Maireana pyramidata,female,6,70,14.32,0.116,,6.214728682,,,,,,,,219.91,2.884,,,,,,
Maireana pyramidata,female,8,75,16.54,0.088,,6.756832298,,,,,,,,213.29,2.895,,,,,,
Maireana pyramidata,female,10,65,13.78,0.127,2828.1,9.132330827,565,0.26,6.36,127.6,97,40.9,1986.7,144.84,2.668,199.7807715,45.11863088,1.423516384,84.81401319,59.58063718,
Maireana pyramidata,female,12,95,15.15,0.109,2185.7,7.85748503,311,0.36,9.4,85.9,46,248.7,1512.7,182.4,2.855,142.2885117,39.30091046,1.444899848,221.1938917,153.0859679,
Maireana pyramidata,female,14,90,15.85,0.096,4825.7,10.265,451,0.24,9.88,70.6,78,231.4,1986.5,168.16,2.941,93.45794393,14.63000187,2.42924742,152.0261767,62.58159438,
Maireana pyramidata,female,16,95,15.43,0.097,5504.6,7.289756098,377,0.26,8.86,98.3,96,33.7,2679,149.82,2.459,68.48817353,17.85779167,2.054721911,49.27211646,23.97994405,
Maireana pyramidata,female,18,105,20.33,0.047,6963.7,10.72,461,0.24,9.96,96.7,79,327.7,5040.1,125.48,2.339,66.20043942,13.88629608,1.381659094,84.20467848,60.94461278,
Maireana pyramidata,female,20,145,14.16,0.123,,7.125543478,,,,,,,,142.66,2.588,,,,,,
Maireana pyramidata,female,22,100,15.27,0.112,4732.8,,368,0.34,8.24,87.8,158,702.8,4938.9,,,77.75524003,18.55138607,0.95827006,160.0761303,167.0469912,-24.2
Maireana pyramidata,female,24,145,18.07,0.066,5300.7,,812,0.22,9.62,227.7,31,147.5,3478.8,,,153.1873149,42.95659064,1.523715074,107.8532827,70.78310412,-24.35
Maireana pyramidata,female,26,100,17.04,0.078,5836.4,,895,0.2,7.66,159.4,67,358.3,4523.1,,,153.3479542,27.31135632,1.290353961,114.456899,88.70193955,-24.05
Maireana pyramidata,female,28,105,20.8,0.044,4372.5,,429,0.2,8.1,86.5,167,650.2,3145.4,,,98.11320755,19.78273299,1.390125262,234.2150442,168.4848485,-24.45
Maireana pyramidata,female,30,70,13.01,0.14,2147.5,,258,0.24,6.82,61.6,144,295.9,2076.7,,,120.1396973,28.68451688,1.034092551,172.1481196,166.4726426,-24.75
Maireana pyramidata,female,32,85,26.22,0.02,3403.6,,175,0.24,10.98,58.9,55,171.8,3313.8,,,51.41614761,17.30520625,1.027098799,69.61796125,67.78117288,-25.2
Maireana pyramidata,female,34,80,5.03,0.46,2983,,448,0.28,7.76,98.2,88,365.4,3265.2,,,150.1843781,32.91987932,0.913573441,141.9821144,155.4140127,-23.4
Maireana pyramidata,female,36,55,28.51,0.014,,,,,,,,,,,,,,,,,-25.4
Maireana pyramidata,female,38,55,19.98,0.052,2311.9,,243,0.32,12.86,73.4,258,2167.7,1973.3,,,105.1083524,31.74877806,1.171590736,1135.711752,969.3758381,-26.3
Maireana pyramidata,female,40,95,15.22,0.1,,,,,,,,,,,,,,,,,-24.7
