plot,tree_number,growth_group,species,mean BAI,mean PAI,DBH_(2014),ht,"CII (canopy illumination index, see Clark and Clark)",nearest neighbor,slope,aspect,SLA(mean),CV,C(Wt%),N(Wt %),Al(mg/kg),B(mg/kg),Ca(Wt %),Cu(mg/kg),Fe(mg/kg),K(Wt %),Mg(Wt %),Mn(mg/kg),Na(mg/kg),P(Wt %),S(Wt %),Zn(mg/kg)
exp625p4,156,slow,Acacia aulacocarpa,0.000149986,0.084223856,135,16.1,2.5,2.2,15,140,97.9318538,8.856597644,53.39,3.156,1.14122093,5.599651163,0.012861844,0.530813953,23.58128488,0.377237023,0.065738182,26.50850233,356.8938837,0.1460469,0.590521519,7.589099917
exp625p4,115,fast,Acacia aulacocarpa,0.001244399,0.430857843,320,17,4,2.5,30,240,62.31360974,9.825536745,53.23,1.971,3.360568966,0.943103448,0.080155691,0.566933498,34.17921798,0.420481182,0.077559947,260.5462069,179.5264901,0.092984568,0.202856473,10.51551724
exp625p4,194,fast,Acacia aulacocarpa,0.001838825,0.450841503,363,18,4,3.9,18,140,78.97049782,3.229399153,53.33,2.483,7.391911162,9.523291572,0.081335217,0.46167426,51.8522295,0.368747153,0.104337491,128.3440547,559.2686959,0.093013211,0.317477114,4.420166667
exp625p4,174,fast,Acacia aulacocarpa,0.004846319,0.673096405,637,18,4,3.9,18,140,65.13880274,8.519811579,52.09,2.25,3.580461894,3.073672055,0.04393396,0.550577367,36.17526848,0.451292564,0.048442347,99.19039261,490.8190704,0.070096108,0.280718425,7.213256956
exp78p2,68,slow,Alangium villosum,6.62265E-05,0.380705882,118,7,2,0.1,3,10,161.1338698,6.273888758,44.93,3.094,695.6313241,94.0673995,1.563867827,7.834861809,78.98159548,1.738394171,0.400471102,40.92671357,330.274108,0.35069047,0.226259304,58.86268844
exp78p2,85,slow,Alangium villosum,0.000117119,0.400078431,125,10,2.5,1.5,3,10,149.4629514,4.778568463,45.08,3.399,25.02156386,35.8246742,1.129118663,4.716159861,56.52604692,2.227431034,0.265711272,25.24424674,224.7900087,0.304772423,0.246012869,13.4447437
exp78p2,58,slow,Aleurites moluccana,0.000110163,0.573294118,180,11,2.5,0.7,3,10,72.45922308,9.588180219,44.48,2.262,45.26514558,45.72251392,2.297516771,2.591010342,48.77042959,0.915098425,1.209929414,158.2688942,59.50879714,0.179141137,0.183136366,10.18727128
exp78p2,1,slow,Aleurites moluccana,0.000136619,0.535529412,161,11,1.5,1.2,3,40,154.0191123,19.81207331,41.09,2.85,44.98364926,43.08965517,2.996196632,4.656256158,70.52627094,3.06958534,1.142663718,287.2181281,192.7567813,0.306321476,0.200986711,14.76009852
exp78p2,146,,Aleurites moluccana,0.000264773,0.618745098,205,13,4,1.4,2,310,101.048327,6.911483501,45.22,2.058,24.02053037,31.73567151,1.883897931,2.960650128,32.35169376,1.10217444,1.135811526,194.2972113,77.59214885,0.284970546,0.151636195,10.43772455
exp78p1,85,fast,Aleurites moluccana,0.002043892,0.596655133,369,18,3,2.3,4,30,73.74215712,4.899682734,48.72,1.302,50.26741973,66.03268859,1.950288763,1.870599613,63.69687621,0.574377099,2.361701038,120.5268549,113.5337253,0.309904679,0.207289277,17.57591876
exp78p1,25,fast,Aleurites moluccana,0.003222863,0.390403691,703,22.5,4,2.6,7,95,123.376536,26.2039047,44.98,3.027,12.33497596,22.33918269,0.914758041,2.370733173,57.48292969,0.947715577,1.16104115,201.8476923,41.12496635,0.432596357,0.276704154,15.56634615
exp625p4,7,slow,Alphitonia whitei,0.000102828,0.032663399,208,10.6,3,2.5,8,90,73.31961085,5.324687112,51.69,1.672,0.182432432,1.216469595,0.117478894,1.006841216,13.23189611,0.278332703,0.085893495,85.39016216,50.11523564,0.063208696,0.092164875,7.361655405
exp625p4,123,slow,Alphitonia whitei,0.00025501,0.082369281,224,10,2.5,1.2,35,330,126.560165,7.909797668,50.48,1.934,16.44570629,2.328127428,0.114360972,0.778554779,43.46347708,0.394554033,0.113436638,131.9225486,223.1611966,0.082504965,0.122823863,9.163558664
exp625p5,58,med,Alphitonia whitei,0.000498413,0.271617647,170,8.3,3,2.3,15,160,82.15917406,6.444215094,51.38,1.087,23.20799346,17.77395095,0.296376578,2.098474114,52.34361308,0.447977853,0.212795244,219.0767084,197.5828447,0.102385868,0.168799898,10.45711172
exp625p4,144,slow,Alstonia muelleriana,0.000135213,0.07375817,129,14,3,1.6,5,140,97.01075827,6.011337976,50.81,2.039,2.862666667,5.004748338,0.170878956,1.320797721,30.28147673,0.301341538,0.221353916,246.9865147,314.4168661,0.05614104,0.224143981,11.14767331
exp625p4,9,slow,Alstonia muelleriana,0.000193266,0.102246732,141,13,2.5,1.5,7,130,72.93331907,11.3890455,50.75,1.372,5.901456881,12.64495413,0.232023753,0.730275229,22.78065596,0.212259523,0.19708748,420.4330275,180.3829,0.050448713,0.154918268,7.283211009
exp625p4,183,fast,Alstonia muelleriana,0.000542117,0.237336601,196,13.5,3,1.2,18,110,100.7450972,8.442421893,53.9,1.928,0.274542056,4.606728972,0.112707798,0.894485981,17.20496729,0.344177047,0.147862573,181.938243,157.7866682,0.06617978,0.177311693,8.920955166
exp625p4,59,fast,Alstonia muelleriana,0.000829317,0.333333333,250,20.5,4,3.4,18,120,87.80746763,11.94852319,56.65,1.781,4.112267526,10.03271555,0.083382359,0.816680097,17.42384367,0.428360355,0.153637449,136.6196293,157.4979734,0.072522444,0.19662781,6.314826753
exp625p4,142,fast,Alstonia muelleriana,0.001031592,0.379232026,280,17,4,4.3,5,290,77.03324212,13.44150073,54.21,1.621,8.31609872,17.14478976,0.091111503,0.464899452,20.00968464,0.370158099,0.153021493,196.6297623,185.4619059,0.05228376,0.186134197,5.915630713
exp78p1,246,slow,Aphananthe philippinensis,0.000136934,0.080576701,165,5,3,3,8,80,93.8520621,21.35373443,44.6,1.766,34.03297612,40.50231343,0.579616128,4.221716418,72.62833582,0.994479045,0.321729309,278.7123582,105.3535433,0.22332176,0.234159561,31.8758209
exp78p1,212,slow,Aphananthe philippinensis,0.000186565,0.072733564,202,5.8,2.5,1.9,4,95,115.9877601,12.31405844,49.66,1.79,13.44155696,58.75279536,0.894124041,6.277584388,69.40577532,1.41693519,0.26215122,308.9674262,118.2291841,0.209536576,0.264717042,41.92911392
exp78p1,257,slow,Aphananthe philippinensis,0.000208346,0.092283737,208,5.2,3,4,5,95,101.1967794,13.47163718,46.11,2.516,11.40715717,35.84529856,0.489811799,3.267192862,48.84879547,0.819621908,0.278046777,161.2606726,81.00368291,0.188855353,0.207207627,23.2676733
exp78p1,165,fast,Aphananthe philippinensis,0.001252104,0.380230681,336,7,3,3,4,95,89.92497385,17.35589184,49.21,2.575,20.18246132,58.34290831,0.603142988,4.572421203,63.81585602,0.797966991,0.322490769,180.7202292,100.9540666,0.225097019,0.244809034,36.14734957
exp78p1,109,slow,Argyrodendron peralatum,9.93242E-05,0.061914648,119,4,2,0.5,7,95,62.24685273,3.771471175,49.27,1.97,48.15796226,44.05108316,1.659403201,4.173305381,73.65207547,0.595454927,0.231439492,146.030021,354.8090915,0.178501557,0.155619575,8.485115304
exp78p1,52,slow,Argyrodendron peralatum,0.000182006,0.038085352,335,24,4,2.6,7,95,48.63113626,3.967305488,50.79,1.626,16.06872218,31.24058782,1.323000547,2.690272918,58.42426522,0.42144739,0.241271878,110.6989503,105.0842379,0.293132063,0.18565977,12.17270819
exp78p1,3,fast,Argyrodendron peralatum,0.000562999,0.218846597,310,18,3.5,3.9,7,95,50.98907473,2.760985807,50.82,3.202,21.06131987,32.7151966,1.687428258,2.961955367,96.72343252,0.556262869,0.188719572,184.5995324,165.9614772,0.215205302,0.19863295,10.24649309
exp78p1,142,fast,Argyrodendron peralatum,0.001415558,0.388269896,450,21,4,6,5,95,51.85652701,9.676581767,47.81,1.781,20.6118081,25.3535982,0.826565503,4.294227886,59.64844828,0.437845637,0.182316397,108.5274963,96.32503223,0.308889092,0.164456531,8.645052474
exp78p1,81,fast,Argyrodendron peralatum,0.005789002,0.819181084,778,25.6,4,7,3,5,61.64823676,12.08847736,37.71,2.588,31.45091581,29.27837098,0.907381849,2.780150582,90.99247091,0.372690924,0.205850838,267.4796988,232.9399384,0.16371438,0.166361199,8.436618754
exp78p2,124,slow,Argyrodendron trifoliolatum,0.000101638,0.49172549,162,9.5,2.5,1.3,3,10,75.81954003,11.38888938,45.26,2.141,14.51999073,26.75772798,0.525070519,9.635162287,39.13314915,1.017004266,0.27142219,197.5453478,104.9397921,0.197896235,0.190929839,18.57457496
exp78p2,253,slow,Argyrodendron trifoliolatum,0.000159116,0.457215686,141,5.2,3,1,6,350,90.20118241,12.6436471,44.26,2.415,24.73431353,29.23904576,0.956471539,9.162317429,33.01440604,1.081385316,0.2099168,229.04148,312.8830672,0.166322988,0.159264277,15.71382668
exp78p2,198,slow,Argyrodendron trifoliolatum,0.000181462,0.487294118,157,8,2.5,1,3,5,81.7446279,8.213519189,48.38,1.916,11.77378759,15.26372414,0.649198842,8.911034483,36.99684828,1.174071393,0.201635802,94.41721379,76.90483724,0.139150165,0.154458905,19.66262069
exp625p5,17,fast,Argyrodendron trifoliolatum,0.000508342,0.239199346,190,14.3,2.5,1.2,15,160,96.07759501,4.108119371,48.46,1.236,35.45270958,15.37268446,0.350982444,2.531344846,60.50347985,0.711609168,0.141867668,230.9525903,150.0521036,0.145187399,0.221557568,16.75656724
exp78p2,204A,fast,Argyrodendron trifoliolatum,0.001200137,0.997685185,243,17,3,2.2,2,1,81.53015683,3.484611776,48.48,2.081,12.30367603,24.56329197,0.447281503,11.0824951,32.92808295,1.187294265,0.305778232,209.4008099,132.1299282,0.248141443,0.187064606,25.34154148
exp78p1,20,fast,Argyrodendron trifoliolatum,0.003919985,0.503564014,658,20,4,4.8,7,95,50.04524292,4.620210767,51.62,1.775,13.35831625,30.81543075,0.553870818,5.757579062,54.761006,0.513892606,0.319249288,72.07921483,43.26467939,0.197820468,0.162297935,13.6544711
exp625p4,62,slow,Gossia sp.,5.39282E-05,0.033218954,111,8.9,2,1.1,2,120,98.45482744,11.03174344,54.59,1.188,44.97271493,17.71792986,0.057936859,0.618042986,28.8109474,0.245556923,0.114027553,2245.219186,136.2277438,0.05156727,0.315540674,7.037443439
exp625p4,104,slow,Gossia sp.,6.61756E-05,0.020571895,210,11,2,1.5,30,270,87.52457867,4.827283167,55.1,1.285,50.00769231,19.15345765,0.064057037,0.716938617,25.931115,0.153373986,0.149338053,1036.251997,46.85627972,0.044019467,0.270294803,6.009324009
exp625p5,76,slow,Beilschmiedia tooram,0.000145442,0.082810458,127,11,2.5,3,30,160,64.00591854,8.258412576,41.49,1.39,94.15585234,13.58655241,0.340523092,1.896440343,45.08886948,0.198622544,0.13362378,145.1876071,223.6662755,0.088381139,0.190435539,12.70599868
exp625p5,77,slow,Beilschmiedia tooram,0.000216956,0.081176471,189,14.8,2.5,4.5,10,140,69.94275501,4.75477182,52.87,1.031,6.634314356,4.05154703,0.161172501,1.303465347,16.68973082,0.239402376,0.098566283,61.42661386,74.02921163,0.098233403,0.170337941,11.6147896
exp625p5,69,med,Beilschmiedia tooram,0.000461641,0.252777778,170,9,2.5,4,8,165,65.58314443,3.606760497,48.78,1.425,77.92450381,7.757923875,0.276009136,2.005467128,36.66518339,0.23330126,0.164033435,194.1108927,114.0824927,0.081827217,0.191067275,18.97370242
exp625p4,35,fast,Blepharocarya involucrigera,0.002119212,0.511405229,399,18,4,1.5,18,120,81.00494259,26.07393683,50.74,1.356,7.06341307,6.394266338,0.07704292,0.359494451,24.01436806,0.237874624,0.130466038,46.14841924,257.309889,0.061423198,0.179086999,5.976880395
exp625p4,125,fast,Blepharocarya involucrigera,0.002825035,0.332622549,543,19,4,1.5,24,290,71.27889509,6.28336594,51.16,1.491,2.114181818,2.416181818,0.05829594,0.467212121,13.88029091,0.325490618,0.111663123,70.11894303,87.92105152,0.069753611,0.125084613,6.805151515
exp625p4,128,fast,Blepharocarya involucrigera,0.002882903,0.307785948,721,21.5,5,1.5,20,290,58.21946242,3.456131797,50.62,1.673,1.681032749,8.179893374,0.051820688,0.320411272,13.6978751,0.26818949,0.103462844,58.38047829,118.2838446,0.071478021,0.138154236,7.122239147
exp625p4,138,fast,Blepharocarya involucrigera,0.004697902,0.570604575,702,22,5,10,25,300,69.90504691,5.293427092,52.17,1.42,1.415442671,1.314150943,0.096473104,0.502177068,14.68052612,0.376857126,0.170427049,99.77869376,88.93703919,0.070806497,0.163483245,7.174963716
exp625p4,26,slow,Bobea myrtoides,1.23526E-05,0.007222222,110,5,1,0.5,18,100,126.5913933,4.303636574,52.81,1.168,9.878612546,32.02924354,0.059962343,0.958948339,25.57593635,0.417326347,0.185072835,45.42016236,744.1331458,0.047514989,0.156170491,13.74326568
exp625p4,46,slow,Bobea myrtoides,1.42059E-05,0.00875,105,4.7,1,0.6,16,100,113.3773909,2.952553355,51.22,1.363,4.189570939,10.8723098,0.036239692,0.855106237,22.79293694,0.244349938,0.125529098,24.130939,488.8870391,0.038994995,0.164132907,15.00424949
