Code,Family,Genus,Species,Type,StemLength_cm,P12_MPa,P50_MPa,P88_Mpa,MinLWP_Mpa
ACAMEA2,Fabaceae,Acacia,Acacia_mearnsii ,tree,151,-2.88,-5.01,-5.53,-4.21
ACAMEA3,Fabaceae,Acacia,Acacia_mearnsii ,tree,190,-4.78,-5.1,-5.68,-4.21
ACAMEA2_2,Fabaceae,Acacia,Acacia_mearnsii ,tree,165,-4.9,-5.1,-5.97,-4.21
ALLVER1,Casuarinaceae,Allocasuarina,Allocasuarina_verticillata ,tree,170,-6.13,-7.39,-9.64,-4.16
ALLVER2,Casuarinaceae,Allocasuarina,Allocasuarina_verticillata ,tree,201,-7.87,-8.51,-12.56,-4.16
ALLVER3,Casuarinaceae,Allocasuarina,Allocasuarina_verticillata ,tree,113,-6.36,-8.04,-11.39,-4.16
CALRHO2,Cupressaceae,Callitris,Callitris_rhomboidea ,tree,112,-7.08,-8.17,-9.57,-3.84
CALRHO3,Cupressaceae,Callitris,Callitris_rhomboidea ,tree,100,-7.53,-8.5,-10.46,-3.84
CALRHO1_2,Cupressaceae,Callitris,Callitris_rhomboidea ,tree,105,-7.6,-8.86,-10.87,-3.84
EUCPUL1,Myrtaceae,Eucalyptus,Eucalyptus_pulchella ,tree,208,-3.92,-4.24,-4.38,-3.84
EUCPUL2,Myrtaceae,Eucalyptus,Eucalyptus_pulchella ,tree,209,-4.6,-5.22,-6.42,-3.84
EUCPUL3,Myrtaceae,Eucalyptus,Eucalyptus_pulchella ,tree,204,-3.9,-5.12,-7.51,-3.84
BURSPI2,Pittosporaceae,Bursaria,Bursaria_spinosa ,shrub,165,-7.27,-8.29,-10.38,-3.83
BURSPI3,Pittosporaceae,Bursaria,Bursaria_spinosa ,shrub,186,-5.1,-8.06,-10.97,-3.83
BURSPI_Kate1,Pittosporaceae,Bursaria,Bursaria_spinosa ,shrub,NA,-7.25,-9.22,-13.75,-3.83
LEPDIV_Kate1,Ericaceae,Leptecophylla,Leptecophylla_divaricata,shrub,NA,-7.97,-8.1,-9.99,-4.05
LEPDIV2,Ericaceae,Leptecophylla,Leptecophylla_divaricata,shrub,190,NA,-8.59,NA,-4.05
LEPDIV_Rob1,Ericaceae,Leptecophylla,Leptecophylla_divaricata,shrub,NA,-7.22,-8.13,-10.61,-4.05
MELPUS2,Myrtaceae,Melaleuca,Melaleuca_pustulata ,shrub,179,-6.91,-8.2,-9.62,-3.98
MICHEX2,Picrodendraceae,Micrantheum,Micrantheum_hexandrum ,shrub,207,-6.35,-7.12,-7.51,-3.93
MICHEX1_2,Picrodendraceae,Micrantheum,Micrantheum_hexandrum ,shrub,163,-4.41,-6.8,-7.18,-3.93
MICHEX_Kate1,Picrodendraceae,Micrantheum,Micrantheum_hexandrum ,shrub,NA,-6.71,-7.2,-7.73,-3.93
