Timestamp,Site,Species,Observer,Habit,Height_m,Inflor_cm,No_flowers_perinflor,No_inflor,Florlength_cm,Flordiam_cm,Colour,Symmetry,Tube,Notes
9/15/2020 8:44:23,FTT04,Micrantheum ericoides,Ruby Stephens,shrub,0.11,0.15,1,12,0.1,0.1,white,actinomorphic,absent,
9/15/2020 8:47:26,FTT04,Poranthera ericifolia,Ruby Stephens,shrub,0.12,1.2,0-3,3,0.25,0.4,white,actinomorphic,present,
9/15/2020 8:59:16,FTT04,Xanthosia tridentata,Ruby Stephens,shrub,0.28,0.9,0-2,4,0.4,0.3,green,actinomorphic,present,
9/15/2020 9:05:39,FTT04,Tetratheca ericifolia,Ruby Stephens,shrub,0.2,1.7,0-1,4,1.4,1.7,purple,actinomorphic,absent,
9/15/2020 9:15:29,FTT04,Grevillea buxifolia,Ruby Stephens,shrub,1.46,4.5,5,1,1.8,1.1,white,zygomorphic,present,
9/15/2020 9:23:17,FTT04,Actinotus minor,Ruby Stephens,shrub,0.25,1.2,0-25,4,0.1,0.1,white,actinomorphic,present,
9/15/2020 9:32:23,FTT04,Boronia pinnata,Ruby Stephens,shrub,0.69,18,1-7,5,0.5,2.5,pink,actinomorphic,absent,
9/15/2020 9:37:29,FTT04,Hibbertia bracteata,Ruby Stephens,shrub,0.3,3,0-1,12,1,3,yellow,actinomorphic,absent,
9/15/2020 9:42:12,FTT04,Leucopogon microphyllus,Ruby Stephens,shrub,0.09,1,0-4,4,0.4,0.4,white,actinomorphic,present,
9/15/2020 9:50:20,FTT04,Phyllota phylicoides,Ruby Stephens,shrub,0.32,2.5,4-7,2,0.6,0.5,yellow,zygomorphic,present,
9/15/2020 9:55:26,FTT04,Gompholobium grandiflorum,Ruby Stephens,shrub,0.8,5,0-2,36,2,3.4,yellow,zygomorphic,present,
9/15/2020 10:28:32,FTT04,Daviesia alata,Ruby Stephens,shrub,0.82,1.5,2-3,2,0.6,0.7,orange,zygomorphic,present,
9/15/2020 11:30:17,FTT04,Boronia ledifolia,Ruby Stephens,shrub,0.42,2,0-1,3,0.4,1.5,pink,actinomorphic,absent,
9/15/2020 13:18:12,FTT05,Tetratheca ericifolia,Ruby Stephens,shrub,0.3,1.5,0-1,16,1,1.5,purple,actinomorphic,absent,
9/15/2020 13:26:12,FTT05,Dillwynia retorta,Ruby Stephens,shrub,.67,1.7,0-1,2,1.1,1.6,yellow,zygomorphic,present,
9/15/2020 13:30:37,FTT05,Actinotus minor,Ruby Stephens,herb,.35,1.3,35,6,0.1,0.1,white,actinomorphic,present,
9/15/2020 13:35:19,FTT05,Hibbertia bracteata,Ruby Stephens,shrub,1.34,3.2,0-1,12,1.3,3,yellow,actinomorphic,absent,
9/15/2020 13:55:19,FTT05,Boronia pinnata,Ruby Stephens,shrub,0.78,11,2-7,3,0.4,2,pink,actinomorphic,absent,
9/15/2020 13:59:23,FTT05,Boronia ledifolia,Ruby Stephens,shrub,0.97,12,0-5,7,0.4,1.6,pink,actinomorphic,absent,
9/15/2020 14:03:36,FTT05,Leucopogon microphyllus,Ruby Stephens,shrub,0.92,0.9,0-4,7,0.3,0.4,white,actinomorphic,present,
9/15/2020 14:19:57,FTT05,Grevillea sericea,Ruby Stephens,shrub,0.9,4,3,1,1.6,0.7,pink,zygomorphic,present,
9/15/2020 14:37:12,FTT05,Hibbertia linearis,Ruby Stephens,shrub,0.91,2,1,2,0.2,2,yellow,actinomorphic,absent,
