NDat,Taxon,AuthTax,Family,Order,Character,Reference,Character_state,Value,Min,Max,Notes,User,Date,User_update,Date_update,FullRef,WeblinkRef,trait_value,taxa_to_keep
122753,Abrophyllum ornans,NA,Rousseaceae,Asterales,100. Floral structural sex (D1),"Kårehed J, Lundberg J, Bremer B, Bremer K. 1999. Evolution of the Australasian families Alseuosmiaceae, Argophyllaceae, and Phellinaceae. Systematic Botany 24: 660-682. http://www.jstor.org/stable/2419649",100. Floral structural sex (D1): (0) bisexual,NA,NA,NA,NA,Kristel Schoonderwoerd,5-Jul-13,NA,NA,"Kårehed J, Lundberg J, Bremer B, Bremer K. 1999. Evolution of the Australasian families Alseuosmiaceae, Argophyllaceae, and Phellinaceae. Systematic Botany 24: 660-682.",http://www.jstor.org/stable/2419649,100. Floral structural sex (D1): (0) bisexual,1
127850,Abrophyllum ornans,NA,Rousseaceae,Asterales,305. Filament (D1),"Gustafsson MHG. 2007. Carpodetaceae. In: Kadereit JW, Jeffrey C, eds. The Families and Genera of Vascular Plants VIII. Berlin: Springer-Verlag, 57–60.",305. Filament (D1): (1) present (general),NA,NA,NA,NA,Kristel Schoonderwoerd,9-Jul-13,NA,NA,"Gustafsson MHG. 2007. Carpodetaceae. In: Kadereit JW, Jeffrey C, eds. The Families and Genera of Vascular Plants VIII. Berlin: Springer-Verlag, 57–60.",NA,305. Filament (D1): (1) present (general),1
127918,Abrophyllum ornans,NA,Rousseaceae,Asterales,305. Filament (D1),"Gustafsson MHG. 2007. Carpodetaceae. In: Kadereit JW, Jeffrey C, eds. The Families and Genera of Vascular Plants VIII. Berlin: Springer-Verlag, 57–60.",305. Filament (D1): (B) short (general),NA,NA,NA,NA,Kristel Schoonderwoerd,9-Jul-13,NA,NA,"Gustafsson MHG. 2007. Carpodetaceae. In: Kadereit JW, Jeffrey C, eds. The Families and Genera of Vascular Plants VIII. Berlin: Springer-Verlag, 57–60.",NA,305. Filament (D1): (B) short (general),1
126494,Abrophyllum ornans,NA,Rousseaceae,Asterales,311. Anther orientation (D1),"Lundberg J, Bremer K. 2003. A phylogenetic study of the order Asterales using one morphological and three molecular data sets. International Journal of Plant Sciences 164: 553-578. http://www.jstor.org/stable/full/10.1086/374829",311. Anther orientation (D1): (0) introrse,NA,NA,NA,NA,Kristel Schoonderwoerd,9-Jul-13,NA,NA,"Lundberg J, Bremer K. 2003. A phylogenetic study of the order Asterales using one morphological and three molecular data sets. International Journal of Plant Sciences 164: 553-578.",http://www.jstor.org/stable/full/10.1086/374829,311. Anther orientation (D1): (0) introrse,1
127878,Abrophyllum ornans,NA,Rousseaceae,Asterales,311. Anther orientation (D1),"Gustafsson MHG. 2007. Carpodetaceae. In: Kadereit JW, Jeffrey C, eds. The Families and Genera of Vascular Plants VIII. Berlin: Springer-Verlag, 57–60.",311. Anther orientation (D1): (0) introrse,NA,NA,NA,NA,Kristel Schoonderwoerd,9-Jul-13,NA,NA,"Gustafsson MHG. 2007. Carpodetaceae. In: Kadereit JW, Jeffrey C, eds. The Families and Genera of Vascular Plants VIII. Berlin: Springer-Verlag, 57–60.",NA,311. Anther orientation (D1): (0) introrse,1
188118,Abrophyllum ornans,NA,Rousseaceae,Asterales,400. Gynoecium phyllotaxy (D1),http://plantnet.rbgsyd.nsw.gov.au/floraonline.htm,400. Gynoecium phyllotaxy (D1): (0) one whorl,NA,NA,NA,NA,Maria von Balthazar,22-Oct-15,Maria von Balthazar,22-Oct-15,NA,http://plantnet.rbgsyd.nsw.gov.au/floraonline.htm,400. Gynoecium phyllotaxy (D1): (0) one whorl,1
118787,Abrophyllum ornans,NA,Rousseaceae,Asterales,404. Style differentiation (D1),http://keys.trin.org.au/key-server/data/0e0f0504-0103-430d-8004-060d07080d04/media/Html/index.html,404. Style differentiation (D1): (1) present (length and shape unknown),NA,NA,NA,"""if present, very short""",Kristel Schoonderwoerd,3-Jul-13,Hervé Sauquet,16-Jan-20,NA,http://keys.trin.org.au/key-server/data/0e0f0504-0103-430d-8004-060d07080d04/media/Html/index.html,404. Style differentiation (D1): (1) present (length and shape unknown),1
118797,Abrophyllum ornans,NA,Rousseaceae,Asterales,404. Style differentiation (D1),http://keys.trin.org.au/key-server/data/0e0f0504-0103-430d-8004-060d07080d04/media/Html/index.html,404. Style differentiation (D1): (0) absent,NA,NA,NA,"""if present, very short""",Kristel Schoonderwoerd,3-Jul-13,NA,NA,NA,http://keys.trin.org.au/key-server/data/0e0f0504-0103-430d-8004-060d07080d04/media/Html/index.html,404. Style differentiation (D1): (0) absent,1
119145,Abrophyllum ornans,NA,Rousseaceae,Asterales,404. Style differentiation (D1),"Lundberg J, Bremer K. 2003. A phylogenetic study of the order Asterales using one morphological and three molecular data sets. International Journal of Plant Sciences 164: 553-578. http://www.jstor.org/stable/full/10.1086/374829",404. Style differentiation (D1): (0) absent,NA,NA,NA,NA,Kristel Schoonderwoerd,3-Jul-13,Kristel Schoonderwoerd,9-Jul-13,"Lundberg J, Bremer K. 2003. A phylogenetic study of the order Asterales using one morphological and three molecular data sets. International Journal of Plant Sciences 164: 553-578.",http://www.jstor.org/stable/full/10.1086/374829,404. Style differentiation (D1): (0) absent,1
122874,Abrophyllum ornans,NA,Rousseaceae,Asterales,404. Style differentiation (D1),"Kårehed J, Lundberg J, Bremer B, Bremer K. 1999. Evolution of the Australasian families Alseuosmiaceae, Argophyllaceae, and Phellinaceae. Systematic Botany 24: 660-682. http://www.jstor.org/stable/2419649",404. Style differentiation (D1): (0) absent,NA,NA,NA,NA,Kristel Schoonderwoerd,5-Jul-13,NA,NA,"Kårehed J, Lundberg J, Bremer B, Bremer K. 1999. Evolution of the Australasian families Alseuosmiaceae, Argophyllaceae, and Phellinaceae. Systematic Botany 24: 660-682.",http://www.jstor.org/stable/2419649,404. Style differentiation (D1): (0) absent,1
