name_original,metadata_id,primary_source,seed mass (mg),reserve seed mass (mg)
Acacia colletioides,31,29,5.6,3
Acacia doratoxylon,31,29,10.1,7.9
Acacia havilandii,31,29,5,3.3
Acacia wilhelmiana,31,29,6,3.8
Bertya cunninghamii,31,29,13.3,NA
Beyeria opaca,31,29,8.6,NA
Brachychiton  populneus,31,29,103.3,54.7
Brachychiton  populneus,31,29,103.3,54.7
Cassinia laevis,31,29,0.1,NA
Dodonaea viscosa spatulata,31,29,3.6,1.7
Eremophila longifolia,31,29,95,NA
Eucalyptus dumosa,31,29,0.6,0.2
Eucalyptus intertexta,31,29,0.5,0.2
Eucalyptus socialis,31,29,0.7,0.4
Geijera parviflora,31,29,23.9,4.5
Melaleuca uncinata,31,29,0.1,0
Melaleuca uncinata,31,29,0.1,0
Olearia pimelioides,31,29,0.5,0.5
Olearia pimelioides,31,29,0.5,0.5
Phyllota phyllicoides,31,29,3,NA
Pimelea microcephela,31,29,7.2,NA
Santalum acuminatum,31,29,537.3,372.5
Senna artemisioides var. 3lft,31,29,13.9,9.6
