dataset_id,trait_name,find,replace
Kubiak_2009,resprouting_capacity,R,resprouts
Kubiak_2009,resprouting_capacity,K,fire_killed
Kubiak_2009,resprouting_capacity,K/r,fire_killed
Kubiak_2009,resprouting_capacity,R/k,resprouts
Kubiak_2009,resprouting_capacity,pR,resprouts
Kubiak_2009,resprouting_capacity,K/R,fire_killed resprouts
Kubiak_2009,resprouting_capacity,pK,fire_killed
Kubiak_2009,resprouting_capacity,?K,fire_killed
Kubiak_2009,resprouting_capacity,?R,resprouts
Kubiak_2009,resprouting_capacity,R/K,resprouts fire_killed
Kubiak_2009,resprouting_capacity,?r,fire_killed
Kubiak_2009,resprouting_capacity,?k,resprouts
Kubiak_2009,resprouting_capacity,?K/r,fire_killed
Kubiak_2009,resprouting_capacity,k,resprouts
Kubiak_2009,resprouting_capacity,pK/r,fire_killed
Kubiak_2009,resprouting_capacity,r,fire_killed
Kubiak_2009,resprouting_capacity,k/r,partial_resprouting
Kubiak_2009,resprouting_capacity,R/?k,resprouts
