species_name,location_name,experiment,growth_light_regime,specific_leaf_area,chlorophyll,dark_respiration_rate,light_compensation_point,Pmax,count,chlorophyll_per_dry_mass
Nothofagus cunninghamii,Mt Field National Park,glasshouse,Sun,131±7,383±24,1.73±0.12,27±3,8.10±0.61,5-8,
Nothofagus cunninghamii,Mt Field National Park,glasshouse,Shade,149±8,406±15,1.05±0.12,17±1,4.96±0.31,5-8,
Nothofagus moorei,Banda Banda,glasshouse,Sun,117±3,403±49,1.31±0.15,22±3,6.75±0.48,5-8,
Nothofagus moorei,Banda Banda,glasshouse,Shade,138±12,416±13,0.90±0.14,13±1,4.04±0.58,5-8,
Ceratopetalum apetalum,Banda Banda,glasshouse,Sun,113±5,337±32,0.40±0.07,9±1,3.15±0.31,5-8,
Ceratopetalum apetalum,Banda Banda,glasshouse,Shade,220±26,434±22,0.31±0.04,6±1,5.29±0.50,5-8,
Doryphora sassafras,Banda Banda,glasshouse,Sun,109±4,433±10,0.99±0.18,12±3,4.71±0.36,5-8,
Doryphora sassafras,Banda Banda,glasshouse,Shade,196±19,611±31,0.37±0.06,6±2,7.11±0.59,5-8,
Eucryphia moorei,Clyde Mountain,glasshouse,Sun,137±6,377±20,1.02±0.07,14±2,7.26±0.40,5-8,
Eucryphia moorei,Clyde Mountain,glasshouse,Shade,186±15,487±1,0.60±0.14,11±2,4.26±0.27,5-8,
Nothofagus cunninghamii,Mt Field National Park,growth_cabinet,700-800,119±9,402±9,1.90±0.08,31±4,5.06±0.39,5,
Nothofagus cunninghamii,Mt Field National Park,growth_cabinet,50,152±11,451±12,1.27±0.18,18±2,3.65±0.21,5,
Nothofagus gunnii,Mt Field National Park,growth_cabinet,700-800,151±7,380±14,2.78±0.10,62±7,11.97±1.01,5,
Nothofagus cunninghamii,Mt Field National Park,bush_house,Bush-house,139±8,540±11,0.36±0.03,6±1,6.10±0.51,5-8,75
Eucryphia lucida,Mt Field National Park,glasshouse,Sun,104±5,429±23,2.03±0.20,30±1,7.09±1.02,5-8,45
Eucryphia lucida,Mt Field National Park,glasshouse,Shade,185±9,381±22,0.83±0.20,15±3,4.92±0.40,5-8,70
Eucryphia lucida,Mt Field National Park,bush_house,Bush-house,144±12,453±11,0.45±0.06,8±1,3.70±0.38,5-8,65
Atherosperma moschatum,Mt Field National Park,glasshouse,Sun,132±5,298±29,1.60±0.16,21±1,5.17±0.63,5-8,39
Atherosperma moschatum,Mt Field National Park,glasshouse,Shade,229±7,537±31,0.41±0.16,5±2,9.63±0.70,5-8,123
Atherosperma moschatum,Mt Field National Park,bush_house,Bush-house,172±10,380±20,0.42±0.06,7±1,4.91±0.40,5-8,65
Phyllocladus aspleniifolius,Mt Field National Park,glasshouse,Sun,41±4,484±47,0.87±0.15,11±2,2.01±0.17,5-8,20
Phyllocladus aspleniifolius,Mt Field National Park,glasshouse,Shade,115±6,618±54,0.92±0.16,13±2,4.24±0.32,5-8,71
Phyllocladus aspleniifolius,Mt Field National Park,bush_house,Bush-house,106±2,555±40,0.41±0.05,7±1,3.75±0.35,5-8,58
Athrotaxis selaginoides,Mt Field National Park,glasshouse,Sun,24,,1.61,20,1.07,1,
Athrotaxis selaginoides,Mt Field National Park,glasshouse,Shade,52±3,,0.48±0.06,6±1,2.75±0.45,5-8,
Athrotaxis selaginoides,Mt Field National Park,bush_house,Bush-house,38±1,,0.80±0.15,9±1,2.30±0.09,5-8,
Lagarostrobos franklinii,Mt Field National Park,glasshouse,Sun,42±1,,1.00±0.01,17±1,2.40±0.27,5-8,
Lagarostrobos franklinii,Mt Field National Park,glasshouse,Shade,60±3,,0.45±0.11,8±2,1.84±0.31,5-8,
Lagarostrobos franklinii,Mt Field National Park,bush_house,Bush-house,64±4,,0.83±0.05,13±1,2.22±0.04,5-8,
