taxon_name,location_name,pollination treatment,flower_diameter (cm),flowering_period,flower_perianth_symmetry,flower_anther_display,flower_stigma_display,flower_colour,flower_nectar_production,flower_pollinator_reward,flower_lifespan_max (d),plant_growth_form,life_history,breeding_system,flower_anther_dehiscence,buzz_pollination,pollination_system,flower_visitor,flower_visitor identity,seeds_per_fruit_potential (minimum) ({count}),seeds_per_fruit_potential (maximum) ({count}),pollen_limitation_index ({dimensionless}),fruit_count_produced ({count}),proportion_flowers_set_fruit (%),proportion_flowers_set_fruit SE,fruit_set_source_percentage (%),seeds_per_fruit (minimum) ({count}),seeds_per_fruit (maximum) ({count}),seeds_per_fruit mean ({count}),seeds_per_fruit SE
Dianella revoluta,Wireless Hill,Open,2.1,Nov-Dec,actinomorphic_general,exposed,well_exposed,blue_purple,nectar_absent,pollen,1,herb,perennial,self-incompatible,poricidal,buzz_pollinated,bee,bee,Amegilla chlorocyanea,1,6,0.51,14,23,4.22,22,1,3,1.5,0.17
Dianella revoluta,Wireless Hill,Autogamy,,,,,,,,,,,,,,,,,,,,,0,0,,0,1,1,0,
Dianella revoluta,Wireless Hill,Self,,,,,,,,,,,,,,,,,,,,,1,2,1.52,,0,0,1,0
Dianella revoluta,Wireless Hill,Outcross,,,,,,,,,,,,,,,,,,,,,20,33,6.03,,1,6,2.2,0.33
Dianella revoluta,Wireless Hill,Supplementary,,,,,,,,,,,,,,,,,,,,,28,47,10.22,,1,4,2.1,0.19
Dianella revoluta,Wireless Hill,Pooled,,,,,,,,,,,,,,,,,,,,,,21,4.07,,,,1.5,0.14
Dianella revoluta,Wireless Hill,Insect-simulated,,,,,,,,,,,,,,,,,,,,,,,,78,,,,
Hemiandra pungens,Nicholson Road Reserve,Open,1.7,Sep-Nov,zygomorphic,hidden,initially_hidden_later_exposed,white_cream blue_purple,nectar_produced,nectar,,shrub,perennial,mixed-mating,,,bee,honeybee,Apis mellifera,1,4,,42,86,7.37,24,1,4,3.2,0.15
Hemiandra pungens,Nicholson Road Reserve,Autogamy,,,,,,,,,,,,,,,,,,,,,37,48,13.24,21,1,4,3.2,0.18
Hemiandra pungens,Nicholson Road Reserve,Self,,,,,,,,,,,,,,,,,,,,,52,64,15.57,,1,4,3.4,0.13
Hemiandra pungens,Nicholson Road Reserve,Outcross,,,,,,,,,,,,,,,,,,,,,43,62,9.07,,1,4,2.9,0.14
Hemiandra pungens,Nicholson Road Reserve,Pooled,,,,,,,,,,,,,,,,,,,,,,65,6.13,,,,3.2,0.07
Hemiandra pungens,Nicholson Road Reserve,Insect-simulated,,,,,,,,,,,,,,,,,,,,,,,,55,,,,
Jacksonia sericea,Wireless Hill,Open,2,Nov-Jan,zygomorphic,hidden,exposed,yellow_orange,nectar_produced,nectar,,shrub,perennial,self-incompatible,,,bee,bee,"unidentified native bee, family Megachilidae",1,2,0.34,15,23,4.62,28,1,2,1.2,0.11
Jacksonia sericea,Wireless Hill,Autogamy,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,
Jacksonia sericea,Wireless Hill,Self,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,
Jacksonia sericea,Wireless Hill,Outcross,,,,,,,,,,,,,,,,,,,,,18,28,8.92,,0,2,1.3,0.11
Jacksonia sericea,Wireless Hill,Supplementary,,,,,,,,,,,,,,,,,,,,,21,35,4.28,,1,2,1.2,0.1
Jacksonia sericea,Wireless Hill,Pooled,,,,,,,,,,,,,,,,,,,,,,17,3.37,,,,1.2,0.06
Jacksonia sericea,Wireless Hill,Insect-simulated,,,,,,,,,,,,,,,,,,,,,,,,72,,,,
Patersonia occidentalis,Classon Park Leeming,Open,3,Sep-Nov,actinomorphic_general,exposed,hidden,blue_purple,nectar_absent,,1,herb,perennial,mixed-mating,,,bee,honeybee,Apis mellifera,1,40,,55,31,6.09,36,1,19,5.5,0.63
Patersonia occidentalis,Classon Park Leeming,Autogamy,,,,,,,,,,,,,,,,,,,,,9,6,1.79,6,1,11,2.7,1.05
Patersonia occidentalis,Classon Park Leeming,Self,,,,,,,,,,,,,,,,,,,,,22,14,6.52,,1,8,3.2,0.5
Patersonia occidentalis,Classon Park Leeming,Outcross,,,,,,,,,,,,,,,,,,,,,67,48,3.54,,1,41,15.2,1.12
Patersonia occidentalis,Classon Park Leeming,Pooled,,,,,,,,,,,,,,,,,,,,,,25,4.01,,,,5.5,0.7
Patersonia occidentalis,Classon Park Leeming,Insect-simulated,,,,,,,,,,,,,,,,,,,,,,,,58,,,,
Tricoryne elatior,Wireless Hill,Open,1.8,Oct-Nov,actinomorphic_general,well_exposed,well_exposed,yellow_orange,nectar_produced,nectar,1,herb,perennial,,,,,honeybee,Apis mellifera,,3,,1,3,5,33,1,1,1,5
Tricoryne elatior,Wireless Hill,Autogamy,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,
Tricoryne elatior,Wireless Hill,Self,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,
Tricoryne elatior,Wireless Hill,Outcross,,,,,,,,,,,,,,,,,,,,,2,1,0.8,,1,1,1,0
Tricoryne elatior,Wireless Hill,Supplementary,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,
Tricoryne elatior,Wireless Hill,Pooled,,,,,,,,,,,,,,,,,,,,,,1,0.66,,,,1,
Tricoryne elatior,Wireless Hill,Insect-simulated,,,,,,,,,,,,,,,,,,,,,,,,67,,,,
