Genus_species,location,d13C,bark thickness (mm bark/mm whole-stem),wood density (Kasia),wood density (Sean),LMA (g m-2),LMA2 (g m-2),Leaf size (cm2),Leaf size2 (cm2),Ksap (kg m-1 s-1 MPa -1),Kl (10^4 x kg m-1 s-1 MPa -1),LA/SA (m2/m2),PSIpd (MPa),PSImd (MPa),Amass (umol/kg/s),Aarea,Rmass (umol/kg/s),Rarea,WUE (mmol CO2/mol H2O/m2/s,max_ht (m),SA (mm),E (mmol/m2/s)
Acacia dealbata,Bothwell,-28.208,0.21691,0.67,,,96.5,,65.75,,,,-0.61,-1.37,,,,,5.46,,16.27228756,2.359
Aotus ericoides,Bothwell,-25.908,0.20452,0.83,,,151.2,,0.059,,,,-0.53,-1.19,,,,,5.7,,6.550487718,2.089
Banksia marginata,Bothwell,-28.583,0.2595,0.6,,,166.3,,1.147,,,,-0.29,-1.03,,,,,4.41,,18.62332983,3.878
Bossiaea cinerea,Bothwell,-29.031,0.15078,0.83,,,108.8,,0.184,,,,-0.47,-1.2,,,,,4.62,,12.548385,1.455
Cassinia aculeata,Bothwell,-29.93,0.15304,0.61,,,89.5,,0.124,,,,-1.57,-2.94,,,,,6.74,,14.60372487,1.61
Daviesia latifolia,Bothwell,-27.571,0.19098,0.65,,,120.3,,8.292,,,,-0.56,-1.37,,,,,7.92,,16.99900077,1.328
Epacris impressa,Bothwell,-28.269,0.08673,0.7,,,103.1,,0.069,,,,-0.56,-1.47,,,,,5.97,,13.34415042,0.8
Eucalyptus pauciflora,Bothwell,-27.105,0.18125,0.62,,,210.9,,15.761,,,,-0.58,-1.47,,,,,6.88,,17.66547394,1.854
Eucalyptus rubida,Bothwell,-27.363,0.24691,0.69,,,155.9,,9.754,,,,-0.43,-1.29,,,,,6.29,,18.90231897,2.018
Eucalyptus tenuiramis,Bothwell,-28.102,0.20648,0.75,,,179.6,,9.294,,,,-0.49,-1.47,,,,,5.61,,21.07226414,2.604
Exocarpos cupressiformis,Bothwell,-27.748,0.20493,0.65,,,266.7,,0.349,,,,-1.11,-2.64,,,,,4.96,,21.18397917,0.972
Leucopogon ericoides,Bothwell,-28.201,0.12764,0.68,,,112.3,,0.057,,,,-0.33,-1.09,,,,,5.38,,15.14198572,1.832
Leucopogon virgatus,Bothwell,,0.16384,0.77,,,116.7,,0.032,,,,-0.42,-1.79,,,,,6.75,,4.87488786,1.349
Persoonia juniperina,Bothwell,-27.01,0.14932,0.65,,,216.5,,0.125,,,,-0.47,-1.29,,,,,4.52,,18.11836594,0.672
Pultenaea juniperina,Bothwell,-27.457,0.19667,,,,155.2,,0.076,,,,-0.69,-1.63,,,,,5.6,,21.31031832,1.778
Acacia crassicarpa,Cardwell,-29.05,0.23161,0.51,,,78.9,,57.9,,7.21,11425,-0.19,-0.88,,,,,2.74,,15.8311137,5.122
Acacia flavescens,Cardwell,-28.538,0.20286,0.64,,,108.2,,60.6,,6.03,11195,-0.24,-1.93,,,,,3.17,,15.5731104,4.528
Acacia mangium,Cardwell,-28.645,0.24169,0.4,,,101.1,,87.2,,4.01,8658,-0.27,-0.97,,,,,2.5,,19.14415877,5.632
Allocasuarina torulosa,Cardwell,-28.904,0.19381,0.62,,,188.4,,1,,7.1,4175,-0.3,-1.99,,,,,4.41,,17.7421131,0.902
Alphitonia excelsa,Cardwell,-27.104,0.19482,0.37,,,80.6,,32.3,,13.35,5048,-0.35,-1.15,,,,,3.62,,21.63371387,3.97
Canarium australianum,Cardwell,-29.864,0.29961,0.45,,,,,255.5,,5.26,5891,-0.21,-0.49,,,,,4.27,,21.61940392,2.5755
Chionanthus ramiflora,Cardwell,-28.558,0.1847,0.56,,,117.9,,100.2,,3.28,7509,-1.43,-2.86,,,,,7.25,,29.04088249,0.75175
Corymbia intermedia,Cardwell,-27.192,0.3054,0.6,,,93.8,,32.6,,7.73,6500,-0.22,-1.42,,,,,3.51,,14.53795562,3.4875
Eucalyptus platyphylla,Cardwell,-27.731,0.21481,0.49,,,103.4,,92.4,,5.28,6787,-0.21,-2.11,,,,,2.09,,21.61753467,7.9525
Ixora timorensis,Cardwell,-27.007,0.15735,0.52,,,81.5,,90.3,,4.08,6452,-0.69,-1.39,,,,,4.56,,16.8870187,1.6352
Lophostemon suaveolens,Cardwell,-27.477,0.17454,0.54,,,61.8,,51.5,,5.29,3927,-0.21,-1.68,,,,,3.87,,28.16048256,3.54
Macaranga involucrata,Cardwell,-28.784,0.15146,0.4,,,69.8,,98,,7.2,6136,-0.15,-0.28,,,,,5.19,,25.82508934,1.3636
Macaranga tanarius,Cardwell,-25.064,0.22682,0.39,,,78.7,,145.2,,4.54,8549,-0.16,-0.4,,,,,5.03,,22.58371185,1.6286
Planchonia careya,Cardwell,-26.949,0.3931,0.44,,,89.1,,38.1,,29.8,3678,-0.21,-0.87,,,,,2.34,,16.3228672,4.128
Polyscias elegans,Cardwell,,0.19272,0.38,,,,,323.4,,3.08,12326,-0.08,-0.31,,,,,6.15,,8.791401466,0.6112
Timonius timon,Cardwell,-28.649,0.16501,0.47,,,84.9,,27.4,,11.4,5860,-0.37,-0.89,,,,,5.14,,17.48996887,2.1638
Acacia holosericea,Claraville,-26.874,0.21568,0.577,,,133,,28.4,,,,-0.461,-1.322,,,,,3.06,,17.51280825,11.31242267
Alphitonia excelsa,Claraville,,0.29674,0.64,,,132.1,,17.2,,,,-0.605,-2.092,,,,,3.03,,12.45484408,7.980838816
Archidendropsis basaltica,Claraville,-25.352,0.41689,0.735,,,172.6,,15.8,,,,-1.007,-2.374,,,,,2.51,,15.14803721,9.059168765
Carissa lanceolata,Claraville,-28.024,0.32784,0.684,,,127.4,,1.2,,,,-0.837,-2.213,,,,,2.83,,19.22887182,5.329283113
Corymbia polycarpa,Claraville,-26.606,0.25223,0.576,,,156,,12.9,,,,-0.526,-1.567,,,,,3.02,,16.20780637,10.0716407
Dodonaea physocarpa,Claraville,-26.089,0.17069,0.799,,,136.2,,1.7,,,,-0.985,-2.117,,,,,3.59,,15.00839342,7.588945687
Erythrophleum chlorostachys,Claraville,-25.131,0.35206,0.717,,,160.3,,380.6,,,,-0.671,-2.639,,,,,3.23,,14.47548505,5.594767293
Gardenia vilhelmii,Claraville,-27.533,0.33747,0.643,,,99.7,,2.6,,,,-1.009,-2.355,,,,,2.47,,17.63099496,5.23754813
Grevillea parallela,Claraville,,0.2137,0.672,,,217.3,,12.2,,,,-1.197,-2.33,,,,,3.32,,24.60454526,6.662362386
Grevillea striata,Claraville,-28.21,0.3206,0.661,,,386.7,,14.8,,,,-0.981,-2.729,,,,,3.39,,21.72851143,6.712687071
Melaleuca citrolens,Claraville,-27.18,0.33066,0.555,,,183.4,,2.2,,,,-0.956,-2.222,,,,,2.75,,15.02030005,6.347626556
Melaleuca stenostachya,Claraville,-26.389,0.41651,0.6,,,156.4,,1.5,,,,-0.71,-1.88,,,,,3.62,,12.84149559,8.093080579
Melaleuca viridiflora,Claraville,-26.929,0.30691,0.55,,,261.2,,28.3,,,,-0.305,-1.493,,,,,2.68,,18.31342743,4.381730332
Petalostigma banksii,Claraville,-26.972,0.304,0.728,,,142.1,,3.5,,,,-0.745,-2.143,,,,,2.65,,14.55581558,6.10331097
Terminalia platyptera,Claraville,-24.863,0.21274,0.588,,,121.1,,9.3,,,,-1.066,-2.323,,,,,2.5,,22.03346583,7.697902511
Ventilago viminalis,Claraville,-26.404,0.34644,0.575,,,133.4,,5.5,,,,-0.747,-1.798,,,,,2.8,,11.7715948,8.300306461
Allocasuarina littoralis,Ku-ring-gai,-24.594,0.21934,0.648,,,242,,0.72,,,,-0.73,-1.07,,,,,4.92,,17.89697791,3.004615842
Banksia ericifolia,Ku-ring-gai,-25.172,0.24047,0.639,,,202.6,,0.19,,,,-0.49,-1.07,,,,,3.39,,,4.826924795
Banksia serrata,Ku-ring-gai,-28.357,0.32139,0.573,,,262.1,,26.29,,,,-0.83,-1.03,,,,,3.53,,11.62609193,4.638927921
Banksia spinulosa,Ku-ring-gai,-30.056,0.21763,0.611,,,231.9,,1.87,,,,-0.64,-1.13,,,,,4.09,,25.64633272,5.310051295
Corymbia gummifera,Ku-ring-gai,-26.393,0.26493,0.577,,,228.1,,20.81,,,,-0.72,-1.3,,,,,4.79,,15.78999025,2.644569747
Eucalyptus capitellata,Ku-ring-gai,-28.919,0.2608,0.633,,,287.7,,13.64,,,,-0.71,-2,,,,,4.04,,21.04825845,3.630118156
Eucalyptus haemastoma,Ku-ring-gai,-27.512,0.24466,0.643,,,265.3,,19.35,,,,-0.9,-1.37,,,,,3.02,,22.41425827,5.297811541
Grevillea buxifolia,Ku-ring-gai,-27.645,0.18154,0.687,,,125.1,,0.57,,,,-0.53,-1.09,,,,,4.84,,22.85906067,1.788770295
Hakea gibbosa,Ku-ring-gai,,0.21598,0.601,,,405,,0.74,,,,-0.49,-0.99,,,,,5.83,,,2.165383853
Hakea sericea,Ku-ring-gai,-27.817,0.1833,,,,297.9,,0.36,,,,-0.44,-1.41,,,,,3.87,,27.04366208,3.968128671
Hakea teretifolia,Ku-ring-gai,-24.021,0.22105,0.595,,,447,,0.9,,,,-0.55,-1.22,,,,,4.01,,,8.341816669
Lambertia formosa,Ku-ring-gai,-26.792,0.23073,0.636,,,233.5,,1.85,,,,-0.99,-1.18,,,,,4.97,,19.12420966,4.347071798
Leptospermum trinervium,Ku-ring-gai,-29.66,0.19269,0.668,,,131.5,,0.27,,,,-0.59,-1.16,,,,,2.9,,16.10488779,3.693083515
Persoonia levis,Ku-ring-gai,-27.374,0.30871,0.598,,,202.7,,21.54,,,,-0.79,-1.51,,,,,3.11,,14.78087928,4.199172582
Persoonia pinifolia,Ku-ring-gai,-28.353,0.1583,0.636,,,176.1,,0.27,,,,-0.59,-1.17,,,,,3.99,,23.34859934,3.05518209
Petrophile pulchella,Ku-ring-gai,-25.877,0.26465,0.603,,,258.7,,0.33,,,,-0.79,-1.1,,,,,3.67,,21.41108491,5.164633344
Acacia dealbata,Longley,,0.18926,0.45,,,77.2,,136.687,,,,-0.27,-0.91,,,,,3.44,,19.43605985,4.1075
Acacia terminalis,Longley,-24.805,0.22185,0.54,,,145.7,,30.681,,,,-0.42,-1.26,,,,,6.03,,17.41917308,1.608225148
Allocasuarina monilifera,Longley,-26.48,0.16112,0.58,,,412.7,,0.772,,,,-0.35,-1.13,,,,,5.39,,16.54307714,2.197168559
Aotus ericoides,Longley,-25.361,0.14958,0.68,,,139.7,,0.184,,,,-0.33,-0.99,,,,,4.17,,12.47476177,2.842708847
Banksia marginata,Longley,-28.068,0.16682,0.52,,,129,,2.876,,,,-0.18,-0.74,,,,,5.06,,13.43194222,1.813041993
Epacris impressa,Longley,-24.317,0.09093,0.72,,,141,,0.091,,,,-0.58,-1.12,,,,,5.24,,16.22792827,0.982892055
Epacris lanuginosa,Longley,-25.638,0.10863,0.66,,,135.5,,0.066,,,,-0.38,-1.33,,,,,3.96,,15.25043742,1.188615208
Eucalyptus amygdalina,Longley,-27.268,0.17969,0.6,,,185.7,,7.476,,,,-0.38,-1.23,,,,,3.84,,19.53330785,4.526931271
Exocarpos cupressiformis,Longley,-26.618,0.24162,0.61,,,301.4,,0.546,,,,-0.66,-2.57,,,,,2.57,,17.54852816,3.216654629
Leptospermum glaucescens,Longley,-27.525,0.25121,0.65,,,102.4,,0.295,,,,-0.63,-1.36,,,,,3.7,,16.92201604,1.057491515
Leptospermum scoparium,Longley,-26.425,0.18237,0.74,,,107.5,,0.126,,,,-0.42,-1.32,,,,,3.37,,15.72949889,1.491244395
Leucopogon ericoides,Longley,-24.947,0.11683,0.71,,,90.3,,0.188,,,,-0.4,-1.09,,,,,2.46,,12.48322836,2.992646119
Melaleuca squamea,Longley,-25.356,0.3159,,,,110.5,,0.094,,,,-0.78,-1.47,,,,,3.19,,9.553410472,2.559804507
Melaleuca squarrosa,Longley,-24.882,0.35949,0.62,,,98.7,,0.381,,,,-0.55,-1.01,,,,,4.06,,14.82633812,1.875843656
Monotoca glauca,Longley,-25.612,0.16974,0.65,,,123,,0.746,,,,-0.09,-0.65,,,,,5.74,,16.98106227,0.975843958
Oxylobium ellipticum,Longley,-26.762,0.15907,,,,149.6,,0.822,,,,-0.39,-1.26,,,,,4.24,,13.78053334,1.902117718
Acacia flavescens,Princess Hills,-26.03,0.2924,0.76,,,182.7,,45.94,,5.11,10535,-1.21,-2.28,,,,,2.47,,9.302350095,6.444
Acacia leptostachya,Princess Hills,-25.841,0.21386,0.71,,,180,,7.06,,0.81,3684,-0.33,-2.23,,,,,3.87,,7.204677264,2.5679
Allocasuarina torulosa,Princess Hills,-24.668,0.27641,0.71,,,264.4,,0.7,,6.57,6613,-1.32,-2.1,,,,,5.39,,9.202023334,1.112
Bursaria incana,Princess Hills,-27.866,0.27641,,,,,,,,,,-0.5,-2.66,,,,,2.29,,,2.7148
Corymbia citriodora,Princess Hills,-26.554,0.22376,0.61,,,116.5,,18.76,,11.33,13812,-0.65,-2.55,,,,,2.85,,8.680534661,5.838
Corymbia intermedia,Princess Hills,-26.81,0.32135,0.65,,,135.3,,24.62,,7.58,12080,-0.38,-1.5,,,,,3.39,,9.450978844,2.994
Corymbia trachyphloia,Princess Hills,-28.142,0.24671,0.63,,,145.3,,13.94,,7.95,11009,-0.47,-1.85,,,,,3.56,,12.17640472,3.8
Eucalyptus portuensis,Princess Hills,-26.46,0.18229,0.58,,,206.2,,23.54,,10,8485,-0.53,-1.99,,,,,3.08,,11.27988842,4.366
Gastrolobium grandiflorum,Princess Hills,-26.18,0.16024,0.7,,,148.3,,15.28,,5.37,8357,-0.83,-2.16,,,,,5.47,,6.542189987,1.6607
Grevillea glauca,Princess Hills,-27.6,0.21442,0.64,,,151.6,,27.64,,11.06,11400,-0.63,-2.1,,,,,3.34,,10.16127723,3.448
Grevillea parallela,Princess Hills,-26.8825,0.27726,0.63,,,212.1,,7.82,,15.2,4211,-0.45,-2.09,,,,,2.04,,8.407263224,7.1127
Lophostemon suaveolens,Princess Hills,-27.291,0.18397,0.56,,,136.9,,26.14,,8.84,8398,-0.79,-1.69,,,,,2.47,,7.576955994,4.968
Persoonia falcata,Princess Hills,-26.512,0.20096,0.64,,,193.6,,16.02,,4.13,11204,-0.34,-1.28,,,,,2.46,,11.10292251,5.5243
Petalostigma pubescens,Princess Hills,-26.971,0.24826,0.73,,,140.9,,5.86,,11.28,3941,-0.45,-2.47,,,,,2.72,,6.529140596,4.2946
Planchonia careya,Princess Hills,-26.109,0.37738,0.54,,,96.5,,27.58,,9.06,13238,-0.71,-1.02,,,,,2.88,,9.506871704,3.944
Pogonolobus reticulatus,Princess Hills,-28.132,0.3047,,,,,,,,,,-0.33,-2,,,,,2.47,,,4.2076
Xylomelum scottianum,Princess Hills,-26.407,0.4296,0.65,,,135.7,,22.06,,2.11,9023,-0.33,-1.07,,,,,2.27,,5.740259192,5.324
Acacia colletioides,Round Hill,-26.374,0.16476,0.85,,,422.4,,0.25,,,,,,,,,,,,,
Acacia havilandiorum,Round Hill,-22.984,0.22115,0.91,,,430.3,,0.429,,,570,-3.66,-4.25,,,,,,,17.67528749,
Beyeria opaca,Round Hill,-28.515,0.19749,0.74,,,168.7,,0.32,,2.5,1270,-3.95,-4.43,,,,,,,,
Bossiaea walkeri,Round Hill,-25.834,0.14684,0.94,,,352.2,,3.21,,,,-3.55,-3.99,,,,,,,15.71024092,
Brachychiton populneus,Round Hill,-26.71,0.39574,0.47,,,102.1,,11.462,,2.13,5282,-0.69,-0.98,,,,,,,10.18184289,
Dodonaea viscosa cuneata,Round Hill,-27.982,0.20338,0.84,,,109.3,,0.356,,,2836,-3.61,-4.41,,,,,,,19.86307298,
Dodonaea viscosa spathulata,Round Hill,,,,,,,,,,,,,,,,,,,,,
Eremophila deserti,Round Hill,-27.746,0.2308,0.82,,,201.9,,0.76,,1.21,1138,-4.4,-5.22,,,,,,,22.48701756,
Eremophila glabra,Round Hill,-26.636,0.1638,0.71,,,159.5,,0.715,,3.09,1105,-4.2,-4.98,,,,,,,16.16215903,
Eucalyptus dumosa,Round Hill,-26.782,0.21363,0.76,,,331.2,,11.24,,,,-2.65,-2.61,,,,,,,18.36904933,
Eucalyptus socialis,Round Hill,-28.026,0.18235,0.79,,,307.1,,8.912,,2.6,3847,-1.76,-2.83,,,,,,,20.33774407,
