Site,Context,age_class,Species,Sapwood_area_specific_conductivity,Sapwood_area_specific_conductivity_SE,Leaf_specific_conductivity,Leaf_specific_conductivity_SE,PSII_quantum_yield_at_midday,PSII_quantum_yield_at_midday_SE,Huber_value,Huber_value_SE
Mt. Field,field,adult,Diselma archeri,0.12,0.01,1.71,0.26,0.105,0.01,13.8,1.61
Mt. Field,field,adult,Phyllocladus aspleniifolius,0.11,0.02,0.31,0.05,0.039,0.01,2.99,0.99
Mt. Field,field,adult,Podocarpus lawrencei,0.15,0.04,1.14,0.2,0.093,0.02,9.27,2.42
Mt. Field,field,adult,Atherosperma moschatum,0.22,0.03,0.77,0.14,0.053,0.01,3.47,0.25
Mt. Field,field,adult,Eucalyptus coccifera,0.76,0.1,2.57,0.17,0.147,0.02,2.87,0.33
Mt. Field,field,adult,Leptospermum rupestre,0.19,0.03,1.78,0.3,0.099,0.01,9.6,0.84
Mt. Field,field,adult,Nothofagus cunninghamii,0.27,0.02,2.03,0.24,0.171,0.02,7.53,0.56
Mt. Field,field,adult,Richea scoparium,0.13,0.01,2.52,0.24,0.22,0.01,21,2.37
Mt. Field,field,adult,Tasmannia lanceolata,0.08,0.01,0.5,0.04,0.042,0.01,6.7,0.71
unknown lab,lab,sapling,Eucalyptus regnans,3.2,0.47,2.65,0.21,0.241,0.02,0.65,0.09
unknown lab,lab,sapling,Toona australis,1.5,0.23,1.78,0.17,0.172,0.01,0.87,0.11
