Species,Replicate,Stage,LMA (g m-2),FMA (g m-2),DMC (%),P (mg g-1),NP ratio,Asat (area) umol m-2 s-1,Amax (area) umol m-2 s-1,Asat (mass) nmol g-1 s-1,Amax (mass) nmol g-1 s-1,Rdark (area) umol m-2 s-1,Rdark28 (area) umol m-2 s-1,Rdark25 (area) umol m-2 s-1,Rdark (mass) nmol g-1 s-1,Rdark28 (mass) nmol g-1 s-1,Rdark25 (mass) nmol g-1 s-1,PNUEsat (umol CO2 g-1 N s-1),PNUEmax (umol CO2 g-1 N s-1),PPUEsat (umol CO2 g-1 P s-1),PPUEmax (umol CO2 g-1 P s-1),Rdark (N based) (umol CO2 g-1 N s-1),Rdark28 (N based) (umol CO2 g-1 N s-1),Rdark25 (N based) (umol CO2 g-1 N s-1),Rdark (P based) umol CO2 g-1 P s-1,Rdark28 (P based) umol CO2 g-1 P s-1,Rdark25 (P based) umol CO2 g-1 P s-1,Rd28/Asat (area),Rd28/Asat (mass),Rd28/Amax (area),Rd28/Amax (mass),Rlight (area) (umol m-2 s-1),RL/RD (area),RL/RD 28 (area),RL/RD 25 (area),P-allocation pattern,PUE,N (mature) (mg/g),N (senesced) (mg/g),N resorption (%),P (senesced) (mg/g),P resorption (%)
Acacia rostellifera,3,Stage_3,137.714,462.857,0.298,NA,27.507,18.185,39.36,132.05,285.809,1.092,1.157,0.932,7.929,8.404,6.768,6.335,13.712,174.26,377.169,0.38,0.403,0.325,10.464,11.1,8.932,0.064,0.064,0.029,0.029,1.027,0.94,0.887,1.102,M,E,20.844,NA,NA,NA,NA
Acacia rostellifera,4,Stage_3,124.413,427.23,0.291,NA,30.22,19.332,38.366,155.389,308.377,1.985,2.101,1.692,15.951,16.886,13.598,6.786,13.466,205.059,406.952,0.697,0.737,0.594,21.05,22.3,17.945,0.109,0.109,0.055,0.055,1.67,0.841,0.795,0.987,M,E,22.9,NA,NA,NA,NA
Acacia rostellifera,5,Stage_3,NA,NA,NA,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,16.809,10.789,35.818,0.20487,67.15863
Acacia rostellifera,6,Stage_3,NA,NA,NA,0.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,19.696,13.675,30.57,0.2996,62.13494
Acacia rostellifera,7,Stage_3,NA,NA,NA,0.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,18.426,11.65,36.774,0.27839,69.30784
Acacia rostellifera,8,Stage_3,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,19.182,NA,NA,0.0251,96.65182
Acacia rostellifera,9,Stage_3,NA,NA,NA,0.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,17.737,11.615,34.516,0.36121,49.63939
Banksia nivea,1,Stage_3,225.385,526.923,0.428,NA,21.964,10.948,32.192,48.573,142.833,1.289,1.333,1.074,5.718,5.915,4.763,6.938,20.403,152.397,448.131,0.817,0.845,0.68,17.939,18.6,14.945,0.122,0.122,0.041,0.041,NA,NA,NA,NA,M,Proteaceae,7.001,NA,NA,NA,NA
Banksia nivea,2,Stage_3,254.286,492.857,0.516,NA,24.596,18.004,52.029,70.803,204.607,1.3,1.306,1.052,5.111,5.137,4.137,9.031,26.099,222.142,641.945,0.652,0.655,0.528,16.035,16.1,12.981,0.073,0.073,0.025,0.025,NA,NA,NA,NA,M,Proteaceae,7.84,NA,NA,NA,NA
Banksia nivea,3,Stage_3,270.27,556.757,0.485,NA,19.531,NA,NA,NA,NA,1.654,1.607,1.294,6.118,5.946,4.789,NA,NA,NA,NA,0.983,0.955,0.769,19.195,18.7,15.024,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,6.225,NA,NA,NA,NA
Banksia nivea,4,Stage_3,228.571,550.265,0.415,NA,22.222,17.471,36.444,76.435,159.444,1.966,2.004,1.614,8.6,8.768,7.061,10.792,22.512,239.812,500.25,1.214,1.238,0.997,26.981,27.5,22.154,0.115,0.115,0.055,0.055,NA,NA,NA,NA,M,Proteaceae,7.083,NA,NA,NA,NA
Banksia nivea,5,Stage_3,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,6.134,5.117,16.585,0.1819,35.07636
Banksia nivea,6,Stage_3,NA,NA,NA,0.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,8.002,5.703,28.728,0.23237,21.9407
Banksia nivea,7,Stage_3,NA,NA,NA,0.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,6.224,4.938,20.668,0.29459,44.06339
Banksia nivea,8,Stage_3,NA,NA,NA,0.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,9.32,7.87,15.55,0.19966,18.8866
Banksia nivea,9,Stage_3,NA,NA,NA,0.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,7.647,6.852,10.394,0.24417,-0.48171
Clematis linearifolia,1,Stage_3,177.733,570.85,0.311,NA,NA,17.621,25.045,99.144,140.911,3.459,3.884,3.128,19.462,21.851,17.597,6.53,9.281,NA,NA,1.282,1.439,1.159,NA,NA,NA,0.22,0.22,0.155,0.155,1.521,0.44,0.392,0.486,NA,NA,15.182,NA,NA,NA,NA
Clematis linearifolia,2,Stage_3,184.262,632.787,0.291,NA,NA,27.6,48.59,149.786,263.701,2.192,2.452,1.974,11.894,13.306,10.716,7.548,13.288,NA,NA,0.599,0.67,0.54,NA,NA,NA,0.089,0.089,0.05,0.05,1.709,0.78,0.697,0.866,NA,NA,19.845,NA,NA,NA,NA
Clematis linearifolia,3,Stage_3,168.197,570.492,0.295,NA,NA,24.236,49.928,144.094,296.842,1.212,1.32,1.063,7.207,7.85,6.322,5.955,12.267,NA,NA,0.298,0.324,0.261,NA,NA,NA,0.054,0.054,0.026,0.026,1.282,1.057,0.971,1.205,NA,NA,24.198,NA,NA,NA,NA
Melaleuca affi. systena,1,Stage_3,171.676,647.399,0.265,NA,22.722,13.29,35.341,77.414,205.859,3.864,3.894,3.136,22.505,22.681,18.266,7.306,19.429,166.012,441.456,2.124,2.141,1.724,48.261,48.6,39.17,0.293,0.293,0.11,0.11,NA,NA,NA,NA,M,NE,10.596,NA,NA,NA,NA
Melaleuca affi. systena,2,Stage_3,182.018,653.509,0.279,NA,24.785,19.108,39.553,104.978,217.301,5.874,5.702,4.592,32.27,31.324,25.226,9.083,18.802,225.122,465.994,2.792,2.71,2.183,69.201,67.2,54.096,0.298,0.298,0.144,0.144,NA,NA,NA,NA,M,NE,11.557,NA,NA,NA,NA
Melaleuca affi. systena,3,Stage_3,162.703,708.108,0.23,NA,29.977,14.189,37.135,87.209,228.239,7.865,7.337,5.908,48.339,45.093,36.314,6.239,16.328,187.017,489.45,3.458,3.226,2.598,103.661,96.7,77.875,0.517,0.517,0.198,0.198,NA,NA,NA,NA,M,NE,13.979,NA,NA,NA,NA
Melaleuca affi. systena,4,Stage_3,197.143,871.429,0.226,NA,25.841,11.546,41.794,58.565,212,7.526,7.506,6.045,38.174,38.075,30.662,4.86,17.593,125.591,454.626,3.168,3.16,2.545,81.862,81.7,65.754,0.65,0.65,0.18,0.18,NA,NA,NA,NA,M,NE,12.05,NA,NA,NA,NA
Melaleuca affi. systena,5,Stage_3,NA,NA,NA,0.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,NE,9.796,6.851,30.062,0.29916,47.6811
Melaleuca affi. systena,6,Stage_3,NA,NA,NA,0.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,NE,11.788,8.369,29.004,0.37127,31.59564
Melaleuca affi. systena,7,Stage_3,NA,NA,NA,0.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,NE,10.598,7.246,31.631,0.21029,54.0091
Melaleuca affi. systena,8,Stage_3,NA,NA,NA,0.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,NE,10.233,7.085,30.769,0.20944,36.76573
Melaleuca affi. systena,9,Stage_3,NA,NA,NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,NE,10.625,9.831,7.476,0.33266,22.38027
Opercularia spermacocea,1,Stage_3,119,740,0.161,NA,NA,16.566,35.67,139.21,299.748,2.807,2.998,2.414,23.592,25.191,20.287,10.694,23.026,NA,NA,1.812,1.935,1.558,NA,NA,NA,0.181,0.181,0.084,0.084,NA,NA,NA,NA,NA,NA,13.018,NA,NA,NA,NA
Opercularia spermacocea,2,Stage_3,129.63,751.323,0.173,NA,NA,32.698,56.825,252.245,438.367,3.158,3.012,2.426,24.362,23.236,18.712,19.533,33.945,NA,NA,1.887,1.799,1.449,NA,NA,NA,0.092,0.092,0.053,0.053,NA,NA,NA,NA,NA,NA,12.914,NA,NA,NA,NA
Opercularia spermacocea,3,Stage_3,118.617,718.085,0.165,NA,NA,21.223,37.755,178.924,318.296,2.33,2.281,1.837,19.647,19.226,15.483,13.555,24.114,NA,NA,1.488,1.457,1.173,NA,NA,NA,0.107,0.107,0.06,0.06,NA,NA,NA,NA,NA,NA,13.2,NA,NA,NA,NA
Opercularia spermacocea,4,Stage_3,127.731,747.899,0.171,NA,NA,20.541,39.328,160.816,307.895,2.562,2.62,2.11,20.061,20.508,16.516,12.935,24.764,NA,NA,1.613,1.65,1.328,NA,NA,NA,0.128,0.128,0.067,0.067,NA,NA,NA,NA,NA,NA,12.433,NA,NA,NA,NA
Phyllanthus calycinus,1,Stage_3,90.513,341.026,0.265,NA,73.002,10.172,25.723,112.385,284.193,1.424,1.493,1.203,15.727,16.5,13.287,4.114,10.403,300.318,759.424,0.576,0.604,0.486,42.027,44.1,35.507,0.147,0.147,0.058,0.058,NA,NA,NA,NA,NA,E,27.319,NA,NA,NA,NA
Phyllanthus calycinus,2,Stage_3,92.059,344.118,0.268,NA,31.264,8.695,23.682,94.447,257.252,1.244,1.263,1.017,13.511,13.72,11.049,8.073,21.988,252.383,687.434,1.155,1.173,0.944,36.103,36.7,29.525,0.145,0.145,0.053,0.053,NA,NA,NA,NA,NA,E,11.699,NA,NA,NA,NA
Phyllanthus calycinus,3,Stage_3,96.089,296.089,0.325,NA,30.189,12.127,36.235,126.209,377.093,0.514,0.51,0.411,5.351,5.309,4.275,11.172,33.379,337.258,1007.674,0.474,0.47,0.378,14.299,14.2,11.425,0.042,0.042,0.014,0.014,NA,NA,NA,NA,NA,E,11.297,NA,NA,NA,NA
Phyllanthus calycinus,4,Stage_3,114.203,342.029,0.334,NA,28.081,8.958,28.696,78.442,251.269,1.247,1.279,1.03,10.916,11.2,9.019,7.465,23.911,209.613,671.445,1.039,1.066,0.858,29.169,29.9,24.102,0.143,0.143,0.045,0.045,NA,NA,NA,NA,NA,E,10.509,NA,NA,NA,NA
Phyllanthus calycinus,5,Stage_3,NA,NA,NA,0.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,10.049,10.309,-2.582,0.30339,11.40872
Phyllanthus calycinus,6,Stage_3,NA,NA,NA,0.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,10.158,5.906,41.859,0.18168,45.14559
Phyllanthus calycinus,7,Stage_3,NA,NA,NA,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,10.79,10.471,2.95,0.29148,22.46406
Phyllanthus calycinus,8,Stage_3,NA,NA,NA,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,9.294,7.488,19.432,0.19288,57.61273
Phyllanthus calycinus,9,Stage_3,NA,NA,NA,0.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,9.688,10.724,-10.689,0.45973,-25.44289
Spyridium globulosum,1,Stage_3,190.389,390.593,0.487,NA,30.476,19.89,37.89,104.468,199.012,2.11,2.138,1.722,11.085,11.229,9.043,9.271,17.662,282.556,538.269,0.984,0.997,0.803,29.981,30.4,24.458,0.107,0.107,0.056,0.056,0.438,0.208,0.205,0.255,E,E,11.268,NA,NA,NA,NA
Spyridium globulosum,2,Stage_3,152.899,373.188,0.41,NA,32.408,16.587,35.967,108.483,235.237,0.863,0.944,0.76,5.643,6.174,4.972,9.054,19.632,293.416,636.247,0.471,0.515,0.415,15.263,16.7,13.448,0.057,0.057,0.026,0.026,0.519,0.602,0.55,0.683,E,E,11.982,NA,NA,NA,NA
Spyridium globulosum,3,Stage_3,188.645,392.43,0.481,NA,29.402,18.98,43.542,100.612,230.813,0.963,1.075,0.865,5.103,5.697,4.588,9.255,21.232,272.127,624.282,0.469,0.524,0.422,13.802,15.4,12.409,0.057,0.057,0.025,0.025,0.619,0.643,0.576,0.715,E,E,10.871,NA,NA,NA,NA
Spyridium globulosum,4,Stage_3,165.235,351.738,0.47,NA,32.325,15.914,34.528,96.312,208.96,0.722,0.775,0.624,4.367,4.692,3.779,8.059,17.484,260.495,565.177,0.365,0.393,0.316,11.812,12.7,10.22,0.049,0.049,0.022,0.022,0.65,0.9,0.838,1.041,E,E,11.951,NA,NA,NA,NA
Spyridium globulosum,5,Stage_3,NA,NA,NA,0.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,E,10.887,4.453,59.097,0.17228,50.57335
Spyridium globulosum,6,Stage_3,NA,NA,NA,0.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,E,8.171,3.976,51.334,0.12789,63.05643
Spyridium globulosum,7,Stage_3,NA,NA,NA,0.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,E,10.92,8.059,26.205,0.25673,30.78503
Spyridium globulosum,8,Stage_3,NA,NA,NA,0.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,E,11.609,5.765,50.345,0.17814,55.3878
Spyridium globulosum,9,Stage_3,NA,NA,NA,0.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,E,10.586,5.631,46.804,0.21026,45.19733
Acacia rostellifera,1,Stage_4,144.482,511.706,0.282,NA,33.868,15.773,32.488,109.167,224.861,2.484,2.897,2.331,17.194,20.051,16.133,7.043,14.506,238.516,491.294,1.109,1.294,1.041,37.568,43.8,35.249,0.184,0.184,0.089,0.089,1.713,0.689,0.591,0.735,M,E,15.501,NA,NA,NA,NA
Acacia rostellifera,2,Stage_4,151.097,655.172,0.231,NA,45.794,23.567,39.969,155.975,264.523,2.816,3.409,2.743,18.635,22.559,18.151,7.442,12.621,340.786,577.949,0.889,1.076,0.866,40.715,49.3,39.658,0.145,0.145,0.085,0.085,2.161,0.768,0.634,0.788,M,E,20.959,NA,NA,NA,NA
Acacia rostellifera,3,Stage_4,162.805,597.561,0.272,NA,37.595,21.384,42.037,131.348,258.202,2.911,3.345,2.692,17.883,20.548,16.533,7.633,15.006,286.98,564.14,1.039,1.194,0.961,39.072,44.9,36.123,0.156,0.156,0.08,0.08,2.922,1.003,0.873,1.085,M,E,17.207,NA,NA,NA,NA
Acacia rostellifera,4,Stage_4,161.983,603.306,0.268,NA,41.144,34.8,80.771,214.837,498.639,2.897,3.461,2.785,17.884,21.366,17.191,11.409,26.48,469.392,1089.465,0.95,1.135,0.913,39.074,46.7,37.561,0.099,0.099,0.043,0.043,2.997,1.035,0.866,1.076,M,E,18.831,NA,NA,NA,NA
Acacia rostellifera,5,Stage_4,NA,NA,NA,0.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,15.377,10.527,31.54,0.18119,57.62009
Acacia rostellifera,6,Stage_4,NA,NA,NA,0.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,18.45,10.249,44.448,0.16568,66.33581
Acacia rostellifera,7,Stage_4,NA,NA,NA,0.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,17.45,9.665,44.613,0.13075,70.19236
Acacia rostellifera,8,Stage_4,NA,NA,NA,0.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,18.829,9.65,48.75,0.16104,66.08719
Acacia rostellifera,9,Stage_4,NA,NA,NA,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,16.014,9.509,40.619,0.15858,65.16679
Anthocercis littorea,1,Stage_4,107.035,625.628,0.171,NA,NA,21.136,32.759,197.465,306.056,2.667,3.044,2.449,24.915,28.44,22.884,8.255,12.794,NA,NA,1.042,1.189,0.957,NA,NA,NA,0.144,0.144,0.093,0.093,NA,NA,NA,NA,E,NA,23.921,NA,NA,NA,NA
Anthocercis littorea,2,Stage_4,129.369,787.387,0.164,NA,NA,12.692,31.459,98.106,243.175,1.699,1.864,1.499,13.136,14.405,11.59,7.584,18.798,NA,NA,1.015,1.114,0.896,NA,NA,NA,0.147,0.147,0.059,0.059,NA,NA,NA,NA,E,NA,12.936,NA,NA,NA,NA
Anthocercis littorea,3,Stage_4,96.167,860,0.112,NA,NA,9.169,31.53,95.345,327.868,NA,NA,NA,NA,NA,NA,7.011,24.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,NA,13.6,NA,NA,NA,NA
Anthocercis littorea,4,Stage_4,114.167,671.667,0.17,NA,NA,NA,NA,NA,NA,1.969,2.206,1.775,17.247,19.319,15.545,NA,NA,NA,NA,1.111,1.244,1.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,NA,15.526,NA,NA,NA,NA
Anthocercis littorea,5,Stage_4,124.167,760,0.163,NA,NA,17.85,32.39,143.758,260.859,1.515,1.703,1.371,12.201,13.719,11.039,8.747,15.871,NA,NA,0.742,0.835,0.672,NA,NA,NA,0.095,0.095,0.053,0.053,NA,NA,NA,NA,E,NA,16.436,NA,NA,NA,NA
Banksia leptophylla var.  melletica,1,Stage_4,189.107,305.357,0.619,NA,14.193,8.411,15.6,44.476,82.493,2.586,2.856,2.298,13.677,15.101,12.151,8.171,15.155,115.965,215.089,2.513,2.774,2.232,35.661,39.4,31.681,0.34,0.34,0.183,0.183,NA,NA,NA,NA,M,Proteaceae,5.443,NA,NA,NA,NA
Banksia leptophylla var.  melletica,2,Stage_4,127.667,326.667,0.391,NA,21.07,4.488,12.508,35.154,97.974,3.374,3.778,3.04,26.428,29.591,23.809,4.35,12.124,91.659,255.454,3.27,3.662,2.946,68.908,77.2,62.08,0.842,0.842,0.302,0.302,NA,NA,NA,NA,M,Proteaceae,8.081,NA,NA,NA,NA
Banksia leptophylla var.  melletica,3,Stage_4,150.243,390.777,0.384,NA,21.127,4.458,9.299,29.67,61.89,2.946,3.296,2.652,19.609,21.935,17.649,3.662,7.638,77.362,161.37,2.42,2.707,2.178,51.128,57.2,46.018,0.739,0.739,0.354,0.354,NA,NA,NA,NA,M,Proteaceae,8.103,NA,NA,NA,NA
Banksia leptophylla var.  melletica,4,Stage_4,175.844,389.61,0.451,NA,16.423,8.768,14.361,49.861,81.669,2.157,2.512,2.022,12.266,14.288,11.496,7.916,12.966,130.006,212.941,1.947,2.268,1.825,31.982,37.3,29.975,0.287,0.287,0.175,0.175,NA,NA,NA,NA,M,Proteaceae,6.299,NA,NA,NA,NA
Banksia leptophylla var.  melletica,5,Stage_4,NA,NA,NA,0.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,10.142,7.762,23.47,0.35949,-10.24423
Banksia leptophylla var.  melletica,6,Stage_4,NA,NA,NA,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,8.791,4.663,46.959,0.12375,68.1975
Banksia leptophylla var.  melletica,7,Stage_4,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,5.987,5.617,6.18,0.20035,41.03975
Banksia leptophylla var.  melletica,8,Stage_4,NA,NA,NA,0.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,9.152,4.15,54.656,0.12919,75.24543
Banksia leptophylla var.  melletica,9,Stage_4,NA,NA,NA,0.341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,9.747,6.95,28.697,0.34789,-2.0913
Banksia nivea,1,Stage_4,263.402,541.237,0.487,NA,19.261,24.452,46.732,92.83,177.417,2.067,1.981,1.594,7.848,7.52,6.05,14.251,27.237,274.497,524.62,1.205,1.154,0.929,23.207,22.2,17.891,0.081,0.081,0.042,0.042,NA,NA,NA,NA,M,Proteaceae,6.514,NA,NA,NA,NA
Banksia nivea,2,Stage_4,314.362,579.787,0.542,NA,20.871,29.687,52.66,94.437,167.513,1.876,1.656,1.332,5.969,5.267,4.238,13.38,23.734,279.248,495.333,0.846,0.746,0.6,17.649,15.6,12.531,0.056,0.056,0.031,0.031,NA,NA,NA,NA,M,Proteaceae,7.058,NA,NA,NA,NA
Banksia nivea,3,Stage_4,364.286,623.377,0.584,NA,18.941,24.608,22.395,67.551,61.476,1.697,1.621,1.304,4.658,4.449,3.58,10.546,9.598,199.747,181.784,0.727,0.695,0.559,13.773,13.2,10.586,0.066,0.066,0.072,0.072,NA,NA,NA,NA,M,Proteaceae,6.405,NA,NA,NA,NA
Banksia nivea,4,Stage_4,259.278,510.309,0.508,NA,18.982,13.265,40.082,51.161,154.592,1.431,1.357,1.092,5.519,5.234,4.211,7.97,24.082,151.283,457.128,0.86,0.815,0.656,16.32,15.5,12.452,0.102,0.102,0.034,0.034,NA,NA,NA,NA,M,Proteaceae,6.419,NA,NA,NA,NA
Banksia nivea,5,Stage_4,NA,NA,NA,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,4.56,5.729,-25.636,0.2975,-8.21455
Banksia nivea,6,Stage_4,NA,NA,NA,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,5.505,4.941,10.243,0.45198,-16.18959
Banksia nivea,7,Stage_4,NA,NA,NA,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,6.181,6.918,-11.921,0.28762,9.28774
Banksia nivea,8,Stage_4,NA,NA,NA,0.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,5.352,4.901,8.421,0.18206,48.11621
Banksia nivea,9,Stage_4,NA,NA,NA,0.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Proteaceae,6.553,6.427,1.933,0.29343,18.26857
Banksia prionotes,1,Stage_4,226.087,425.629,0.531,NA,31.719,21.735,35.945,96.134,158.988,1.007,1.274,1.025,4.456,5.635,4.534,8.836,14.613,280.268,463.514,0.41,0.518,0.417,12.99,16.4,13.219,0.059,0.059,0.035,0.035,0.897,0.891,0.704,0.875,M,Proteaceae,10.88,NA,NA,NA,NA
Banksia prionotes,2,Stage_4,216.667,432.9,0.501,NA,29.974,22.351,43.779,103.157,202.058,1.069,1.371,1.103,4.935,6.328,5.092,10.033,19.653,300.744,589.08,0.48,0.616,0.495,14.387,18.4,14.845,0.061,0.061,0.031,0.031,1.636,1.53,1.193,1.483,M,Proteaceae,10.281,NA,NA,NA,NA
