site_ID,latitude,longitude,name_original,raw_trait_value,trait,units,primary_source_id,metadata_id
NA,NA,NA,Acacia alata,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia ampliceps,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia auriculiformis,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia cupularis,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia cyclops,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia elongata,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia flexifolia,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia flocktoniae,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia imbricata,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia jibberdingensis,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia jonesii,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia lasiocalyx,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia leiophylla,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia ligulata,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia longifolia,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia macradenia,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia mangium,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia melanoxylon,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia merrallii,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia multispicata,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia oswaldii,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia paradoxa,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia pruinosa,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia pyrifolia,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia retinodes,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia rigens,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia rossei,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia rostellifera,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia rupicola,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia saliciformis,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia salicina,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia scirpifolia,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia sclerosperma,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia subporosa,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia tetragonophylla,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia verticillata,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia wattsiana,Aril,dispersal appendage,NA,5,5
NA,NA,NA,Acacia acinacea,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia acuminata,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia adunca,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia aneura,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia aspera,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia baileyana,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia beckleri,Elaiosome,dispersal appendage,NA,5,5
NA,NA,NA,Acacia binervata,Elaiosome,dispersal appendage,NA,5,5
