Material,Abbreviation,rep,MassLoss_3.5 (%),MassLoss_12 (%),MassLoss_24 (%),dry_massFlamm (g),Leaf FMC (%odw),TTI (s),FD (s),SD (s),TBT (s),Combustibility (mg/s),FD/mass (s/g),SD/mass (s/g),Leaf length (cm),Leaf width (cm),Leaf thickness (mm),Leaf area (cm2),Leaf mass (g),Leaf moisture (at time of measuring) (%odw),Leaf dry mass (g),Leaf volume (cm3),Leaf density (g/cm3),Leaf SLA (cm2/g),Leaf  SAperV (cm2/cm3),Leaf Energy (MJ/kg),Leaf C (wght %),Leaf N (wght %),Leaf Al (mg/kg),Leaf B (mg/kg),Leaf Ca (wght %),Leaf Cu (mg/kg),Leaf Fe (mg/kg),Leaf K (wght %),Leaf Mg (wght %),Leaf Mn (mg/kg),Leaf Na (mg/kg),Leaf P (mg/kg),Leaf S (wght %),Leaf Zn (mg/kg),Leaf Lignin (wght %),Leaf Cellulose (wght %),Leaf Ash (wght %),Leaf TotalTannins (wght %),Bark dry_massFlamm (g),Bark thicknFlam (mm),dry_massFlam (g),Bark thickness (mm),Bark area (cm2),Bark dry mass (g),Bark volume (cm3),Bark density (g/cm3),Bark MaxFlexLoad (Newton),Bark MFLperTHICKN (N/mm),BAM (cm2/g),Bark Energy (MJ/kg),Bark C (wght %),Bark N (wght %),Bark Al (mg/kg),Bark B (mg/kg),Bark Ca (wght %),Bark Cu (mg/kg),Bark Fe (mg/kg),Bark K (wght %),Bark Mg (wght %),Bark Mn (mg/kg),Bark Na (mg/kg),Bark P (mg/kg),Bark S (wght %),Bark Zn (mg/kg),Bark Lignin (wght %),Bark Cellulose (wght %),Bark Ash (wght %),Bark Free Tannins (wt%),Bark Bound Tannins (wt%),Bark Total Tannins (wt%),Bark FMC (%),Taxon,Site
LEAVES,Ang_his,2,30.2061002,25.7140306,49.3820886,1.2529880,,3.6,19.6,85.9,105.5,12.9478673,15.6426082,68.5561248,10.5,5.5,1.12,42.2,1.392,8.9923345,1.2771540,4.7264000,0.2702171,33.0422163,17.8571429,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anophora hispida,West Head
LEAVES,Ang_his,3,12.8172451,47.3639398,29.9827674,0.9035089,,2.7,15.4,102.0,117.4,8.3901193,17.0446578,112.8931881,9.3,5.2,0.71,31.4,1.014,8.9923345,0.9303407,2.2294000,0.4173054,33.7510779,28.1690141,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anophora hispida,West Head
LEAVES,Ang_his,4,28.1425115,27.3740180,50.4429743,0.7585806,,2.9,9.3,83.4,92.7,8.9212513,12.2597393,109.9421783,7.6,5.5,0.79,34.1,0.852,8.9923345,0.7817064,2.6939000,0.2901765,43.6225188,25.3164557,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anophora hispida,West Head
LEAVES,Ang_his,5,26.2107090,25.5107136,62.0621221,1.0787071,,3.0,16.1,63.4,79.5,14.7924528,14.9252753,58.7740655,9.7,5.4,1.11,41.1,1.207,8.9923345,1.1074173,4.5621000,0.2427429,37.1133798,18.0180180,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anophora hispida,West Head
LEAVES,Ang_his,6,6.1206186,20.1579749,77.5832375,0.4834002,,3.1,8.3,74.6,82.9,6.3570567,17.1700387,154.3234802,7.4,3.9,0.66,24.4,0.544,8.9923345,0.4991177,1.6104000,0.3099340,48.8862677,30.3030303,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anophora hispida,West Head
LEAVES,Ang_his,7,,,,0.6714401,,3.2,10.9,91.0,101.9,7.1835132,16.2337634,135.5295847,9.1,4.4,0.56,27.3,0.750,8.9923345,0.6881218,1.5288000,0.4501058,39.6732097,35.7142857,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anophora hispida,West Head
LEAVES,Ang_his,8,,,,0.9833112,,2.3,12.6,79.1,91.7,11.6902944,12.8138476,80.4424880,9.5,6.2,0.85,50.2,1.098,8.9923345,1.0074103,4.2670000,0.2360933,49.8307394,23.5294118,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anophora hispida,West Head
LEAVES,Ang_his,9,,,,0.6879509,,3.7,8.3,56.1,64.4,11.6459627,12.0648138,81.5465128,8.5,4.6,0.74,27.8,0.769,8.9923345,0.7055542,2.0572000,0.3429682,39.4016502,27.0270270,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anophora hispida,West Head
LEAVES,Cor_gum,1,,35.0353960,63.9052276,0.7340350,10.0447336,3.1,8.8,42.3,51.1,15.9686888,11.9885296,57.6266820,13.6,4.0,0.53,32.3,0.842,9.9303010,0.7659399,1.7119000,0.4474209,42.1704124,37.7358491,22.1102000,48.2100000,0.3333000,69.2502727,27.1790909,0.4320024,2.9708182,43.1126364,0.1087498,0.1758386,55.9290909,1204.7196364,84.1890909,0.0495535,28.6024545,19.1917257,35.1848305,0.0766137,11.5084839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia gummifera,West Head
LEAVES,Cor_gum,2,17.2938175,31.9881174,81.3679321,0.5676177,,3.9,16.2,50.0,66.2,9.5317221,28.5403347,88.0874527,11.0,3.0,0.56,21.8,0.459,9.9303010,0.4175373,1.2208000,0.3420194,52.2109055,35.7142857,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia gummifera,West Head
