family,species,Location,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,SDH confirm,Granite yes=y,Conservtion status,Geographic range west relative to TPBNR,Geographic range centered relative to TPBNR,Geographic range east relative to TPBNR
STYLIDIACEAE,Stylidium imbricatum Benth.,"3,4,5,10",,,,,,,,,,,,,• ,,,,,eastern
STYLIDIACEAE,Stylidium inundatum R.Br.,,,,,,,,,,,,,,• ,y,,western,,
STYLIDIACEAE,Stylidium junceum R.Br.,,x,,,,x,,,,,,,,• ,,,western,,
STYLIDIACEAE,Stylidium luteum R.Br.,"1,3",x,,,,,,,,,x,,,• ,,,western,,
STYLIDIACEAE,Stylidium piliferum R.Br.,"3,11",,,,,,,,,,x,,,• ,,,,centered,
STYLIDIACEAE,Stylidium plantagineum Sonder,10,,,,,,,,,,,x,,• ,y,,western,,
STYLIDIACEAE,Stylidium pygmaeum R.Br.,,,,,,,,,,,,,,• new PERTH,,,western,,
STYLIDIACEAE,Stylidium repens R.Br.,1,,x,,,x,,,,,,,,• ,,,,centered,
STYLIDIACEAE,Stylidium scandens R.Br.,"1,3",x,x,,x,x,,x,,x,x,,,• ,,,western,,
STYLIDIACEAE,Stylidium schoenoides DC.,"1,3,11",,,,,,,,,,x,,,• ,,,,centered,
STYLIDIACEAE,Stylidium spathulatum R.Br.,"4,3",,,,,,,x,x,x,x,x,,• ,y,,western,,
STYLIDIACEAE,Stylidium squamosotuberosum Carlquist,,,,,,,,,,,,,,• new PERTH,,,western,,
STYLIDIACEAE,Stylidium violaceum R.Br.,3,x,,,,,,,,,,,,• ,,,western,,
THYMELAEACEAE,Pimelea angustifolia R.Br.,,,,,,,,,,,,,,• new PERTH,,,,centered,
THYMELAEACEAE,Pimelea clavata Labill.,1,x,,,,,,x,,x,x,,,• ,,,western,,
THYMELAEACEAE,Pimelea drummondii (Turcz.) Rye,,,,,,,,,,,,,,• ,,,,,eastern
THYMELAEACEAE,Pimelea ferruginea Labill.,"6,8,11",,,,,,,,x,,,,x,• ,,,,centered,
THYMELAEACEAE,Pimelea hispida R.Br.,12,,,,,,,x,x,,x,x,,• ,,,western,,
THYMELAEACEAE, Pimelea imbricata R.Br. var. imbricata ,,,,,,,,,,,,,,• ,y,,western,,
THYMELAEACEAE,Pimelea lehmanniana Meisn.,,,,,,,,,,,,,,• new PERTH,,,,centered,
THYMELAEACEAE,Pimelea longiflora R.Br.,"1,3,5,8,11",x,x,,,x,,x,x,x,x,x,x,• ,y,,western,,
THYMELAEACEAE,Pimelea preissii Meisn.,"5,11,12",,,,,,,,,x,x,,,• sp. Indet.,,,,,
THYMELAEACEAE,Pimelea rosea R.Br.,"1,2,6,8,11",x,,,,x,x,x,x,x,x,x,x,• ,y,,western,,
THYMELAEACEAE,Pimelea suaveolens Meisn.,#,,,,,,,,,,,,,• sp. Indet.,,,,,
THYMELAEACEAE,Pimelea sylvestris R.Br.,&,,,,,,,,,,,,,• ,,,western,,
TREMANDRACEAE,Tetratheca setigera Endl.,"3,5,12",x,,,,x,,x,x,x,x,x,,• ,,,western,,
TREMANDRACEAE,Tremandra stelligera R.Br. ex DC.,"7,11",,,,,,,x,x,,x,,,• ,,,western,,
URTICACEAE,Parietaria debilis G. Forst.,"2,7,8",,,,,,,,,,x,,,• ,,,,,
