Plant taxa,Te,Aq,Pn,An,Wo,He,Gr,Ge,Fe,Vi,fire response r/s,1 Rock Island,2 Hilltop Ridge,3 Hill 700,4 Robinsons Gully,5 SWupperMtG,6 SMtGCapeV,7 Little Bch Rd,8 Little Beach,9 NWupperMtG
* Aira caryophyllea L. ,te,,,an,,,,,,,seeder,x,,,,,,,,
* Aira cupaniana Guss.,te,,,an,,,,,,,seeder,x,,,,,x,,,
* Aira praecox L.,te,,,an,,,,,,,seeder,x,,,,,,,,
* Briza maxima L. ,te,,,an,,,,,,,seeder,,,,,,x,,,
* Briza minor L.,te,,,an,,,,,,,seeder,x,,,,,,,,
* Carduus pycnocephalus L.,te,,,an,,he,,,,,seeder,x,,,,,,,,
* Centaurium eryhraea Rafn,te,,,an,,,,,,,seeder,,,,,,x,,,
* Crassula natans Thunb. var. minor (Eckl. & Zeyh.) G.D.Rowley,,aq,,an,,,,,,,seeder,,,x,,,,,x,
* Cotula coronopifolia L.,,aq,,an,,,,,,,seeder,,,,,,,,x,
* Disa bracteata Sw.,te,,pn,,,he,,ge,,,resprout,x,,,,x,,,,
* Heliophila pusilla L.,te,,,an,,,,,,,seeder,x,,,,,,,,
* Hypochaeris glaba L.,te,,,an,,,,,,,seeder,x,x,,,x,,,,
* Isolepis marginata (Thunb.) A. Dietr.,te,,,an,,,,,,,seeder,x,,,,,,,,
* Lagurus ovatus L.,te,,,an,,,,,,,seeder,,,,,,x,,,
* Lysimachia arvensis (L.) U.Manns & Anderb.,te,,,an,,,,,,,seeder,x,,,,,,,,
* Orobanche minor Sm.,te,,pn,,,he,,ge,,,seeder,,,,,x,,,,
* Parentucellia latifolia (L.) Caruel,te,,,an,,,,,,,seeder,x,,,,,,,,
* Phytolacca octandra L.,te,,pn,,,he,,,,,seeder,,,,,,x,,,
* Romulea rosea var. australis (Ewart) M.P.de Vos,te,,pn,,,,,,,,resprout,,x,,,x,,,,
* Trifolium campestre Schreb.,te,,,an,,,,,,,seeder,x,,,,,,,,
* Vellereophyton dealbatum (Thunb.) Hilliard & B.L.Burtt,te,,,an,,,,,,,seeder,x,,,,x,,,,
* Vulpia myuros (L.) C.C.Gmel.,te,,,an,,,,,,,seeder,x,,,,,,,,
Acacia browniana H.L.Wendl. var. browniana,te,,pn,,wo,,,,,,seeder,,,x,,x,,,,
Acacia cyclops G.Don,te,,pn,,wo,,,,,,seeder,,,,,,,,,
Acacia leioderma Maslin,te,,pn,,wo,,,,,,seeder,x,,,,,,,,
