species,taxon_name
Anogramma leptophylla (L.) Link.,Anogramma leptophylla
Asplenium aethiopicum (Burm.f.) Bech.,Asplenium aethiopicum
Histiopteris incisa (Thunb.) J.Sm.,Histiopteris incisa
Pteridium esculentum (G.Forst.) Cockayne,Pteridium esculentum
Lindsaea linearis Sw.,Lindsaea linearis
"Brownseya serpentina (Kunze) Li Bing Zhang, L.D.Sheph., D.K.Chen, X.M.Zhou & H.He",Brownseya serpentina
Phylloglossum drummondii Kunze.,Phylloglossum drummondii
Schizaea fistulosa Labill.,Schizaea fistulosa
Podocarpus drouynianus F.Muell.,Podocarpus drouynianus
Macrozamia riedlei (Gaudich.) C.A.Gardner,Macrozamia riedlei
"Trithuria austinensis D.D.Sokoloff, Remizowa, T.Macfarlane & Rudall",Trithuria austinensis
Cassytha glabella R.Br.,Cassytha glabella
Cassytha racemosa Nees,Cassytha racemosa
Allium triquetrum L.,Allium triquetrum
Laxmannia jamesii Keighery,Laxmannia jamesii
Lomandra nigricans T.Mcfarlane,Lomandra nigricans
Lomandra pauciflora (R.Br.) Ewart,Lomandra pauciflora
Lomandra purpurea (Endl.) Ewart,Lomandra purpurea
Lomandra rigida Labill.,Lomandra rigida
Lomandra sonderi (F.Muell.) Ewart.,Lomandra sonderi
Thysanotus asper Lindl.,Thysanotus asper
Thysanotus dichotomus (Labill.) R.Br.,Thysanotus dichotomus
Thysanotus glaucifolius Brittan,Thysanotus glaucifolius
Thysanotus gracilis R.Br.,Thysanotus gracilis
Thysanotus isantherus R.Br.,Thysanotus isantherus
Thysanotus multiflorus R.Br.,Thysanotus multiflorus
Thysanotus patersonii R.Br.,Thysanotus patersonii
Thysanotus sparteus R.Br.,Thysanotus sparteus
Thysanotus tenellus Endl.,Thysanotus tenellus
Thysanotus thyrsoideus Baker,Thysanotus thyrsoideus
Borya nitida Labill.,Borya nitida
Aphelia cyperoides R.Br.,Aphelia cyperoides
Centrolepis aristata (R.Br.) Poir.,Centrolepis aristata
Centrolepis caespitosa D.A.Cooke,Centrolepis caespitosa
Centrolepis drummondiana (Nees) Walp.,Centrolepis drummondiana
Centrolepis fascicularis Labill.,Centrolepis fascicularis
Centrolepis glabra (Sond.) Hieron.,Centrolepis glabra
Centrolepis humillima Benth.,Centrolepis humillima
Centrolepis pilosa Hieron.,Centrolepis pilosa
Centrolepis polygyna (R.Br.) Hieron.,Centrolepis polygyna
Centrolepis strigosa (R.Br.) Roem. & Schult.,Centrolepis strigosa
Burchardia congesta Lindl.,Burchardia congesta
Wurmbea dioica (R.Br.) F.Muell. subsp. alba T.Macfarlane,Wurmbea dioica
"Ammothryon grandiflorum (Lehm.) R.L.Barrett, K.L.Wilson & J.J.Bruhl",Ammothryon grandiflorum
Baumea sp. laxa (K.Wilson 11052),Baumea laxa
Chaetospora curvifolia R.Br.,Chaetospora curvifolia
Chaetospora subbulbosa (Benth.) K.L.Wilson & R.L.Barrett,Chaetospora subbulbosa
Cyathochaeta avenacea (R.Br.) Benth.,Cyathochaeta avenacea
Cyathochaeta equitans K.L.Wilson,Cyathochaeta equitans
Cyperus tenuiflorus Rottb.,Cyperus tenuiflorus
*Cyperus congestus Vahl,Cyperus congestus
Evandra aristata R.Br.,Evandra aristata
*Ficinia marginata  (Thunb.) Fourc.,Ficinia marginata
"Ficinia nodosa (Rottb.) Goetgh., Muasya & D.A.Simpson",Ficinia nodosa
Gahnia sp. Headland (G.J. Keighery 8501),Gahnia sp. Headland (G.J.Keighery 8501)
Gahnia trifida Labill.,Gahnia trifida
Gymnoschoenus anceps (R.Br.) C.B.Clarke,Gymnoschoenus anceps
Isolepis cernua (Vahl) Roem. & Schult.,Isolepis cernua
*Isolepis prolifer (Rottb.) R.Br.,Isolepis prolifer
Isolepis sp. Cape Vancouver,Isolepis sp. Cape Vancouver
Lepidosperma angustatum R.Br.,Lepidosperma angustatum
Lepidosperma aff. fimbriatum Nees.,Lepidosperma aff. fimbriatum Nees.
Lepidosperma drummondii Benth.,Lepidosperma drummondii
Lepidosperma effusum Benth.,Lepidosperma effusum
Lepidosperma gladiatum Labill.,Lepidosperma gladiatum
Lepidosperma gracile R.Br.,Lepidosperma gracile
Lepidosperma hopperi R.L.Barrett,Lepidosperma hopperi
Lepidosperma longitudinale Labill.,Lepidosperma longitudinale
Lepidosperma striatum R.Br.,Lepidosperma striatum
Lepidosperma tetraquetrum Nees.,Lepidosperma tetraquetrum
"Lepidosperma sp. Carracarrup Creek (S. Kern, R. Jasper, D. Brassington LCH 16738)","Lepidosperma sp. Carracarrup Creek (S.Kern, R.Jasper, D.Brassington LCH 16738)"
Lepidosperma sp. indet (CSIRO 353A),Lepidosperma inops
Machaerina acuta (Labill.) J.Kern,Machaerina acuta
Machaerina articulata (R.Br.) T.Koyama,Machaerina articulata
Machaerina juncea (R.Br.) T.Koyama,Machaerina juncea
Machaerina laxa (Nees) T.Koyama,Machaerina laxa
Machaerina preissii (Nees) L.A.S.Johnson & T.Koyama,Machaerina preissii
Machaerina rubiginosa (Spreng.) T.Koyama,Machaerina rubiginosa
Mesomelaena graciliceps (C.B.Clarke) K.L.Wilson,Mesomelaena graciliceps
Mesomelaena tetragona (R.Br.) Benth.,Mesomelaena tetragona
Mesomelaena stygia (R.Br.) Nees.,Mesomelaena stygia
Mesomelaena sp. aff. stygia (CSIRO 384),Mesomelaena sp. aff. stygia (CSIRO 384)
Morelotia octandra (Nees) R.L.Barrett & J.J.Bruhl,Morelotia octandra
Netrostylis sp. Jarrah Forest (R. Davis 7391),Netrostylis sp. Jarrah Forest (R.Davis 7391)
Schoenus acuminatus R.Br.,Schoenus acuminatus
Schoenus breviculmis Benth.,Schoenus breviculmis
Schoenus brevifolius R.Br.,Schoenus brevifolius
Schoenus brevisetis (R.Br.) Poir.,Schoenus brevisetis
Schoenus caespititius W.Fitzg.,Schoenus caespititius
Schoenus cruentus (Nees) Benth.,Schoenus cruentus
Schoenus efoliatus F.Muell.,Schoenus efoliatus
Schoenus hexandrus F. Muell. & Tate.,Schoenus hexandrus
Schoenus multiglumis Benth.,Schoenus multiglumis
Schoenus nitens (R.Br.) Roem. & Schult.,Schoenus nitens
Schoenus odontocarpus F.Muell.,Schoenus odontocarpus
Schoenus pedicellatus (R.Br.) Benth.,Schoenus pedicellatus
Schoenus rigens S. T. Blake.,Schoenus rigens
Schoenus sp. Cape Riche Cushion (G.J. Keighery 9922),Schoenus sp. Cape Riche Cushion (G.J.Keighery 9922)
Schoenus sp. carsei (K.Wilson 11054),Schoenus carsei
Schoenus sp. Grassy (E. Gude & J. Harvey 250),Schoenus sp. Grassy (E.Gude & J.Harvey 250)
Schoenus sp. South coast (R. Davis 10239),Schoenus sp. South coast (R.Davis 10239)
Schoenus subflavus Kuek.,Schoenus subflavus
Schoenus sublateralis (Steud.) C.B.Clarke,Schoenus sublateralis
Schoenus submicrostachyus Kük.,Schoenus submicrostachyus
Tricostularia sp. Two Peoples Bay (G. Wardell-Johnson GWJ 114),Tricostularia sp. Two Peoples Bay (G.Wardell-Johnson GWJ 114)
Calectasia demarzii R.L.Barrett,Calectasia demarzii
Dasypogon bromeliifolius R.Br.,Dasypogon bromeliifolius
Kingia australis R.Br.,Kingia australis
Anigozanthos flavidus Redoute,Anigozanthos flavidus
Anigozanthos preissii Endl.,Anigozanthos preissii
Conostylis aculeata R.Br. subsp. aculeata,Conostylis aculeata subsp. aculeata
Conostylis serrulata R.Br.,Conostylis serrulata
Conostylis setigera R.Br. subsp. setigera,Conostylis setigera subsp. setigera
Haemodorum laxum R.Br.,Haemodorum laxum
Haemodorum sparsiflorum F.Muell.,Haemodorum sparsiflorum
Haemodorum spicatum R.Br.,Haemodorum spicatum
Phlebocarya ciliata R.Br.,Phlebocarya ciliata
Tribonanthes violacea Endl.,Tribonanthes violacea
Agrostocrinum hirsutum (Lindl.) Keighery,Agrostocrinum hirsutum
