Plant.ID,Species_abb,Species,Individual,Treatment,Root.dry,Stem.dry,Stem.wet,Leaf.dry,Biomass,LA,LDMC,WUE,A,Gs,SLA,SLvR,RSLA,RS,RL,Dbasal,Abasal,Al_As,RGR,H,Total.growth,LAR,SeedMass,AI,CMD,PPT,PET,RWC
B. acer1,B. acer,Brachychiton acerifolius,1,Control,365,220.8,614.1,287.6,873.4,1868.975,NA,96.67970233,1.322962397,0.013683973,19.63376838,1.39287671,5.1204795,1.6530797,1.2691238,4.7,17.34944543,107.7253453,0.00189284,70,8,2.13988436,0.285714286,1.131471357,-185.9638241,1588.149754,1402.18593,0.640449438
B. acer13,B. acer,Brachychiton acerifolius,13,Drought,142.5,63.1,129.1,43.8,249.4,577.25,359.205099,11.81832572,0.799289997,0.00122174,24.87130507,0.75017544,4.0508772,2.2583201,3.2534247,2.5,4.908738521,117.5964044,0.001465523,34,6,2.314554932,0.285714286,1.131471357,-185.9638241,1588.149754,1402.18593,0.511231603
B. acer14,B. acer,Brachychiton acerifolius,14,Drought,303.5,210.7,497.4,151.6,665.8,2112.15,337.3187736,36.12427973,0.061766982,0.000450932,27.64944329,1.1937397,6.9593081,1.4404366,2.0019789,4.3,14.52201204,145.4447217,0.000260928,105,5,3.172349054,0.285714286,1.131471357,-185.9638241,1588.149754,1402.18593,0.576397266
B. acer15,B. acer,Brachychiton acerifolius,15,Drought,269.2,141.5,372.6,162.2,572.9,947.575,294.6089215,136.976181,0.009015954,0.000762879,25.29198768,1.1281575,3.5199666,1.9024735,1.6596794,4.6,16.61902514,57.01748401,0,60,6,1.653997207,0.285714286,1.131471357,-185.9638241,1588.149754,1402.18593,0.620236178
B. acer16,B. acer,Brachychiton acerifolius,16,Drought,373.6,287.5,763.9,87.9,749,1111,311.7378297,262.4497496,0.029510467,0.000816915,24.63328224,1.00481799,2.9737687,1.2994783,4.2502844,5.3,22.06183441,50.35845974,0.000492623,115,2,1.483311081,0.285714286,1.131471357,-185.9638241,1588.149754,1402.18593,0.623641838
B. acer17,B. acer,Brachychiton acerifolius,17,Drought,273,296,673.7,110.6,679.6,1328.4,292.0096852,NA,NA,NA,24.26948096,1.48937729,4.8659341,0.9222973,2.4683544,4.8,18.09557368,73.4102175,0,91,4,1.954679223,0.285714286,1.131471357,-185.9638241,1588.149754,1402.18593,0.560635298
B. acer18,B. acer,Brachychiton acerifolius,18,Drought,164.8,163.1,354.9,74.7,402.6,842.6,353.4785664,NA,NA,NA,27.00994036,1.44296117,5.1128641,1.0104231,2.206158,4.3,14.52201204,58.02226287,0.000480203,NA,1,2.092896175,0.285714286,1.131471357,-185.9638241,1588.149754,1402.18593,0.540433925
B. acer19,B. acer,Brachychiton acerifolius,19,Drought,181.9,72.2,174.3,94.8,348.9,847.7666667,356.0517039,654.2224649,0.28833526,0.00109863,27.92739274,0.91808686,4.6606194,2.5193906,1.9187764,2.6,5.309291585,159.6760421,0.000565789,NA,2,2.429827076,0.285714286,1.131471357,-185.9638241,1588.149754,1402.18593,0.585771658
B. acer2,B. acer,Brachychiton acerifolius,2,Control,470.3,244.5,719.2,283,997.8,1379.775,NA,91.36521557,1.465571292,0.016040802,18.87665519,1.1216245,2.9338188,1.9235174,1.6618375,4.3,14.52201204,95.01266051,0,80,7,1.382817198,0.285714286,1.131471357,-185.9638241,1588.149754,1402.18593,0.660038932
B. acer20,B. acer,Brachychiton acerifolius,20,Drought,188.3,86.9,251.4,124.3,399.5,927.0333333,235.908142,NA,NA,NA,24.24778761,1.12161445,4.9231722,2.1668585,1.5148833,2.8,6.157521601,150.5529974,0.001971225,NA,3,2.320483938,0.285714286,1.131471357,-185.9638241,1588.149754,1402.18593,0.65433572
