code,tribe,plant_species,potential_pollinator,common_name,scientific_name,source,source_id,rf_classification,original_contribution,s3_trait_name,s3_trait_value
Aco,Styphelieae,Astroloma conostephioides,Bird,White plumed honeyeater,Lichenostomus penicillatus,Wheal (1996),Wheal_1996,TRUE,FALSE,,
Aco,Styphelieae,Astroloma conostephioides,Bird,Yellow faced honeyeater,Lichenstomus chrysops,Paton and Ford (1977),Paton_1977,TRUE,FALSE,,
Aco,Styphelieae,Astroloma conostephioides,Bird,Yellow faced honeyeater,Lichenstomus chrysops,Wheal (1996),Wheal_1996,TRUE,FALSE,,
Adr,Styphelieae,Astroloma drummondii,Bird,White cheeked honeyeater,Phylidonyris higra,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Ae,Styphelieae,Astroloma epacridis,Bird,Brown headed honeyeater,Melithreptus brevirostris,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Afo,Styphelieae,Astroloma foliosum,Bird,Western spinebill,Acanthorhynchus superciliosus,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Agl,Styphelieae,Astroloma glaucescens,Bird,Brown headed honeyeater,Melithreptus brevirostris,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Am,Styphelieae,Astroloma macrocalyx,Bird,Western spinebill,Acanthorhynchus superciliosus,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Ami,Styphelieae,Astroloma microcalyx,Bird,New Holland honeyeater,Phylidonyris novaehollandiae,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Apa,Styphelieae,Astroloma pallidum,Bird,Western spinebill,Acanthorhynchus superciliosus,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Apr,Styphelieae,Astroloma prostratum,Bird,New Holland honeyeater,Phylidonyris novaehollandiae,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Aser,Styphelieae,Astroloma serratifolium,Bird,Brown headed honeyeater,Melithreptus brevirostris,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Ase,Styphelieae,Astroloma serratifolium,Bird,Tawny-Crowned Honeyeater,Phylidonyris melanops,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Ax,Styphelieae,Astroloma xerophyllum,Insect,Bee,Leioproctus macmillani,Houston (2000),Houston_2000,TRUE,FALSE,,
Bc,Styphelieae,Brachyloma concolor,Bird,Brown headed honeyeater,Melithreptus brevirostris,Keighery (1996),Keighery_1996,FALSE,FALSE,,
Bd,Styphelieae,Brachyloma daphnoides,Insect,Beetle,Metriorrhynchus rhipidius,Hawkeswood (2002),Hawkeswood_2002,TRUE,FALSE,,
Be,Styphelieae,Brachyloma ericoides,Bird,Brown headed honeyeater,Melithreptus brevirostris,Paton and Ford (1977),Paton_1977,TRUE,FALSE,,
Be,Styphelieae,Brachyloma ericoides,Bird,Crescent Honeyeater,Phylidonyris pyrrhoptera,Paton and Ford (1977),Paton_1977,TRUE,FALSE,,
Be,Styphelieae,Brachyloma ericoides,bird,Eastern spinebill,Acanthorhynchus tenuirostris,Celebrezze and Paton (2004),Celebrezze_2004,TRUE,FALSE,,
Be,Styphelieae,Brachyloma ericoides,Bird,Eastern Spinebill,Acanthorhynchus tenuirostris,Paton and Ford (1977),Paton_1977,TRUE,FALSE,,
Be,Styphelieae,Brachyloma ericoides,insect,Honeybee,Apis mellifera,Celebrezze and Paton (2004),Celebrezze_2004,FALSE,FALSE,,
Be,Styphelieae,Brachyloma ericoides,bird,New Holland honeyeater,Phylidonyris novaehollandiae,Celebrezze and Paton (2004),Celebrezze_2004,FALSE,FALSE,,
Be,Styphelieae,Brachyloma ericoides,Bird,New Holland honeyeater,Phylidonyris novaehollandiae,Paton and Ford (1977),Paton_1977,TRUE,FALSE,,
Be,Styphelieae,Brachyloma ericoides,Bird,Purple gaped Honeyeater,Lichenostomus cratitius,Paton and Ford (1977),Paton_1977,TRUE,FALSE,,
Be,Styphelieae,Brachyloma ericoides,Bird,Red wattlebird,Anthochaera carunculata,Paton and Ford (1977),Paton_1977,TRUE,FALSE,,
Be,Styphelieae,Brachyloma ericoides,bird,Silvereye,Zosterops lateralis,Celebrezze and Paton (2004),Celebrezze_2004,TRUE,FALSE,,
Be,Styphelieae,Brachyloma ericoides,Bird,Silvereye,Zosterops lateralis,Paton and Ford (1977),Paton_1977,TRUE,FALSE,,
Be,Styphelieae,Brachyloma ericoides,bird,Tawny crowned honeyeater,Phylidonyris melanops,Celebrezze and Paton (2004),Celebrezze_2004,TRUE,FALSE,,
Be,Styphelieae,Brachyloma ericoides,Bird,Tawny crowned honeyeater,Phylidonyris melanops,Paton and Ford (1977),Paton_1977,TRUE,FALSE,,
Be,Styphelieae,Brachyloma ericoides,Bird,Yellow throated minor,Manorina flavigula,Paton and Ford (1977),Paton_1977,TRUE,FALSE,,
Bp,Styphelieae,Brachyloma preissii,Bird,Brown headed honeyeater,Melithreptus brevirostris,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Bp,Styphelieae,Brachyloma preissii,Bird,Western spinebill,Acanthorhynchus superciliosus,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Cm,Styphelieae,Coleanthera myrtoides,Insect,Bee,Amegilla pulchra,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Cd,Styphelieae,Conostephium drummondii,Insect,Bee,Leioproctus Nodocolletes,Houston (2000),Houston_2000,TRUE,FALSE,,
Cd,Styphelieae,Conostephium drummondii,Insect,Bee,Leioproctus sp.,Houston and Ladd (2002),Houston_2002,TRUE,FALSE,,
Cmi,Styphelieae,Conostephium minus,Insect,Bee,Leioproctus sp.,Houston and Ladd (2002),Houston_2002,TRUE,FALSE,,
Cp,Styphelieae,Conostephium pendulum,Insect,Bee,Amegilla sp.,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Cp,Styphelieae,Conostephium pendulum,Insect,Bee,Leioproctus sp.,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Cp,Styphelieae,Conostephium pendulum,Insect,Bee,Leioproctus sp.,Houston and Ladd (2002),Houston_2002,TRUE,FALSE,,
Cr,Styphelieae,Conostephium roei,Insect,Bee,Lasioglossum (Parasphecodes) sp.,Houston and Ladd (2002),Houston_2002,TRUE,FALSE,,
Cr,Styphelieae,Conostephium roei,Insect,Bee,Leioproctus sp.,Houston and Ladd (2002),Houston_2002,TRUE,FALSE,,
Md,Styphelieae,Cyathodes dealbata,Insect,beetle,Sessinia sp.,P. McQuillan (University of Tasmania) pers. comm. 2007,McQuillan_2007,TRUE,FALSE,,
Cg,Styphelieae,Cyathodes glauca,Insect,Bee,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Cg,Styphelieae,Cyathodes glauca,Insect,Beetle,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Cg,Styphelieae,Cyathodes glauca,Insect,Butterfly,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Cg,Styphelieae,Cyathodes glauca,Insect,Fly,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Cs,Styphelieae,Cyathodes straminea,Insect,beetle,Aleocharinae,P. McQuillan (University of Tasmania) pers. comm. 2007,McQuillan_2007,TRUE,FALSE,,
Ld,Styphelieae,Leptecophylla divaricata,Bird,Black-Headed Honeyeater,Melithreptus affinis,Higham and McQuillan (2000),Higham_2000,TRUE,FALSE,,
Ld,Styphelieae,Leptecophylla divaricata,Bird,Crescent Honeyeater,Phylidonyris pyrrhoptera,Higham and McQuillan (2000),Higham_2000,TRUE,FALSE,,
Ld,Styphelieae,Leptecophylla divaricata,Bird,Eastern Spinebill,Acanthorhynchus tenuirostris,Higham and McQuillan (2000),Higham_2000,TRUE,FALSE,,
Ld,Styphelieae,Leptecophylla divaricata,Insect,Honeybee,Apis sp.,Higham and McQuillan (2000),Higham_2000,TRUE,FALSE,,
Ld,Styphelieae,Leptecophylla divaricata,Bird,Unknown,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Ljp,Styphelieae,Leptecophylla juniperina subsp. parvifolia,Insect,Bee,Exoneura sp.,Higham and McQuillan (2000),Higham_2000,TRUE,FALSE,,
Ljp,Styphelieae,Leptecophylla juniperina subsp. parvifolia,Insect,Bee,Lasioglossum (Austrevylaeus) pertribuarium,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Ljp,Styphelieae,Leptecophylla juniperina subsp. parvifolia,Insect,Bee,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Ljp,Styphelieae,Leptecophylla juniperina subsp. parvifolia,Insect,Beetle,Sessinia sp.,Higham and McQuillan (2000),Higham_2000,TRUE,FALSE,,
Ljp,Styphelieae,Leptecophylla juniperina subsp. parvifolia,Insect,Beetle,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Ljp,Styphelieae,Leptecophylla juniperina subsp. parvifolia,Insect,Blowfly,Calliphora sp.,Higham and McQuillan (2000),Higham_2000,TRUE,FALSE,,
Ljp,Styphelieae,Leptecophylla juniperina subsp. parvifolia,Insect,Fly,Tachinidae,Higham and McQuillan (2000),Higham_2000,TRUE,FALSE,,
Ljp,Styphelieae,Leptecophylla juniperina subsp. parvifolia,Insect,Fly,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Ljp,Styphelieae,Leptecophylla juniperina subsp. parvifolia,Insect,Honeybee,Apis sp.,Higham and McQuillan (2000),Higham_2000,TRUE,FALSE,,
Ljp,Styphelieae,Leptecophylla juniperina subsp. parvifolia,Insect,Hover Fly,Syrphidae,Higham and McQuillan (2000),Higham_2000,TRUE,FALSE,,
Ljp,Styphelieae,Leptecophylla juniperina subsp. parvifolia,Insect,Moth,Unknown,P. McQuillan (University of Tasmania) pers. comm. 2007,McQuillan_2007,TRUE,FALSE,,
Ljp,Styphelieae,Leptecophylla juniperina subsp. parvifolia,Insect,Wasp,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Ljj,Styphelieae,Leptecophylla juniperina subsp. juniperina,Insect,Bee,Exoneura sp.,KAJ (Sep 2008),Johnson_2013,TRUE,TRUE,,
Ljj,Styphelieae,Leptecophylla juniperina subsp. juniperina,Insect,Bee,Unknown,KAJ (Sep 2006),Johnson_2013,TRUE,TRUE,,
Ljj,Styphelieae,Leptecophylla juniperina subsp. juniperina,Insect,Fly,Unknown,KAJ (Sep 2006),Johnson_2013,TRUE,TRUE,,
Ljj,Styphelieae,Leptecophylla juniperina subsp. juniperina,Insect,Honeybee,Apis mellifera,KAJ (Sep 2008),Johnson_2013,TRUE,TRUE,,
Lf,Styphelieae,Leucopogon fraseri,Insect,Moth,Unknown,Thomson (1926),Thomson_1926,TRUE,FALSE,,
La,Styphelieae,Leucopogon australis,Insect,Bee,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
La,Styphelieae,Leucopogon australis,Insect,Butterfly,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
La,Styphelieae,Leucopogon australis,Insect,Fly,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
La,Styphelieae,Leucopogon australis,Insect,Moth,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Lc,Styphelieae,Leucopogon capitellatus,Insect,Bee,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Lc,Styphelieae,Leucopogon capitellatus,Insect,Moth,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Bee,Apis mellifera,KAJ (Sep 2009),Johnson_2013,TRUE,TRUE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Bee,Apis mellifera,P. McQuillan (University of Tasmania) pers. comm. 2008,McQuillan_2008,FALSE,FALSE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Bee,Bombus terrestris,KAJ (Sep 2009),Johnson_2013,TRUE,TRUE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Bee,Callomelitta insularis,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Bee,Euryglossa (Euhesma) sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Bee,Exoneura sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Bee,Homalictus niveifrons/megastigmus,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Bee,Lasioglossum (Chilalictus) brazieri,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Bee,Lasioglossum (Chilalictus) erythrurum,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Bee,Lasioglossum (Chilalictus) littleri,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Bee,Lasioglossum (Parasphecodes) sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Bee,Leioproctus (Leioproctus) sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Bee,Nomia (Austronomia) sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Bee,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Butterfly,Lycaenidae,KAJ (Sep 2008),Johnson_2013,TRUE,TRUE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Butterfly,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Fly,Calliphoridae,P. McQuillan (University of Tasmania) pers. comm. 2008,McQuillan_2008,FALSE,FALSE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Fly,Comptosia ocellata,KAJ (Sep 2009),Johnson_2013,TRUE,TRUE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Fly,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Lco,Styphelieae,Leucopogon collinus,Insect,Wasp,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Bee,Euryglossa (Euhesma) sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Bee,Exoneura sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Bee,Exoneura sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Bee,Homalictus niveifrons/megastigmus,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Bee,Lasioglossum (Austrevylaeus) pertribuarium,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Bee,Lasioglossum (Chilalictus) littleri,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Bee,Lasioglossum (Chilalictus) opacicolle,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Bee,Lasioglossum (Chilalictus) orbatum,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Bee,Lasioglossum (Chilalictus) seductum,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Bee,Lasioglossum (Ctenonomia) sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Bee,Lasioglossum (Parasphecodes) sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Bee,Lasioglossum (Parasphecodes) sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Bee,Leioproctus (Leioproctus) sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Bee,Leioproctus (Leioproctus) sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Bee,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Beetle,Chauliognathus tricolor,KAJ (Sep 2007),Johnson_2013,TRUE,TRUE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Beetle,Unknown,KAJ (Sep 2007),Johnson_2013,TRUE,TRUE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Fly,Syrphidae,KAJ (Sep 2007),Johnson_2013,TRUE,TRUE,,
Le,Styphelieae,Leucopogon ericoides,Insect,Fly,Tachinidae,KAJ (Sep 2007),Johnson_2013,TRUE,TRUE,,
Ll,Styphelieae,Leucopogon lanceolatus,Insect,Beetle,Metriorrhynchus rhipidius,Hawkeswood (2002),Hawkeswood_2002,TRUE,FALSE,,
Lm,Styphelieae,Leucopogon montanus,Insect,Bee,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Lm,Styphelieae,Leucopogon montanus,Insect,Beetle,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Lm,Styphelieae,Leucopogon montanus,Insect,Fly,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Lmu,Styphelieae,Leucopogon muticus,Insect,Beetle,Metriorrhynchus rhipidius,Hawkeswood (2004),Hawkeswood_2004,FALSE,FALSE,,
Ln,Styphelieae,Leucopogon nutans,Insect,Bee,Callomelitta antipodes,Houston (2000),Houston_2000,TRUE,FALSE,,
Lp,Styphelieae,Leucopogon parviflorus,Insect,Bee,Apis mellifera,KAJ (Oct 2007),Johnson_2013,FALSE,TRUE,,
Lp,Styphelieae,Leucopogon parviflorus,Insect,Bee,Exoneura sp.,KAJ (Oct 2007),Johnson_2013,TRUE,TRUE,,
Lp,Styphelieae,Leucopogon parviflorus,Insect,Bee,Homalictus niveifrons/megastigmus,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lp,Styphelieae,Leucopogon parviflorus,Insect,Bee,Lasioglossum (Chilalictus) brazieri,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lp,Styphelieae,Leucopogon parviflorus,Insect,Bee,Lasioglossum (Chilalictus) littleri,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lp,Styphelieae,Leucopogon parviflorus,Insect,Bee,Lasioglossum (Parasphecodes) sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lp,Styphelieae,Leucopogon parviflorus,Insect,Bee,Nomia (Austronomia) sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lp,Styphelieae,Leucopogon parviflorus,Insect,Bee,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Lp,Styphelieae,Leucopogon parviflorus,Insect,Bees,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Lp,Styphelieae,Leucopogon parviflorus,Insect,Butterfly,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Lp,Styphelieae,Leucopogon parviflorus,Insect,Flies,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Lp,Styphelieae,Leucopogon parviflorus,Insect,Fly,Melangyna sp.,KAJ (Oct 2007),Johnson_2013,TRUE,TRUE,,
Lp,Styphelieae,Leucopogon parviflorus,Insect,Fly,Tachinidae,KAJ (Oct 2007),Johnson_2013,TRUE,TRUE,,
Lp,Styphelieae,Leucopogon parviflorus,Insect,Moth,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Lp,Styphelieae,Leucopogon parviflorus,Insect,Wasp,Scolia bimaculata,Hawkeswood (1993),Hawkeswood_1993,TRUE,FALSE,,
Lsp,Styphelieae,Leucopogon sp.,Insect,Bee,Chalicodoma Hackeriapis axillaris,Houston (2000),Houston_2000,TRUE,FALSE,,
Lsp,Styphelieae,Leucopogon sp.,Insect,Bee,Exoneura,Houston (2000),Houston_2000,TRUE,FALSE,,
Lsp,Styphelieae,Leucopogon sp.,Insect,Bee,Lasioglossum Chilalictus castor,Houston (2000),Houston_2000,TRUE,FALSE,,
Lsp,Styphelieae,Leucopogon sp.,Insect,Bee,Leioproctus Leioproctus sp.,Houston (2000),Houston_2000,TRUE,FALSE,,
Lsp,Styphelieae,Leucopogon sp.,Insect,Bee,Leioproctus Leioproctus sp.,Houston (2000),Houston_2000,TRUE,FALSE,,
Lsp,Styphelieae,Leucopogon sp.,Insect,Bee,Leioproctus Leioproctus sp.,Houston (2000),Houston_2000,TRUE,FALSE,,
Lsp,Styphelieae,Leucopogon sp.,Insect,Bee,Leioproctus Leioproctus sp.,Houston (2000),Houston_2000,TRUE,FALSE,,
Lsp,Styphelieae,Leucopogon sp.,Insect,Bee,Leioproctus sp.,Houston (2000),Houston_2000,TRUE,FALSE,,
Lv,Styphelieae,Leucopogon verticillatus,Insect,Fly,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Lv,Styphelieae,Leucopogon verticillatus,Insect,Mosquito,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Lv,Styphelieae,Leucopogon verticillatus,Insect,Tipulid,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Lvi,Styphelieae,Leucopogon virgatus,Insect,Bee,Apis mellifera,KAJ (Sep 2008),Johnson_2013,TRUE,TRUE,,
Lvi,Styphelieae,Leucopogon virgatus,Insect,Bee,Euryglossa (Euhesma) sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lvi,Styphelieae,Leucopogon virgatus,Insect,Bee,Exoneura sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lvi,Styphelieae,Leucopogon virgatus,Insect,Bee,Homalictus niveifrons/megastigmus,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lvi,Styphelieae,Leucopogon virgatus,Insect,Bee,Lasioglossum (Chilalictus) seductum,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Lvi,Styphelieae,Leucopogon virgatus,Insect,Bee,Tachinidae,KAJ (Sep 2008),Johnson_2013,TRUE,TRUE,,
Lvi,Styphelieae,Leucopogon virgatus,Insect,Bee,Unknown,KAJ (Oct 2008),Johnson_2013,TRUE,TRUE,,
Lvi,Styphelieae,Leucopogon virgatus,Insect,Bee,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Lvi,Styphelieae,Leucopogon virgatus,Insect,Beetle,Metriorrhynchus rhipidius,Hawkeswood (2002),Hawkeswood_2002,TRUE,FALSE,,
Lvi,Styphelieae,Leucopogon virgatus,Insect,Beetle,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Lvi,Styphelieae,Leucopogon virgatus,Insect,Fly,Calliphoridae,KAJ (Sep 2008),Johnson_2013,TRUE,TRUE,,
Lvi,Styphelieae,Leucopogon virgatus,Insect,Fly,Stratiomyidae,KAJ (Sep 2008),Johnson_2013,TRUE,TRUE,,
Lvi,Styphelieae,Leucopogon virgatus,Insect,Fly,Syrphidae,KAJ (Oct 2008),Johnson_2013,TRUE,TRUE,,
Lvi,Styphelieae,Leucopogon virgatus,Insect,Fly,Unknown,KAJ (Oct 2008),Johnson_2013,TRUE,TRUE,,
Lvi,Styphelieae,Leucopogon virgatus,Insect,Butterfly,Unknown,KAJ (2009),Johnson_2013,TRUE,TRUE,,
Ls,Styphelieae,Lissanthe strigosa,Insect,Fly,Syriphidae,KAJ (Sep 2009),Johnson_2013,TRUE,TRUE,,
Ls,Styphelieae,Lissanthe strigosa,Insect,Fly,Tachinidae,KAJ (Sep 2009),Johnson_2013,TRUE,TRUE,,
Me,Styphelieae,Monotoca elliptica,Insect,Butterfly,Neduncia mathewi,P. McQuillan (University of Tasmania) pers. comm. 2007,McQuillan_2007,TRUE,FALSE,,
Mem,Styphelieae,Monotoca empetrifolia,Insect,Fly,Unknown,KAJ (2009),Johnson_2013,TRUE,TRUE,,
Mg,Styphelieae,Monotoca glauca,Insect,Bee,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Mg,Styphelieae,Monotoca glauca,Insect,Fly,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Ms,Styphelieae,Monotoca submutica,Insect,Bee,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Mt,Styphelieae,Monotoca tamariscina,Insect,Fly,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Mt,Styphelieae,Monotoca tamariscina,Insect,Mosquito,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Pi,Styphelieae,Pentachondra involucrata,Insect,Bee,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Pi,Styphelieae,Pentachondra involucrata,Insect,Beetle,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Pi,Styphelieae,Pentachondra involucrata,Insect,Fly,Unknown,Hingston and McQuillan (2000),Hingston_2000,TRUE,FALSE,,
Pp,Styphelieae,Pentachondra pumila,Insect,Bee,Unknown,P. McQuillan (University of Tasmania) pers. comm. 2007,McQuillan_2007,TRUE,FALSE,,
Pp,Styphelieae,Pentachondra pumila,Insect,Butterfly,Nymphalidae,P. McQuillan (University of Tasmania) pers. comm. 2007,McQuillan_2007,TRUE,FALSE,,
Pp,Styphelieae,Pentachondra pumila,Insect,Moth,Geometridae,P. McQuillan (University of Tasmania) pers. comm. 2007,McQuillan_2007,TRUE,FALSE,,
Pp,Styphelieae,Pentachondra pumila,Insect,Moth,Unknown,Thomson (1926),Thomson_1926,TRUE,FALSE,,
Sa,Styphelieae,Styphelia albicans,Insect,honeybee,Apis mellifera,Kato and Kawakita (2004),Kato_2004,FALSE,FALSE,,
Sc,Styphelieae,Styphelia cymbulae,Insect,honeybee,Apis mellifera,Kato and Kawakita (2004),Kato_2004,FALSE,FALSE,,
Sf,Styphelieae,Styphelia floribunda,Insect,honeybee,Apis mellifera,Kato and Kawakita (2004),Kato_2004,FALSE,FALSE,,
Sh,Styphelieae,Styphelia hainesii,Bird,Brown headed honeyeater,Melithreptus brevirostris,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Sh,Styphelieae,Styphelia hainesii,Bird,Tawny crowned honeyeater,Phylidonyris melanops,Keighery (1996),Keighery_1996,TRUE,FALSE,,
St,Styphelieae,Styphelia tenuifolia,Insect,Butterfly,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
St,Styphelieae,Styphelia tenuifolia,Insect,Moth,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Tc,Styphelieae,Trochocarpa cunninghamii,Bird,Eastern spinebill,Acanthorhynchus tenuirostris,Johnson et al. (2010),Johnson_2010,TRUE,FALSE,,
Tg,Styphelieae,Trochocarpa gunnii,Insect,Bee,Apis mellifera,KAJ (Mar 2007),Johnson_2013,FALSE,TRUE,,
Tg,Styphelieae,Trochocarpa gunnii,Insect,Butterfly,Graphium macleayanus,KAJ (Mar 2007),Johnson_2013,TRUE,TRUE,,
Tg,Styphelieae,Trochocarpa gunnii,Insect,Fly,Syrphidae,KAJ (Feb 2008),Johnson_2013,TRUE,TRUE,,
Tg,Styphelieae,Trochocarpa gunnii,Insect,Fly,Tachinidae,KAJ (Feb 2009),Johnson_2013,TRUE,TRUE,,
