Sheet:  Compile_Data in Hughes_constant_exp.xls
By:     MLR 18 September 2001
Details:Compile data so it can be dumped to an ASCII file
        for analysis/plotting etc. in IDL.

Notes:  Leaf 1b-5 deleted (gross error)

Format: List species ID and name (rows 14-28)
        List all the measurements by Michelle (rows 39-487)
        List extra measurements by Michael for plant 2. (rows 498-507)
        List FECOL data used to verify basic approach. (rows 516-543)

Hughes ISpecies Names & Authorities
       1Eucalyptus ficifolia F. Muell.
       2Hedera Helix L.
       3Betula jacquemontii Spach.
       4Melia azedarach L. var. australasica
       5Populus nigra L. 'Italica'
       6Alnus rhombifolia Nutt.
       7Ginkgo biloba L.
       8Eucalyptus pauciflora Sieber ex. Sprengel
       9Callistemon viminalis Sweet ex. G.Don
      10Convolvulus mauritanicus Boiss.
      11Salix babylonica L.
      12Cercis occidentalis Torr.
      13Hypericum calycinum L.
      14Acer platanoides L.
      15Vinca minor L.

Fields: ID      Species ID, 3 sets of ten leaves per species
        Leaf No.Leaf number - ranges from 1-10
        Mass    (g) - use 3 significant figures
        Dry Mass(g)
        Area    Projected area measured with a leaf area meter - 1 significant figure
        z       Leaf thickness - average of three estimates with a dial thickness gauge - 3 significant figures

   ID   Leaf No.  Mass  Dry Mass  Area     z
                  (g)     (g)    (cm2)    (um)
5b             6   0.221   0.069    12.6     227
5b             7   0.171   0.055     9.8     198
5b             8   0.343   0.112    18.6     197
5b             9   0.074   0.024     4.1     225
5b            10   0.464   0.156    27.0     165
5c             1   0.606   0.200    35.8     172
5c             2   0.525   0.179    31.4     142
5c             3   0.460   0.152    27.6     162
5c             4   0.396   0.130    23.6     192
5c             5   0.428   0.142    25.0     178
5c             6   0.116   0.036     6.8     182
5c             7   0.219   0.069    12.9     207
5c             8   0.360   0.117    20.8     200
5c             9   0.301   0.100    17.5     198
5c            10   0.040   0.013     2.2     245
6a             1   2.063   0.882    89.5     212
6a             2   0.884   0.368    37.6     273
6a             3   1.309   0.528    60.1     192
6a             4   1.650   0.669    80.2     193
6a             5   1.572   0.607    74.1     203
6a             6   1.219   0.494    55.2     258
6a             7   0.754   0.257    39.6     242
6a             8   0.813   0.315    43.9     187
6a             9   0.890   0.374    43.0     247
6a            10   1.154   0.431    55.6     190
6b             1   0.319   0.111    14.8     308
6b             2   1.062   0.418    46.9     197
6b             3   2.127   0.913    96.9     193
6b             4   0.933   0.375    44.8     222
6b             5   0.657   0.259    34.7     205
6b             6   1.652   0.702    79.0     195
6b             7   1.350   0.558    64.2     188
6b             8   1.044   0.437    51.1     213
6b             9   0.490   0.184    29.1     217
6b            10   1.213   0.488    59.2     212
6c             1   0.483   0.193    22.6     325
6c             2   1.784   0.746    83.9     218
6c             3   0.882   0.356    38.7     302
6c             4   1.542   0.640    77.4     177
6c             5   1.740   0.719    88.3     197
6c             6   0.769   0.299    45.4     182
6c             7   1.198   0.489    60.6     210
6c             8   0.832   0.329    50.9     193
6c             9   1.499   0.632    73.6     207
6c            10   1.400   0.584    68.3     198
7a             1   1.247   0.398    40.2     350
7a             2   0.805   0.257    27.3     330
7a             3   0.457   0.138    16.6     313
7a             4   0.786   0.223    28.6     305
7a             5   1.016   0.307    36.0     313
7a             6   0.775   0.234    26.7     310
7a             7   0.831   0.253    29.9     315
7a             8   0.795   0.237    30.0     312
7a             9   0.376   0.109    15.0     307
7a            10   0.898   0.294    31.9     320
7b             1   0.142   0.040     4.3     477
7b             2   0.355   0.104    11.9     377
7b             3   0.350   0.098    13.0     335
7b             4   0.389   0.114    13.4     345
7b             5   0.775   0.228    29.2     313
7b             6   0.933   0.281    35.3     322
7b             7   0.357   0.100    15.9     277
7b             8   0.705   0.188    31.2     250
7b             9   0.530   0.157    21.6     285
7b            10   0.719   0.214    28.3     305
7c             1   0.220   0.061     7.6     332
7c             2   0.355   0.099    11.5     402
7c             3   0.299   0.079    10.1     360
7c             4   0.527   0.141    16.6     365
7c             5   0.467   0.117    15.8     362
7c             6   0.597   0.166    19.4     367
7c             7   0.929   0.252    30.9     348
7c             8   0.733   0.207    30.7     282
7c             9   0.683   0.206    26.2     293
7c            10   0.611   0.172    27.1     253
8a             1   0.858   0.400    19.5     480
8a             2   1.462   0.665    32.3     433
8a             3   0.954   0.445    22.2     403
8a             4   0.765   0.286    13.5     537
8a             5   1.262   0.470    22.0     552
8a             6   1.693   0.780    37.2     445
8a             7   0.812   0.380    19.3     412
8a             8   1.105   0.497    26.5     423
8a             9   0.876   0.411    20.2     473
8a            10   0.610   0.291    14.6     417
8b             1   1.102   0.520    24.4     448
8b             2   1.679   0.763    30.9     492
8b             3   1.022   0.463    23.1     455
8b             4   1.046   0.497    25.6     390
8b             5   1.520   0.676    30.7     473
8b             6   1.490   0.673    31.1     470
8b             7   1.801   0.783    32.0     523
8b             8   1.404   0.670    28.9     443
8b             9   0.710   0.331    16.3     430
8b            10   1.840   0.883    37.3     450
8c             1   2.244   1.125    35.6     565
8c             2   2.219   1.084    32.9     623
8c             3   2.054   1.012    35.9     557
8c             4   0.947   0.445    19.0     490
8c             5   0.814   0.379    17.3     480
8c             6   1.394   0.652    27.8     460
8c             7   2.431   1.211    47.1     487
8c             8   3.144   1.548    64.7     443
8c             9   1.010   0.479    22.5     432
8c            10   0.921   0.448    19.6     482
9a             1   0.301   0.129    11.2     317
9a             2   0.224   0.097     8.3     323
9a             3   0.327   0.137    11.1     317
9a             4   0.232   0.097     8.9     293
9a             5   0.373   0.159    12.6     337
9a             6   0.255   0.107    10.0     298
9a             7   0.283   0.121    10.8     340
9a             8   0.385   0.172    14.5     355
9a             9   0.374   0.156    13.0     363
9a            10   0.149   0.039     6.6     277
9b             1   0.174   0.043     6.5     360
9b             2   0.188   0.046     7.2     328
9b             3   0.260   0.065     9.8     347
9b             4   0.235   0.058     9.3     365
9b             5   0.256   0.066     9.3     370
9b             6   0.123   0.029     4.9     290
9b             7   0.168   0.041     6.6     308
9b             8   0.191   0.048     7.6     313
9b             9   0.173   0.042     6.9     305
9b            10   0.104   0.025     4.2     273
9c             1   0.145   0.064     5.3     310
9c             2   0.217   0.093     7.9     357
9c             3   0.181   0.077     6.8     320
9c             4   0.279   0.118     9.6     327
9c             5   0.290   0.120    10.7     357
9c             6   0.252   0.110     8.8     367
9c             7   0.193   0.082     7.1     317
9c             8   0.242   0.102     8.7     355
9c             9   0.187   0.094     6.4     340
9c            10   0.099   0.051     3.4     313
10a            1   0.040   0.009     2.0     295
10a            2   0.039   0.009     2.1     287
10a            3   0.054   0.012     2.7     298
10a            4   0.042   0.009     2.0     292
10a            5   0.035   0.009     1.8     307
10a            6   0.027   0.007     1.5     303
10a            7   0.020   0.005     1.1     320
10a            8   0.045   0.011     2.4     298
10a            9   0.042   0.010     2.3     298
10a           10   0.045   0.012     2.4     298
10b            1   0.047   0.011     2.5     330
10b            2   0.060   0.014     2.7     330
10b            3   0.054   0.012     3.0     340
10b            4   0.038   0.010     2.0     337
10b            5   0.042   0.010     2.2     287
10b            6   0.029   0.007     1.7     267
10b            7   0.038   0.009     2.1     333
10b            8   0.042   0.010     2.5     320
10b            9   0.032   0.007     1.8     300
10b           10   0.024   0.006     1.3     268
10c            1   0.022   0.005     1.6     222
10c            2   0.030   0.008     1.9     230
10c            3   0.046   0.012     2.7     327
10c            4   0.037   0.010     2.3     277
10c            5   0.053   0.014     3.0     310
10c            6   0.035   0.010     2.2     273
10c            7   0.022   0.005     1.3     233
10c            8   0.024   0.006     1.4     323
10c            9   0.028   0.006     1.8     300
10c           10   0.028   0.007     1.9     233
11a            1   0.087   0.028     4.4     417
11a            2   0.118   0.038     6.2     405
11a            3   0.124   0.045     6.4     447
11a            4   0.158   0.053     8.4     417
11a            5   0.173   0.061     9.1     420
11a            6   0.137   0.047     7.3     403
11a            7   0.189   0.060    10.3     403
11a            8   0.218   0.081    10.8     460
11a            9   0.235   0.087    11.5     450
11a           10   0.223   0.080    11.8     405
11b            1   0.103   0.027     5.4     367
11b            2   0.131   0.039     6.5     387
11b            3   0.142   0.044     7.4     395
11b            4   0.153   0.052     7.7     405
11b            5   0.161   0.053     8.9     380
11b            6   0.195   0.067    10.0     437
11b            7   0.191   0.067    10.0     410
11b            8   0.205   0.073    10.9     463
11b            9   0.231   0.084    12.1     473
11b           10   0.279   0.104    13.7     457
11c            1   0.145   0.042     6.7     457
11c            2   0.166   0.052     7.8     400
11c            3   0.170   0.053     8.9     410
11c            4   0.192   0.064     9.1     420
11c            5   0.202   0.070    10.4     437
11c            6   0.161   0.052     8.7     360
11c            7   0.180   0.059    10.2     407
11c            8   0.206   0.070    10.2     427
11c            9   0.212   0.076    10.9     440
11c           10   0.210   0.074    11.6     457
12a            1   0.248   0.094    13.2     230
12a            2   0.285   0.103    15.1     260
12a            3   0.438   0.166    24.5     273
12a            4   0.413   0.156    24.7     233
12a            5   0.376   0.144    23.1     243
12a            6   0.389   0.141    23.3     273
12a            7   0.391   0.148    24.2     245
12a            8   0.372   0.138    23.0     250
12a            9   0.404   0.152    24.6     273
12a           10   0.359   0.137    23.2     287
12b            1   0.137   0.046     7.5     260
12b            2   0.152   0.050     8.2     260
12b            3   0.350   0.126    21.1     223
12b            4   0.369   0.132    22.3     247
12b            5   0.370   0.133    23.6     223
12b            6   0.338   0.121    22.1     178
12b            7   0.343   0.121    23.2     197
12b            8   0.322   0.109    21.8     243
12b            9   0.282   0.101    19.1     217
12b           10   0.321   0.116    20.4     217
12c            1   0.284   0.123    15.5     247
12c            2   0.290   0.124    15.8     250
12c            3   0.296   0.126    16.0     242
12c            4   0.227   0.096    13.3     212
12c            5   0.253   0.107    14.1     197
12c            6   0.176   0.075    10.9     183
12c            7   0.236   0.100    13.4     213
12c            8   0.257   0.108    15.2     240
12c            9   0.230   0.095    14.0     203
12c           10   0.320   0.133    18.4     233
13a            1   0.124   0.052     4.7     
13a            2   0.120   0.051     4.5     
13a            3   0.270   0.114    10.1     
13a            4   0.263   0.113    10.1     
13a            5   0.303   0.132    11.8     
13a            6   0.338   0.147    12.3     
13a            7   0.244   0.106     9.8     
13a            8   0.285   0.121    11.4     
13a            9   0.267   0.117    11.1     
13a           10   0.239   0.103     9.9     
13b            1   0.191   0.083     6.4     
13b            2   0.192   0.083     6.6     
13b            3   0.136   0.058     4.7     
13b            4   0.119   0.051     4.2     
13b            5   0.303   0.130    10.2     
13b            6   0.283   0.119    10.2     
13b            7   0.330   0.141    11.9     
13b            8   0.313   0.133    11.3     
13b            9   0.308   0.133    11.6     
13b           10   0.297   0.125    11.6     
13c            1   0.161   0.069     5.2     
13c            2   0.129   0.056     4.6     
13c            3   0.247   0.108     8.5     
13c            4   0.224   0.097     7.5     
13c            5   0.324   0.142    11.7     
13c            6   0.310   0.135    11.3     
13c            7   0.277   0.121    10.8     
13c            8   0.299   0.128    11.5     
13c            9   0.222   0.091     9.2     
13c           10   0.256   0.107     9.9     
14a            1   0.905   0.403    60.0     
14a            2   0.312   0.140    20.5     
14a            3   0.362   0.159    25.4     
14a            4   0.507   0.221    37.7     
14a            5   0.526   0.239    37.6     
14a            6   0.639   0.266    50.3     
14a            7   1.071   0.504   100.5     
14a            8   1.666   0.737   165.6     
14a            9   0.124   0.059    11.4     
14a           10   0.166   0.068    16.4     
14b            1   0.221   0.098    24.1     
14b            2   0.176   0.078    21.3     
14b            3   0.166   0.072    20.2     
14b            4   0.051   0.022     5.5     
14b            5   0.167   0.074    18.1     
14b            6   0.494   0.221    49.7     
14b            7   0.767   0.342    70.1     
14b            8   0.692   0.312    65.5     
14b            9   1.295   0.600   118.3     
14b           10   0.212   0.094    24.3     
14c            1   0.219   0.090    28.1     
14c            2   0.547   0.224    77.3     
14c            3   0.786   0.327    86.4     
14c            4   0.140   0.058    16.2     
14c            5   0.190   0.081    21.5     
14c            6   0.526   0.223    50.6     
14c            7   0.692   0.311    68.3     
14c            8   0.543   0.244    53.1     
14c            9   1.054   0.473   121.9     
14c           10   1.311   0.603   120.9     
15a            1   0.046   0.009     2.4     163
15a            2   0.043   0.008     2.4     152
15a            3   0.112   0.023     5.2     210
15a            4   0.098   0.020     4.8     187
15a            5   0.191   0.045     7.2     257
15a            6   0.212   0.052     9.4     297
15a            7   0.089   0.021     3.1     287
15a            8   0.205   0.049     7.5     260
15a            9   0.205   0.052     8.7     243
15a           10   0.232   0.056    10.0     233
15b            1   0.064   0.016     3.0     212
15b            2   0.057   0.013     2.6     203
15b            3   0.128   0.030     6.0     213
15b            4   0.142   0.034     6.7     212
15b            5   0.142   0.035     7.4     180
15b            6   0.128   0.030     6.7     180
15b            7   0.130   0.031     7.6     165
15b            8   0.145   0.034     8.1     165
15b            9   0.114   0.025     7.4     142
15b           10   0.139   0.032     8.2     155
15c            1   0.063   0.012     3.1     177
15c            2   0.060   0.011     3.0     170
15c            3   0.200   0.047     8.3     238
15c            4   0.212   0.047     8.6     242
15c            5   0.239   0.057    10.1     235
15c            6   0.236   0.055    10.2     240
15c            7   0.453   0.107    18.4     250
15c            8   0.409   0.102    17.2     235
15c            9   0.120   0.031     5.8     190
15c           10   0.125   0.033     5.9     218

Extra Data for Species 2 - use to show the different slopes for 'tree' and 'ground' leaves

Data for 2a, 2b, 2c collected by M. Cochrane (see above) are all for tree leaves.
2d & 2e were collected by MLR on 24 August 2001 (see Analysis Book, p. 56)
2d are 'tree' leaves
2e are 'ground' leaves

   ID   Leaf No.  Mass  Dry Mass  Area     z
                  (g)     (g)    (cm2)    (um)
2d             1   1.547   0.644    49.9
2d             2   0.972   0.407    28.6
2d             3   0.253   0.105     6.6
2d             4   1.481   0.597    48.1
2d             5   0.884   0.352    30.2
2e             6   0.226   0.069    12.7
2e             7   0.433   0.139    19.4
2e             8   0.814   0.261    39.0
2e             9   0.815   0.275    38.6
2e            10   0.977   0.354    55.3

Data from FECOL Paper; use to show robust nature of relations
FECOL_ID is the label in the original paper:
(Roderick et al. 1999, Functional Ecology 13, 696-710)
Note: There are four leaf measurements for each of 7 species.

   ID   Leaf No.  Mass  Dry Mass  Area     z    FECOL_ID
                  (g)     (g)    (cm2)    (um)
2                  1.517   0.560    45.8     4009A
2                  1.133   0.413    32.1     4089B
2                  0.616   0.178    32.7     25310A
2                  0.427   0.127    22.2     27710B
7                  0.891   0.236    37.1        25A
7                  0.707   0.175    30.0        25B
7                  0.559   0.130    26.8        26A
7                  0.525   0.111    26.3        26B
8                  0.555   0.232    13.3     42547A
8                  1.070   0.409    23.1     43847B
8                  1.278   0.462    33.6     37348A
8                  1.315   0.451    33.1     39748B
9                  0.263   0.130     7.1     37013A
9                  0.225   0.112     6.0     35513B
9                  0.301   0.146     9.3     36014A
9                  0.329   0.161    10.1     35314B
10                 0.031   0.007     2.3     18227A
10                 0.043   0.008     2.1     21027B
10                 0.041   0.008     2.7     17228A
10                 0.041   0.007     2.3     18028B
11                 0.286   0.117    11.4     26721A
11                 0.212   0.078     9.4     20821B
11                 0.177   0.040    11.9     13522A
11                 0.135   0.032     9.5     13222B
12                 0.172   0.060    12.0     2233A
12                 0.167   0.054    11.6     1783B
12                 0.220   0.078    17.1     2274A
12                 0.346   0.116    23.1     2024B
