ID,Ref,AusTraits_key,Long,Lat,leaf_area_m2,dry_mass_g,LMA_g/m2,N_per_area_g/m2,N_per_dry_mass_g/g,thickness_m,water_per_leaf_area_g/m2,liquid_content_%,taxonomy,Species,Country,Common name,Comments,site_name,soil type,lat/lon source,veg_stratum,MAP (mm),elevation (m),description,doi
1,1,Mooney_1978,150.2,-35.7,0.00274,0.332,121,1.4,0.0115,,,,D,Eucalyptus maculata,Australia,,Batemans Bay,Batemans Bay,,author,,900,,tall forest,10.1007/BF00344575
2,1,Mooney_1978,150.2,-35.7,0.00285,0.366,128,1.5,0.0116,,,,D,Eucalyptus pilularis,Australia,,Batemans Bay,Batemans Bay,,author,,900,,tall forest,10.1007/BF00344575
3,1,Mooney_1978,149.2,-35.3,0.00192,0.344,180,3,0.0168,,,,D,Eucalyptus blakelyi,Australia,,Canberra,Canberra,,author,,590,,woodland,10.1007/BF00344575
4,1,Mooney_1978,149.2,-35.3,0.00092,0.164,178,3,0.017,,,,D,Eucalyptus melliodora,Australia,,Canberra,Canberra,,author,,590,,woodland,10.1007/BF00344575
5,1,Mooney_1978,146.1,-35.2,0.00075,0.23,307,4,0.0129,,,,D,Eucalyptus gracilis,Australia,,Rankin Spring (near Griffith),Rankin Spring,,author,,400,,mallee,10.1007/BF00344575
6,1,Mooney_1978,146.1,-35.2,0.00123,0.358,291,3.7,0.0127,,,,D,Eucalyptus socialis,Australia,,Rankin Spring (near Griffith),Rankin Spring,,author,,400,,mallee,10.1007/BF00344575
7,2,Landsberg_1995,143,-33.7,0.0007,,341,3.9,0.0116,,274,44.5,D,Eucalyptus spp. (various),Australia,,"Lake Mungo, Rich""",Lake Mungo,rich,author,,,,,10.1111/j.1442-9993.1995.tb00542.x
8,2,Landsberg_1995,142,-35.5,0.00128,,249,2,0.0082,,214,47.8,D,Eucalyptus spp. (various),Australia,,"Wyperfeld, Rich""",Wyperfield,rich,author,,,,,10.1111/j.1442-9993.1995.tb00542.x
9,2,Landsberg_1995,147.5,-34.4,0.00298,,281,3.1,0.0109,,225,44.9,D,Eucalyptus spp. (various),Australia,,"Ingalba, Rich""",Ingalba,rich,author,,,,,10.1111/j.1442-9993.1995.tb00542.x
10,2,Landsberg_1995,149.1,-34.8,0.00228,,188,2,0.0104,,153,44.9,D,Eucalyptus spp. (various),Australia,,"Mundoonen, Rich""",Mundoonen,rich,author,,,,,10.1111/j.1442-9993.1995.tb00542.x
