ID,species,Leaf No.,leaf_fresh_mass_g,leaf_dry_mass_g,leaf_area_cm2,leaf_thickness_um,leaf_location,status
1a,Eucalyptus ficifolia F. Muell.,1,0.146,0.071,4.7,343,tree,Australian_species
1a,Eucalyptus ficifolia F. Muell.,2,0.391,0.188,12.1,343,tree,Australian_species
1a,Eucalyptus ficifolia F. Muell.,3,1.940,1.020,59.1,337,tree,Australian_species
1a,Eucalyptus ficifolia F. Muell.,4,0.532,0.256,15.6,370,tree,Australian_species
1a,Eucalyptus ficifolia F. Muell.,5,0.814,0.435,27.7,337,tree,Australian_species
1a,Eucalyptus ficifolia F. Muell.,6,0.531,0.256,15.1,373,tree,Australian_species
1a,Eucalyptus ficifolia F. Muell.,7,0.427,0.215,15.0,317,tree,Australian_species
1a,Eucalyptus ficifolia F. Muell.,8,2.000,1.000,67.3,340,tree,Australian_species
1a,Eucalyptus ficifolia F. Muell.,9,1.265,0.613,38.4,393,tree,Australian_species
1a,Eucalyptus ficifolia F. Muell.,10,1.648,0.863,52.2,370,tree,Australian_species
1b,Eucalyptus ficifolia F. Muell.,1,1.391,0.427,52.0,270,tree,Australian_species
1b,Eucalyptus ficifolia F. Muell.,2,1.052,0.424,34.8,308,tree,Australian_species
1b,Eucalyptus ficifolia F. Muell.,3,1.093,0.553,32.3,350,tree,Australian_species
1b,Eucalyptus ficifolia F. Muell.,4,0.460,0.162,15.0,353,tree,Australian_species
1b,Eucalyptus ficifolia F. Muell.,6,0.459,0.173,16.5,272,tree,Australian_species
1b,Eucalyptus ficifolia F. Muell.,7,1.013,0.488,32.9,403,tree,Australian_species
1b,Eucalyptus ficifolia F. Muell.,8,0.615,0.302,20.1,297,tree,Australian_species
1b,Eucalyptus ficifolia F. Muell.,9,1.488,0.705,44.4,323,tree,Australian_species
1b,Eucalyptus ficifolia F. Muell.,10,0.725,0.339,21.5,350,tree,Australian_species
1c,Eucalyptus ficifolia F. Muell.,1,1.281,0.360,44.7,277,tree,Australian_species
1c,Eucalyptus ficifolia F. Muell.,2,0.880,0.269,31.2,290,tree,Australian_species
1c,Eucalyptus ficifolia F. Muell.,3,0.965,0.252,32.9,222,tree,Australian_species
1c,Eucalyptus ficifolia F. Muell.,4,0.778,0.263,24.0,280,tree,Australian_species
1c,Eucalyptus ficifolia F. Muell.,5,0.227,0.080,7.3,330,tree,Australian_species
1c,Eucalyptus ficifolia F. Muell.,6,0.798,0.298,27.3,303,tree,Australian_species
1c,Eucalyptus ficifolia F. Muell.,7,0.846,0.324,28.6,303,tree,Australian_species
1c,Eucalyptus ficifolia F. Muell.,8,1.436,0.473,54.3,275,tree,Australian_species
1c,Eucalyptus ficifolia F. Muell.,9,0.589,0.213,19.5,325,tree,Australian_species
1c,Eucalyptus ficifolia F. Muell.,10,0.806,0.249,28.6,277,tree,Australian_species
2a,Hedera Helix L.,1,0.670,0.191,40.1,203,tree,non-native
2a,Hedera Helix L.,2,0.876,0.238,46.9,233,tree,non-native
2a,Hedera Helix L.,3,0.512,0.145,28.9,250,tree,non-native
2a,Hedera Helix L.,4,1.184,0.318,61.9,213,tree,non-native
2a,Hedera Helix L.,5,1.179,0.340,60.8,260,tree,non-native
2a,Hedera Helix L.,6,1.085,0.288,59.7,237,tree,non-native
2a,Hedera Helix L.,7,0.739,0.214,40.3,240,tree,non-native
2a,Hedera Helix L.,8,0.377,0.111,20.2,267,tree,non-native
2a,Hedera Helix L.,9,0.777,0.214,41.1,250,tree,non-native
2a,Hedera Helix L.,10,0.236,0.065,11.4,307,tree,non-native
2b,Hedera Helix L.,1,0.895,0.241,54.3,208,tree,non-native
2b,Hedera Helix L.,2,0.970,0.271,58.4,200,tree,non-native
2b,Hedera Helix L.,3,0.575,0.155,36.8,222,tree,non-native
2b,Hedera Helix L.,4,0.447,0.121,29.0,192,tree,non-native
2b,Hedera Helix L.,5,0.358,0.094,23.9,177,tree,non-native
2b,Hedera Helix L.,6,0.259,0.069,17.1,167,tree,non-native
2b,Hedera Helix L.,7,0.155,0.050,7.9,293,tree,non-native
2b,Hedera Helix L.,8,0.186,0.062,10.6,213,tree,non-native
2b,Hedera Helix L.,9,0.577,0.155,35.5,217,tree,non-native
2b,Hedera Helix L.,10,0.176,0.040,10.1,182,tree,non-native
