site_name_complete,AusTraits_key,longitude (deg),latitude (deg),site_name,soil type,lat/lon source,veg_stratum,MAP (mm),elevation (m),description
Mooney_1978 Batemans Bay,Mooney_1978,150.2,-35.7,Batemans Bay,NA,author,NA,900,NA,tall forest
Mooney_1978 Canberra,Mooney_1978,149.2,-35.3,Canberra,NA,author,NA,590,NA,woodland
Mooney_1978 Rankin Spring,Mooney_1978,146.1,-35.2,Rankin Spring,NA,author,NA,400,NA,mallee
Landsberg_1995 Lake Mungo,Landsberg_1995,143,-33.7,Lake Mungo,rich,author,NA,NA,NA,NA
Landsberg_1995 Wyperfield,Landsberg_1995,142,-35.5,Wyperfield,rich,author,NA,NA,NA,NA
Landsberg_1995 Ingalba,Landsberg_1995,147.5,-34.4,Ingalba,rich,author,NA,NA,NA,NA
Landsberg_1995 Mundoonen,Landsberg_1995,149.1,-34.8,Mundoonen,rich,author,NA,NA,NA,NA
Landsberg_1995 Brisbane Ranges,Landsberg_1995,144.2,-37.9,Brisbane Ranges,rich,author,NA,NA,NA,NA
Landsberg_1995 Stanley Plateau,Landsberg_1995,146.8,-36.5,Stanley Plateau,rich,author,NA,NA,NA,NA
Landsberg_1995 Mt Buffalo,Landsberg_1995,146.8,-36.7,Mt Buffalo,rich,author,NA,NA,NA,NA
Specht_1990 Mt Lofty,Specht_1990,138.7,-35,Mt Lofty,NA,author,NA,NA,NA,NA
Specht_1990 Green Hill,Specht_1990,138.6,-35,Green Hill,NA,author,NA,NA,NA,NA
Specht_1990 West Wyalong,Specht_1990,147.2,-33.9,West Wyalong,NA,author,NA,NA,NA,NA
Specht_1990 Blanchedown-Truro,Specht_1990,139.3,-34.4,Blanchedown-Truro,NA,author,NA,NA,NA,NA
Specht_1990 Mildura,Specht_1990,141.2,-34.3,Mildura,NA,author,NA,NA,NA,NA
Specht_1990 Ki Ki,Specht_1990,139.8,-35.6,Ki Ki,NA,author,NA,NA,NA,NA
Specht_1990 Dark Island Soak,Specht_1990,140.5,-36.1,Dark Island Soak,NA,author,NA,NA,NA,NA
Specht_1990 Goolgowi,Specht_1990,145.7,-34,Goolgowi,NA,author,NA,NA,NA,NA
Specht_1990 Waikerie,Specht_1990,140,-34.2,Waikerie,NA,author,NA,NA,NA,NA
Koerner_1985 Waste Point,Koerner_1985,148.59,-36.34,Waste Point,NA,AusTraits,NA,NA,940,"dry, open, sclerophyll woodland"
Koerner_1985 Sawpit Creek,Koerner_1985,148.56,-36.35,Sawpit Creek,NA,AusTraits,NA,NA,1215,sclerophyll fores
Koerner_1985 Daner's Gap,Koerner_1985,148.47,-36.37,Daner's Gap,NA,AusTraits,NA,NA,1645,subalpine shrub and tussock grassland
Koerner_1985 Mount Perisher,Koerner_1985,148.39,-36.41,Mount Perisher,NA,AusTraits,NA,NA,2040,alpine boundary
Schulze_1994 NA,Schulze_1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
Specht_1988 Dark Island Soak,Specht_1988,140.5,-36.1,Dark Island Soak,NA,author,mid-stratum,NA,NA,NA
Specht_1988 Beerwah,Specht_1988,153,-26.9,Beerwah,NA,author,emergent stratum,NA,NA,NA
Specht_1988 West Wyalong,Specht_1988,147.2,-33.9,West Wyalong,NA,author,upper statum,NA,NA,mallee
"Landsberg_1990 Hall, ACT",Landsberg_1990,149.2,-35.3,"Hall, ACT",NA,author,NA,NA,NA,pastoral property
