species,tissue,total_annual_rainfall_mm,Delta13C_permil,delta13C_permil,total_annual_rainfall_mm_digitized,delta13C_permil_digitized
Eucalyptus chlorophylla,leaf,843,19.9,-27.7,842.9157743422794,19.923621917111163
Eucalyptus chlorophylla,wood,840,19.5,-27.3,839.9330628074528,19.53440574595674
Eucalyptus chlorophylla,leaf,775,21,-28.8,774.5145889981607,20.96281371005508
Eucalyptus chlorophylla,wood,774,19.2,-27,774.2521803587331,19.18658662354889
Eucalyptus chlorophylla,leaf,741,20.9,-28.7,741.3461369745164,20.924143831749582
Eucalyptus chlorophylla,wood,753,20,-27.8,752.9271049279196,19.995367477945592
Eucalyptus chlorophylla,leaf,700,21.1,-28.9,700.3229196773403,21.145673984501506
Eucalyptus chlorophylla,wood,702,19.6,-27.4,701.5125055,19.551607897969674
Eucalyptus confertiflora,leaf,1201,20.1,-27.9,1200.6915423347605,20.135057283794435
Eucalyptus confertiflora,wood,1198,19.3,-27.1,1197.977673964514,19.31499505914812
Eucalyptus confertiflora,leaf,1083,19.9,-27.7,1083.2791421581564,19.856946692694567
Eucalyptus confertiflora,wood,1085,18.5,-26.3,1085.3986805159216,18.53477108461957
Eucalyptus confertiflora,leaf,979,20.3,-28.1,979.3071929867046,20.336054069110798
Eucalyptus confertiflora,wood,982,19.5,-27.3,981.6630312289503,19.502013511089835
Eucalyptus confertiflora,leaf,906,19.3,-27.1,905.7248410799665,19.252383774240823
Eucalyptus confertiflora,wood,906,19.3,-27.1,905.7248410799665,19.252383774240823
Eucalyptus confertiflora,leaf,840,20.1,-27.9,839.7971733,20.051478498825155
Eucalyptus confertiflora,wood,838,18.7,-26.5,838.1287529134029,18.743921897737817
Eucalyptus confertiflora,wood,785,19,-26.8,785.3622726486351,19.040379051391916
Eucalyptus confertiflora,leaf,760,20.6,-28.4,760.4218939320947,20.634549729715367
Eucalyptus confertiflora,wood,759,19.2,-27,759.4122489711323,19.182200892088918
Eucalyptus confertiflora,leaf,677,19.4,-27.2,676.7860560310922,19.38814833714214
Eucalyptus confertiflora,wood,678,18.3,-26.1,677.6739707485344,18.28176325053835
Eucalyptus confertiflora,leaf,666,19.9,-27.7,665.9019401398659,19.865624907997997
Eucalyptus confertiflora,wood,668,18.6,-26.4,667.6634483696303,18.552011029114976
Eucalyptus confertiflora,leaf,630,20.6,-28.4,629.7623790194584,20.553591882253837
Eucalyptus confertiflora,wood,633,19.1,-26.9,632.8844017,19.08912848903602
Eucalyptus coolabah,leaf,721,19,-26.8,720.7301743,19.033843384338432
Eucalyptus coolabah,leaf,674,20.6,-28.4,674.0339946439307,20.645454545454545
Eucalyptus coolabah,leaf,656,18.6,-26.4,656.2933814286495,18.610531053105312
Eucalyptus coolabah,leaf,630,20.4,-28.2,629.9611958,20.407380738073808
Eucalyptus coolabah,leaf,510,18.6,-26.4,509.53708258184383,18.582988298829882
Eucalyptus coolabah,leaf,437,19.2,-27,436.5305788,19.22097209720972
Eucalyptus coolabah,leaf,389,20.5,-28.3,389.0145925561567,20.536273627362736
Eucalyptus coolabah,wood,721,18.5,-26.3,721.1674044925397,18.48730873087309
Eucalyptus coolabah,wood,669,19.3,-27.1,669.2791167951029,19.343564356435643
Eucalyptus coolabah,wood,671,18.9,-26.7,670.7110455,18.91026102610261
Eucalyptus coolabah,wood,656,18.6,-26.4,656.2933814286495,18.610531053105312
Eucalyptus coolabah,wood,632,18.1,-25.9,632.1036235448433,18.13924392439244
Eucalyptus coolabah,wood,512,18.2,-26,512.1167404492539,18.231413141314132
Eucalyptus coolabah,wood,434,18.8,-26.6,433.98371317702345,18.773087308730872
Eucalyptus coolabah,wood,392,18.5,-26.3,392.37033393452475,18.509180918091808
Eucalyptus coolabah,wood,391,17.6,-25.4,390.6869978685029,17.563996399639965
Eucalyptus dichromophloia,leaf,1218,20.7,-28.5,1217.6587452039005,20.67792733350928
Eucalyptus dichromophloia,leaf,1071,21.2,-29,1071.2764828098698,21.168206210961557
Eucalyptus dichromophloia,leaf,1016,20,-27.8,1016.0739471329562,20.013284067915897
Eucalyptus dichromophloia,leaf,903,20.6,-28.4,902.9724442287569,20.629453681710213
Eucalyptus dichromophloia,leaf,836,21.4,-29.2,836.432157,21.39368346969297
Eucalyptus dichromophloia,leaf,784,21.2,-29,783.9154369947981,21.230755696313892
Eucalyptus dichromophloia,leaf,758,20.2,-28,757.7048484205098,20.163543591097035
Eucalyptus dichromophloia,leaf,707,20.3,-28.1,707.2051441483795,20.25802762382335
Eucalyptus dichromophloia,leaf,679,19.3,-27.1,678.9456922,19.34485792205507
Eucalyptus dichromophloia,leaf,620,20.8,-28.6,619.8471314396639,20.837600070379168
Eucalyptus dichromophloia,leaf,514,20.7,-28.5,514.4315200412502,20.66429136975455
Eucalyptus dichromophloia,leaf,475,19.7,-27.5,474.9192435432749,19.70000879739597
Eucalyptus dichromophloia,leaf,392,19.9,-27.7,392.46576381200794,19.878332013723938
Eucalyptus dichromophloia,leaf,376,19.7,-27.5,375.88377136444274,19.741884402216943
Eucalyptus dichromophloia,leaf,376,19.7,-27.5,375.88377136444274,19.741884402216943
Eucalyptus dichromophloia,wood,1218,19.2,-27,1217.552586481445,19.227060790006156
Eucalyptus dichromophloia,wood,1072,19.6,-27.4,1072.284990673198,19.6071083
Eucalyptus dichromophloia,wood,1017,19.5,-27.3,1017.358467674669,19.462655054103983
Eucalyptus dichromophloia,wood,903,18.7,-26.5,903.1210664401947,18.734758511480603
Eucalyptus dichromophloia,wood,837,18.6,-26.4,836.5383157160405,18.64828010908771
Eucalyptus dichromophloia,wood,786,19.1,-26.9,786.4738622059782,19.058326735286357
Eucalyptus dichromophloia,wood,760,18.6,-26.4,759.9978768255509,18.597343186416822
Eucalyptus dichromophloia,wood,706,18.7,-26.5,705.6658426727732,18.74285211577373
Eucalyptus dichromophloia,wood,674,17.7,-25.5,673.7651465748646,17.712589073634206
Eucalyptus dichromophloia,wood,619,18.4,-26.2,618.9447822987912,18.366851411982054
Eucalyptus dichromophloia,wood,517,17.9,-25.7,517.0854881026403,17.89135215976071
Eucalyptus dichromophloia,wood,472,17.5,-25.3,471.5540120414321,17.508577461071525
