Sampling period,Site,Soil type,species,Tree #,pre-dawn WP (Mpa),midday WP (Mpa),"gs (stomatal conductance, cm.s-1) "
Jan 2003,1,silty loam,C.ova,1,-7.4,,0.01
Jan 2003,1,silty loam,C.ova,2,-6.45,,0.0075
Jan 2003,1,silty loam,C.ova,3,-7.35,,0.0095
Jan 2003,1,silty loam,C.ova,4,-7.3,,0.019333333
Jan 2003,2,loamy sand,C.ova,1,-7.25,-8.15,0
Jan 2003,2,loamy sand,C.ova,2,-7,-8.2,0.0525
Jan 2003,2,loamy sand,C.ova,3,-6.9,-7.9,0.035
Jan 2003,2,loamy sand,C.ova,4,-6.45,-8.35,0.027
Jan 2003,4,silty loam,C.ova,1,-6.75,-8.25,0.022
Jan 2003,4,silty loam,C.ova,2,-6.7,-8.15,0.0555
Jan 2003,4,silty loam,C.ova,3,-5.1,-7.65,0.0275
Jan 2003,4,silty loam,C.ova,4,-5.05,,0.019
Mar 2003,1,silty loam,C.ova,1,-2.55,-3.95,0.3
Mar 2003,1,silty loam,C.ova,2,-2.6,-4.35,0.132666667
Mar 2003,1,silty loam,C.ova,3,-2.3,-3.95,0.16
Mar 2003,1,silty loam,C.ova,4,-2.85,-3.75,0.171
Mar 2003,2,loamy sand,C.ova,1,-1.45,-2.8,1.103333333
Mar 2003,2,loamy sand,C.ova,2,-1.6,-4.55,0.656666667
Mar 2003,2,loamy sand,C.ova,3,-1.75,-3.2,0.43
Mar 2003,2,loamy sand,C.ova,4,-1.5,-2.8,0.463333333
Mar 2003,3,loamy sand,C.ova,1,-2.65,-4.75,0.108333333
Mar 2003,3,loamy sand,C.ova,2,-3,-4.6,0.088333333
Mar 2003,3,loamy sand,C.ova,3,-3.25,-3.85,0.063333333
Mar 2003,3,loamy sand,C.ova,4,-2.8,-4.7,0.075333333
Aug 2003,1,silty loam,C.ova,1,-4.15,-4.95,0.33
Aug 2003,1,silty loam,C.ova,2,-4.05,-4.8,0.23
Aug 2003,1,silty loam,C.ova,3,-5.45,-5.7,0.125
Aug 2003,1,silty loam,C.ova,4,-4.85,-5.15,0.0625
Aug 2003,2,loamy sand,C.ova,1,-3.3,-3.7,0.2
Aug 2003,2,loamy sand,C.ova,2,-3.1,-4.05,0.32
Aug 2003,2,loamy sand,C.ova,3,-3.45,-4.05,0.32
Aug 2003,2,loamy sand,C.ova,4,-3.4,-4.4,0.216666667
Aug 2003,3,loamy sand,C.ova,1,-3.9,-4.4,0.126666667
Aug 2003,3,loamy sand,C.ova,2,-3.7,-4.15,0.060666667
Aug 2003,3,loamy sand,C.ova,3,-3.85,-4.35,0.068666667
Aug 2003,3,loamy sand,C.ova,4,-4.2,-4.6,0.130333333
Aug 2003,4,silty loam,C.ova,1,-4.3,-4.85,0.083333333
Aug 2003,4,silty loam,C.ova,2,-4.2,-5.3,0.075
Aug 2003,4,silty loam,C.ova,3,-3.9,-4.65,0.064333333
Aug 2003,4,silty loam,C.ova,4,-4.1,-4.6,0.106
Jan 2003,1,silty loam,A.con,1,-3.15,-3.8,0.011
Jan 2003,1,silty loam,A.con,2,-5,-6.2,0.008
Jan 2003,1,silty loam,A.con,3,-2.1,-3.1,0
Jan 2003,1,silty loam,A.con,4,-2.75,-3.5,0.0225
Jan 2003,2,loamy sand,A.con,1,-2.5,-3.3,0
Jan 2003,2,loamy sand,A.con,2,-2.25,-3.2,0.0165
Jan 2003,2,loamy sand,A.con,3,-4.15,-5.3,0.017
Jan 2003,2,loamy sand,A.con,4,-3,-3.5,0.0035
Jan 2003,4,silty loam,A.con,1,-4.05,-7.25,0.014
Jan 2003,4,silty loam,A.con,2,-2.7,-3.3,0
Jan 2003,4,silty loam,A.con,3,-4.25,-5.65,0.008
Jan 2003,4,silty loam,A.con,4,-2.5,-3.25,0.01
Mar 2003,1,silty loam,A.con,1,-1.45,-2.25,0.49
Mar 2003,1,silty loam,A.con,2,-1.6,-2.55,0.133333333
Mar 2003,1,silty loam,A.con,3,-0.75,-2.6,0.726666667
Mar 2003,1,silty loam,A.con,4,-1.4,-2.4,0.213333333
