species,Site,Soil type,Tree #,leaf area (cm2),SLA (mm2 mg-1),leaf angle to horizontal (deg)
A.con,1,silty loam,1,9.2,9.49449362,45
A.con,1,silty loam,3,9.533333333,11.10645,55.83333333
A.con,1,silty loam,5,8.833333333,9.171303705,66.66666667
A.con,2,loamy sand,1,24.68333333,10.98902493,54.16666667
A.con,2,loamy sand,2,31.76666667,12.91923127,63.33333333
A.con,2,loamy sand,3,10.96666667,18.67660069,55
A.con,2,loamy sand,4,11.98333333,11.3566561,55
A.con,3,loamy sand,1,20.46666667,12.27695527,74.375
A.con,3,loamy sand,2,19.6,14.44126035,68.88888889
A.con,3,loamy sand,3,24.7,11.59283694,61.66666667
A.con,3,loamy sand,4,13.8,15.19193282,57.5
A.con,4,silty loam,1,10.58333333,16.18887795,85
A.con,4,silty loam,2,10.16666667,11.9754739,78.33333333
A.con,4,silty loam,3,5,18.08711408,86.66666667
A.con,4,silty loam,4,7.1,9.724702859,74.16666667
E.aust,1,silty loam,1,7.4,5.630964291,39.16666667
E.aust,1,silty loam,2,9.5,3.980138596,50
E.aust,1,silty loam,3,11.6,4.696460818,34.16666667
E.aust,1,silty loam,4,10.76666667,4.803127018,31.66666667
E.aust,2,loamy sand,1,6.333333333,3.459225807,40
E.aust,2,loamy sand,2,5.9,4.729387272,31.66666667
E.aust,2,loamy sand,3,6.316666667,4.082945358,51.66666667
E.aust,3,loamy sand,1,5.333333333,4.467440371,42.77777778
E.aust,3,loamy sand,2,7.466666667,5.171288113,48.33333333
E.aust,3,loamy sand,3,5.766666667,5.05396397,42.77777778
E.aust,3,loamy sand,4,9.4,5.897487745,46.66666667
E.aust,4,silty loam,1,8.766666667,4.391621376,47.5
E.aust,4,silty loam,2,5.916666667,5.188205419,34.16666667
E.aust,4,silty loam,3,4.75,4.678442857,40
E.aust,4,silty loam,4,5.8,4.983345303,52.5
C.ova,1,silty loam,1,1.666666667,7.671867261,21.66666667
C.ova,1,silty loam,2,2.433333333,8.027541463,16.66666667
C.ova,1,silty loam,3,1.4,7.010935231,40
C.ova,1,silty loam,4,1.866666667,6.261559874,24.16666667
C.ova,2,loamy sand,1,1.966666667,5.622140527,35
C.ova,2,loamy sand,2,1.716666667,7.289400223,59.16666667
C.ova,2,loamy sand,3,1.833333333,8.847600009,30
C.ova,2,loamy sand,4,1.266666667,7.50147331,36.66666667
C.ova,3,loamy sand,1,1.033333333,6.943172201,43.33333333
C.ova,3,loamy sand,2,1.433333333,9.525380704,18.33333333
C.ova,3,loamy sand,3,0.8,7.723653013,23.88888889
C.ova,3,loamy sand,4,1.7,8.37107065,20
C.ova,4,silty loam,1,3.116666667,7.827535808,35
C.ova,4,silty loam,2,1.483333333,6.192823873,40
C.ova,4,silty loam,3,1.85,8.911353981,40.83333333
C.ova,4,silty loam,4,1.4,9.237114489,40
E.mem,1,silty loam,1,1.133333333,11.56262646,61.66666667
E.mem,1,silty loam,2,7.666666667,10.87000264,46.66666667
E.mem,1,silty loam,3,1.933333333,16.20102466,50.83333333
E.mem,1,silty loam,4,1.033333333,11.70648195,46.66666667
E.mem,2,loamy sand,1,1.9,11.45746684,46.66666667
E.mem,2,loamy sand,2,2.1,13.82866335,54.16666667
E.mem,2,loamy sand,4,3.166666667,14.45748575,55.83333333
E.mem,4,silty loam,1,5.133333333,12.94428991,86.66666667
E.mem,4,silty loam,2,4.966666667,11.95325794,65
E.mem,4,silty loam,3,3.166666667,11.3301164,47.5
