Species,Common name,Replicate,plant type,Photo,Cond,Area (mm2),species SLA,mass in chamber (g),Amass (photo per g),Aarea,Gmass,Garea,Photo_Rd
Acacia longifolia,Acacia longifolia,1,Native not co-occurring,10.2,0.212,600,9.486436357,0.063248197,161.2694181,10.2,3.351874179,0.212,
Acacia longifolia,Acacia longifolia,2,Native not co-occurring,5.89,0.62,600,9.486436357,0.063248197,93.12518357,5.89,9.802650902,0.62,
Acacia longifolia,Acacia longifolia,3,Native not co-occurring,5.1,0.597,600,9.486436357,0.063248197,80.63470903,5.1,9.439004175,0.597,
Acacia longifolia,Acacia longifolia,4,Native not co-occurring,12.6,0.285,600,9.486436357,0.063248197,199.2151635,12.6,4.506057269,0.285,
Acacia longifolia,Acacia longifolia,5,Native not co-occurring,10.7,0.282,600,9.486436357,0.063248197,169.1747817,10.7,4.458625088,0.282,
Acacia parramatensis,Acacia,1,Native co-occurring,11.3,0.167,600,,0.0789,143.2192649,11.3,2.116603295,0.167,
Acacia parramatensis,Acacia,2,Native co-occurring,12.2,0.232,600,,0.0789,154.626109,12.2,2.940430925,0.232,
Acacia parramatensis,Acacia,3,Native co-occurring,6.93,0.106,600,,0.0789,87.83269962,6.93,1.34347275,0.106,
Acacia parramatensis,Acacia,4,Native co-occurring,8.99,0.22,600,,0.0789,113.9416984,8.99,2.78833967,0.22,
Acacia parramatensis,Acacia,5,Native co-occurring,9.36,0.199,600,,0.0789,118.6311787,9.36,2.522179975,0.199,
Acacia suaveolens,Acacia suaveolens,1,Native not co-occurring,5.92,0.0567,600,5.833811025,0.102848721,57.56026878,5.92,0.551295142,0.0567,
Acacia suaveolens,Acacia suaveolens,2,Native not co-occurring,6.01,0.0963,418.16,,0.078,77.05128205,8.6234934,1.234615385,0.138176774,
Acacia suaveolens,Acacia suaveolens,3,Native not co-occurring,8.83,0.154,452.27,,0.0814,108.4766585,11.71424149,1.891891892,0.20430274,
Acacia suaveolens,Acacia suaveolens,4,Native not co-occurring,6.67,0.0829,487.53,,0.0963,69.26272066,8.208725617,0.860851506,0.102024491,
Acacia suaveolens,Acacia suaveolens,5,Native not co-occurring,5.58,0.0883,600,5.833811025,0.102848721,54.25444254,5.58,0.858542523,0.0883,
Acetosa sagitlata,turkey rhubarb,1,Exotic,15,0.792,600,56.76834591,0.01056927,1419.208648,15,74.93421661,0.792,
Acetosa sagitlata,turkey rhubarb,2,Exotic,10.6,1.63,600,56.76834591,0.01056927,1002.907444,10.6,154.2206731,1.63,
Acetosa sagitlata,turkey rhubarb,3,Exotic,13,0.624,600,56.76834591,0.01056927,1229.980828,13,59.03907975,0.624,
Acetosa sagitlata,turkey rhubarb,4,Exotic,11.8,0.469,600,56.76834591,0.01056927,1116.444136,11.8,44.37392372,0.469,
Acetosa sagitlata,turkey rhubarb,5,Exotic,17.6,0.498,600,56.76834591,0.01056927,1665.204813,17.6,47.11772711,0.498,
Banksia serrata,Banksia serrata,1,Native not co-occurring,12,0.26,600,4.103009401,0.146234128,82.06018802,12,1.777970741,0.26,
Banksia serrata,Banksia serrata,2,Native not co-occurring,12.5,0.214,600,4.103009401,0.146234128,85.47936253,12.5,1.463406686,0.214,
Banksia serrata,Banksia serrata,3,Native not co-occurring,8.44,0.18,600,4.103009401,0.146234128,57.71566558,8.44,1.23090282,0.18,
Banksia serrata,Banksia serrata,5,Native not co-occurring,10.2,0.225,600,4.103009401,0.146234128,69.75115982,10.2,1.538628525,0.225,
Banksia serrata,Banksia serrata,4,Native not co-occurring,9.28,0.233,600,4.103009401,0.146234128,63.45987874,9.28,1.593335317,0.233,
Banksia spinulosa,Banksia spinulosa,2,Native not co-occurring,10.1,0.203,280.23,,0.0708,142.6553672,21.62509367,2.867231638,0.434642972,
Banksia spinulosa,Banksia spinulosa,4,Native not co-occurring,4.35,0.0987,193.9,,0.0447,97.31543624,13.46054667,2.208053691,0.305415162,
Banksia spinulosa,Banksia spinulosa,5,Native not co-occurring,5.02,0.0959,187.98,,0.0372,134.9462366,16.02298117,2.577956989,0.306096393,
Banksia spinulosa,Banksia spinulosa,6,Native not co-occurring,7.42,0.118,260.39,,0.0541,137.1534196,17.09743078,2.181146026,0.271899843,
Banksia spinulosa,Banksia spinulosa,7,Native not co-occurring,6.42,0.166,305.13,,0.0671,95.6780924,12.62412742,2.473919523,0.326418248,
Cardiospermum grandiflorum,Balloon vine,1,Exotic,10.6,0.126,600,35.40563476,0.016946455,625.4995474,10.6,7.435183299,0.126,
Cardiospermum grandiflorum,Balloon vine,2,Exotic,12.5,0.24,600,35.40563476,0.016946455,737.6173908,12.5,14.1622539,0.24,
Cardiospermum grandiflorum,Balloon vine,3,Exotic,11.7,0.236,600,35.40563476,0.016946455,690.4098778,11.7,13.92621634,0.236,
Cardiospermum grandiflorum,Balloon vine,4,Exotic,14.7,0.249,600,35.40563476,0.016946455,867.4380516,14.7,14.69333842,0.249,
Cardiospermum grandiflorum,Balloon vine,5,Exotic,15.4,0.249,600,35.40563476,0.016946455,908.7446255,15.4,14.69333842,0.249,
Casuarina sp,Casuarina,1,Native co-occurring,6.83,0.0849,150.76,,0.0382,178.7958115,27.18227647,2.222513089,0.337888034,
Casuarina sp,Casuarina,2,Native co-occurring,7.6,0.0924,162.69,,0.0419,181.3842482,28.02876637,2.205250597,0.340770791,
Casuarina sp,Casuarina,3,Native co-occurring,3.5,0.054,149.82,,0.0312,112.1794872,14.01682018,1.730769231,0.216259511,
Casuarina sp,Casuarina,4,Native co-occurring,4.54,,212.16,,0.0524,86.64122137,12.83936652,0,0,
Casuarina sp,Casuarina,5,Native co-occurring,6.31,0.0694,238.84,,0.0511,123.4833659,15.85161614,1.358121331,0.174342656,
Commelina sp,Commelina,1,Native co-occurring,7.93,0.222,600,43.35937085,0.013837839,573.0663514,7.93,16.04296722,0.222,
Commelina sp,Commelina,2,Native co-occurring,10.4,0.265,600,43.35937085,0.013837839,751.5624281,10.4,19.15038879,0.265,
Commelina sp,Commelina,3,Native co-occurring,8.47,0.108,600,43.35937085,0.013837839,612.0897852,8.47,7.804686753,0.108,
Commelina sp,Commelina,4,Native co-occurring,12.4,0.329,600,43.35937085,0.013837839,896.0936643,12.4,23.77538835,0.329,
Commelina sp,Commelina,5,Native co-occurring,12.7,0.22,372.93,,0.0209,607.6555024,20.432789,10.52631579,0.353953825,
Dianella caerula,Dianella,1,Native co-occurring,4.89,0.0644,600,14.51440923,0.041338231,118.2924353,4.89,1.557879925,0.0644,
Dianella caerula,Dianella,2,Native co-occurring,7.37,0.146,600,14.51440923,0.041338231,178.2853268,7.37,3.53183958,0.146,
Dianella caerula,Dianella,3,Native co-occurring,8.66,0.174,600,14.51440923,0.041338231,209.4913066,8.66,4.209178678,0.174,
Dianella caerula,Dianella,4,Native co-occurring,5.24,0.0637,600,14.51440923,0.041338231,126.759174,5.24,1.540946447,0.0637,
Dianella caerula,Dianella,5,Native co-occurring,9.44,0.182,600,14.51440923,0.041338231,228.3600386,9.44,4.402704134,0.182,
Dodonaea spp,Dodonaea,1,Native not co-occurring,11.3,0.347,600,10.57415382,0.056742129,199.1465636,11.3,6.115385624,0.347,
Dodonaea spp,Dodonaea,2,Native not co-occurring,10.4,0.337,600,10.57415382,0.056742129,183.2853328,10.4,5.939149727,0.337,
Dodonaea spp,Dodonaea,3,Native not co-occurring,13,0.374,600,10.57415382,0.056742129,229.106666,13,6.591222546,0.374,
Dodonaea spp,Dodonaea,4,Native not co-occurring,10.3,0.259,600,10.57415382,0.056742129,181.5229739,10.3,4.564509731,0.259,
Dodonaea spp,Dodonaea,5,Native not co-occurring,11.4,0.297,600,10.57415382,0.056742129,200.9089225,11.4,5.234206139,0.297,
Ehrharta erecta,Ehrharta,1,Exotic,11.9,0.377,600,62.60803039,0.009583435,1241.725936,11.9,39.33871243,0.377,
Ehrharta erecta,Ehrharta,2,Exotic,17.7,0.766,600,62.60803039,0.009583435,1846.936896,17.7,79.92958546,0.766,
Ehrharta erecta,Ehrharta,3,Exotic,13.5,0.439,600,62.60803039,0.009583435,1408.680684,13.5,45.8082089,0.439,
Ehrharta erecta,Ehrharta,4,Exotic,15.1,0.419,600,62.60803039,0.009583435,1575.635431,15.1,43.72127455,0.419,
Ehrharta erecta,Ehrharta,5,Exotic,13.6,0.281,600,62.60803039,0.009583435,1419.115355,13.6,29.32142756,0.281,
Eucalyptus gummifera,Eucalyptus,1,Native not co-occurring,12.4,0.252,600,6.875648843,0.087264491,142.0967428,12.4,2.887772514,0.252,
Eucalyptus gummifera,Eucalyptus,2,Native not co-occurring,10.4,0.212,600,6.875648843,0.087264491,119.1779133,10.4,2.429395925,0.212,
Eucalyptus gummifera,Eucalyptus,3,Native not co-occurring,16.3,0.334,600,6.875648843,0.087264491,186.7884602,16.3,3.827444523,0.334,
Eucalyptus gummifera,Eucalyptus,4,Native not co-occurring,11,0.318,600,6.875648843,0.087264491,126.0535621,11,3.644093887,0.318,
Eucalyptus gummifera,Eucalyptus,5,Native not co-occurring,10.8,,600,6.875648843,0.087264491,123.7616792,10.8,0,0,
Grevillea buxifolia,grevillea,1,Native not co-occurring,2.02,0.0444,102.48,8.753390229,0.0098,206.122449,11.82669789,4.530612245,0.259953162,
Grevillea buxifolia,grevillea,2,Native not co-occurring,1.02,0.0412,139.98,8.753390229,0.0158,64.55696203,4.37205315,2.607594937,0.176596657,
Grevillea buxifolia,grevillea,3,Native not co-occurring,1.71,0.0296,195.55,8.753390229,0.024,71.25,5.246739964,1.233333333,0.090820762,
Imperata cylindrica,Bladey grass,1,Native co-occurring,6.55,0.0862,600,16.10539089,0.037254606,175.8171839,6.55,2.313807824,0.0862,
Imperata cylindrica,Bladey grass,2,Native co-occurring,11.2,0.0952,600,16.10539089,0.037254606,300.6339632,11.2,2.555388688,0.0952,
Imperata cylindrica,Bladey grass,3,Native co-occurring,8.02,0.0871,600,16.10539089,0.037254606,215.2753915,8.02,2.337965911,0.0871,
Imperata cylindrica,Bladey grass,4,Native co-occurring,9.95,0.13,600,16.10539089,0.037254606,267.0810656,9.95,3.489501359,0.13,
Imperata cylindrica,Bladey grass,5,Native co-occurring,15,0.135,600,16.10539089,0.037254606,402.6347722,15,3.62371295,0.135,
Lantana camara,Lantana,1,Exotic,12.9,0.252,600,20.88252177,0.028732162,448.9742182,12.9,8.770659145,0.252,
Lantana camara,Lantana,2,Exotic,10.7,0.16,600,20.88252177,0.028732162,372.4049716,10.7,5.568672473,0.16,
Lantana camara,Lantana,3,Exotic,12.1,0.191,600,20.88252177,0.028732162,421.1308558,12.1,6.647602765,0.191,
Lantana camara,Lantana,4,Exotic,13.3,0.48,600,20.88252177,0.028732162,462.8958993,13.3,16.70601742,0.48,
Lantana camara,Lantana,5,Exotic,13.9,0.47,600,20.88252177,0.028732162,483.7784211,13.9,16.35797539,0.47,
Ligustrum lucidum,large leaf privet,1,Exotic,,,600,13.67867229,0.043863906,0,0,0,0,
Ligustrum lucidum,large leaf privet,2,Exotic,,,600,13.67867229,0.043863906,0,0,0,0,
Ligustrum lucidum,large leaf privet,3,Exotic,,,600,13.67867229,0.043863906,0,0,0,0,
Ligustrum lucidum,large leaf privet,4,Exotic,,,600,13.67867229,0.043863906,0,0,0,0,
Ligustrum lucidum,large leaf privet,5,Exotic,,,600,13.67867229,0.043863906,0,0,0,0,
Lomandra longifolia,lomandra,1,Native co-occurring,7.76,0.164,600,4.199141274,0.142886357,54.30889382,7.76,1.147765282,0.164,
Lomandra longifolia,lomandra,2,Native co-occurring,9.53,0.257,600,4.199141274,0.142886357,66.69636057,9.53,1.798632179,0.257,
Lomandra longifolia,lomandra,3,Native co-occurring,6.51,0.154,600,4.199141274,0.142886357,45.56068283,6.51,1.077779594,0.154,
Lomandra longifolia,lomandra,4,Native co-occurring,10.5,0.227,600,4.199141274,0.142886357,73.4849723,10.5,1.588675115,0.227,
Lomandra longifolia,lomandra,5,Native co-occurring,10.1,0.243,600,4.199141274,0.142886357,70.68554479,10.1,1.700652216,0.243,
Nephrolepis cordifolia,fishbone fern,1,Exotic,4.11,0.0604,418.66,,0.0197,208.6294416,5.890221182,3.065989848,0.086561888,
Nephrolepis cordifolia,fishbone fern,2,Exotic,3.63,0.074,188.02,,0.0094,386.1702128,11.58387406,7.872340426,0.236145091,
Nephrolepis cordifolia,fishbone fern,3,Exotic,2.92,0.0654,510.77,,0.0217,134.562212,3.430115316,3.013824885,0.076825186,
Nephrolepis cordifolia,fishbone fern,4,Exotic,4.64,0.0877,462.03,,0.0155,299.3548387,6.025582754,5.658064516,0.113888709,
Nephrolepis cordifolia,fishbone fern,5,Exotic,6.17,0.091,600,27.19482793,0.022063019,279.6534805,6.17,4.124548903,0.091,
Oplismenus aemulus,Oplismenus,1,Native co-occurring,2.85,0.0451,175.66,,0.0044,647.7272727,9.73471479,10.25,0.154047592,
Oplismenus aemulus,Oplismenus,2,Native co-occurring,3.06,0.0334,193.85,,0.0045,680,9.47124065,7.422222222,0.103378901,
Oplismenus aemulus,Oplismenus,3,Native co-occurring,2.37,0.0341,181.87,,0.005,474,7.81877165,6.82,0.112497938,
Oplismenus aemulus,Oplismenus,4,Native co-occurring,2.97,0.0323,255.6,,0.0044,675,6.971830986,7.340909091,0.075821596,
Oplismenus aemulus,Oplismenus,5,Native co-occurring,1.94,0.0229,158.64,,0.0041,473.1707317,7.337367625,5.585365854,0.086611195,
Persoonia levis,Persoonia levis,2,Native not co-occurring,7.32,0.142,600,8.85019529,0.067795114,107.9723825,7.32,2.094546219,0.142,
Persoonia levis,Persoonia levis,3,Native not co-occurring,10.4,0.249,600,8.85019529,0.067795114,153.403385,10.4,3.672831045,0.249,
Persoonia levis,Persoonia levis,4,Native not co-occurring,10.3,0.182,600,8.85019529,0.067795114,151.9283525,10.3,2.684559238,0.182,
Persoonia levis,Persoonia levis,5,Native not co-occurring,9.98,0.272,600,8.85019529,0.067795114,147.2082483,9.98,4.012088531,0.272,
