Scientific Name,metadata_id,primary_source_id,SLA (mg/mm2),longevity,Height (cm),Seed mass (mg)
Acaena echinata,88,84,13.19,perennial,18.23,8.99
Acaena novae-zelandiae,88,84,19.49,perennial,16.22,4.17
Arthropodium strictum,88,84,17.96,perennial,13.36,1.82
Asperula conferta,88,84,15.77,perennial,9.39,2
Austrostipa semibarbata,88,84,12.01,perennial,57.22,0
Brunonia australis,88,84,9.81,perennial,7.6,2.9
Bulbine bulbosa,88,84,15.13,perennial,13.28,2.35
Burchardia umbellata,88,84,10.83,perennial,34.59,0.76
Caesia calliantha,88,84,21.26,perennial,23.81,3.59
Carex breviculmis,88,84,19.48,perennial,11.19,0.64
Chrysocephalum apiculatum,88,84,15.23,perennial,25.19,0.8
Convolvulus erubescens,88,84,15.97,perennial,4.27,4.32
Cynoglossum suaveolens,88,84,12.48,perennial,10.03,3.12
Dianella revoluta,88,84,6.86,perennial,51.51,6.02
Dichelachne crinata,88,84,7.61,perennial,69.41,0.56
Dichondra repens,88,84,16.47,perennial,6.15,1.08
Eleocharis acuta,88,84,8.67,perennial,49.85,0.56
Elymus scaber,88,84,15.59,perennial,42.5,5.2
Eryngium vesiculosum,88,84,8.4,perennial,8.35,1.04
Euchiton collinus,88,84,31.37,perennial,13.95,0.02
Geranium solanderi,88,84,17.88,perennial,14.22,1.14
Gonocarpus tetragynus,88,84,8.26,perennial,13.37,0.5
Goodenia blackiana,88,84,12.01,perennial,6.13,0
Goodenia geniculata,88,84,9.89,perennial,5.23,0
Goodenia humilis,88,84,15.69,perennial,3.55,0.05
Goodenia pinnatifida,88,84,6.53,perennial,7.17,3.27
Haloragis heterophylla,88,84,11.29,perennial,15.91,1.5
Hemarthria uncinata,88,84,13.45,perennial,31.84,0
Hydrocotyle laxiflora,88,84,23.17,perennial,6.45,0
Hypericum gramineum,88,84,21.45,perennial,17.69,0.02
Isolepis cernua,88,84,24.22,perennial,19.72,0.13
Kennedia prostrata,88,84,13.73,perennial,4.63,15.69
Lachnagrostis filiformis,88,84,18.75,perennial,30.12,0.14
Leptorhynchos squamatus,88,84,15.38,perennial,11.89,0.1
Lobelia pratioides,88,84,21.42,perennial,8.58,0.1
Lomandra filiformis subsp. coriacea,88,84,6.43,perennial,19.67,10
Lythrum hyssopifolia,88,84,19.57,perennial,11.07,0.5
Microlaena stipoides,88,84,27.12,perennial,29.66,6.39
Opercularia ovata,88,84,14.67,perennial,10.03,0
Oxalis corniculata,88,84,40.12,perennial,5.17,0.19
Pelargonium rodneyanum,88,84,20.65,perennial,11.48,3.94
Poa labillardieri,88,84,8.49,perennial,60.47,0.71
Rumex brownii,88,84,13.39,perennial,30,1.13
Schoenus apogon,88,84,12.85,perennial,11.13,0.54
Senecio quadridentatus,88,84,19.05,perennial,98.04,0.2
Stylidium graminifolium,88,84,10.13,perennial,17.79,0.16
Themeda triandra,88,84,20.76,perennial,29.13,3.85
Tricoryne elatior,88,84,20.83,perennial,38.96,5
Viola hederacea,88,84,27.1,perennial,5.47,0.88
Wurmbea dioica,88,84,24.48,perennial,15.83,0.71
