SCIENTIFICNAME,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type,partially_woody
Abrotanella,herb,NA,NA,perennial,NA,NA,NA,NA
Abrotanella forsteroides,cushion,NA,NA,NA,NA,NA,NA,NA
Abrotanella nivigena,cushion,NA,NA,NA,NA,NA,NA,NA
Abrotanella scapigera,herb,tufted,NA,NA,NA,NA,NA,NA
Abutilon julianae,subshrub,NA,NA,NA,NA,NA,NA,NA
Abutilon listeri,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia 'H.L.White',tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia abbatiana,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia abbreviata,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia abrupta,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia acanthaster,shrub,dense,NA,NA,NA,NA,NA,NA
Acacia acanthoclada,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia acanthoclada subsp. acanthoclada,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia acanthoclada subsp. glaucescens,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia acellerata,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia acinacea 'AC01',shrub,bushy open,NA,NA,NA,NA,NA,NA
Acacia aciphylla,shrub,dense,NA,NA,NA,NA,NA,NA
Acacia acoma,shrub,open,NA,NA,NA,NA,NA,NA
Acacia acradenia,shrub,spindly,NA,NA,NA,NA,NA,NA
Acacia acrionastes,tree shrub,spindly,NA,NA,NA,NA,NA,NA
Acacia acuaria,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia aculeatissima,shrub,prostrate,NA,NA,NA,NA,NA,NA
Acacia aculeiformis,shrub,prostrate mat_forming,NA,NA,NA,NA,NA,NA
Acacia acuminata,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia acutata,shrub,compact,NA,NA,NA,NA,NA,NA
Acacia adenogonia,shrub,erect sprawling,NA,NA,NA,NA,NA,NA
Acacia adinophylla,shrub,prostrate dense,NA,NA,NA,NA,NA,NA
Acacia adjutrices,subshrub,NA,NA,NA,NA,NA,NA,NA
Acacia adnata,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia adoxa,shrub,procumbent dense,NA,NA,NA,NA,NA,NA
Acacia adoxa var. adoxa,shrub,compact,NA,NA,NA,NA,NA,NA
Acacia adoxa var. subglabra,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia adsurgens,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia adunca,tree shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia aemula,subshrub,prostrate open,NA,NA,NA,NA,NA,NA
Acacia aestivalis,tree shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia alata,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia alata var. alata,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia alata var. biglandulosa,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia alata var. platyptera,shrub,dense,NA,NA,NA,NA,NA,NA
Acacia alata var. tetrantha,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia alaticaulis,tree shrub,spindly,NA,NA,NA,NA,NA,NA
Acacia alcockii,shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia alexandri,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia alleniana,tree shrub,open spindly,NA,NA,NA,NA,NA,NA
Acacia alpina,shrub,prostrate,NA,NA,NA,NA,NA,NA
Acacia amanda,shrub,erect,NA,NA,NA,NA,NA,NA
Acacia amblygona,shrub,prostrate sprawling,NA,NA,NA,NA,NA,NA
Acacia amblyophylla,tree shrub,bushy dense,NA,NA,NA,NA,NA,NA
Acacia amentifera,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia ammobia,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia ammophila,tree,NA,NA,NA,NA,NA,NA,NA
Acacia amoena,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia ampliata,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia ampliceps,tree shrub,prostrate bushy,NA,NA,NA,NA,NA,NA
Acacia amputata,subshrub,NA,NA,NA,NA,NA,NA,NA
Acacia amyctica,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia anarthros,subshrub,NA,NA,NA,NA,NA,NA,NA
Acacia anasilla,shrub,erect,NA,NA,NA,NA,NA,NA
Acacia anastema,tree,NA,NA,NA,NA,NA,NA,NA
Acacia anaticeps,tree,shrubby,NA,NA,NA,NA,NA,NA
Acacia anceps,shrub,spreading bushy,NA,NA,NA,NA,NA,NA
Acacia ancistrocarpa,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia ancistrophylla,tree shrub,dense,NA,NA,NA,NA,NA,NA
Acacia ancistrophylla var. ancistrophylla,NA,NA,NA,NA,NA,NA,NA,NA
Acacia ancistrophylla var. lissophylla,NA,erect,NA,NA,NA,NA,NA,NA
Acacia ancistrophylla var. perarcuata,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia andrewsii,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia aneura,tree shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia aneura var. aneura,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia aneura var. major,tree,NA,NA,NA,NA,NA,NA,NA
Acacia anfractuosa,tree shrub,open spindly,NA,NA,NA,NA,NA,NA
Acacia angusta,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia anomala,subshrub,erect,NA,NA,NA,NA,NA,NA
Acacia anthochaera,tree shrub,dense,NA,NA,NA,NA,NA,NA
Acacia aphanoclada,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia aphylla,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia applanata,subshrub,prostrate erect spreading sprawling,NA,NA,NA,NA,NA,NA
Acacia aprepta,tree,spreading,NA,NA,NA,NA,NA,NA
Acacia aprica,shrub,open,NA,NA,NA,NA,NA,NA
Acacia aptaneura,tree,NA,NA,NA,NA,NA,NA,NA
Acacia arafurica,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia araneosa,tree,NA,NA,NA,NA,NA,NA,NA
Acacia arbiana,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia arcuatilis,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia areolata,tree shrub,prostrate spreading,NA,NA,NA,NA,NA,NA
Acacia argentina,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia argutifolia,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia argyraea,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia argyrodendron,tree,NA,NA,NA,NA,NA,NA,NA
Acacia argyrophylla,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia argyrotricha,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia arida,shrub,dense,NA,NA,NA,NA,NA,NA
Acacia aristulata,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia armillata,tree,NA,NA,NA,NA,NA,NA,NA
Acacia armitii,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia arrecta,shrub,spreading compact,NA,NA,NA,NA,NA,NA
Acacia ascendens,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia asepala,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia ashbyae,shrub,dense,NA,NA,NA,NA,NA,NA
Acacia asparagoides,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia aspera,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia asperulacea,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia assimilis,tree shrub,dense,NA,NA,NA,NA,NA,NA
Acacia assimilis subsp. assimilis,NA,NA,NA,NA,NA,NA,NA,NA
Acacia assimilis subsp. atroviridis,NA,NA,NA,NA,NA,NA,NA,NA
Acacia ataxiphylla,subshrub,prostrate spreading,NA,NA,NA,NA,NA,NA
Acacia ataxiphylla subsp. ataxiphylla,subshrub,prostrate sprawling,NA,NA,NA,NA,NA,NA
Acacia ataxiphylla subsp. magna,subshrub,erect spreading,NA,NA,NA,NA,NA,NA
Acacia atkinsiana,shrub,spreading dense,NA,NA,NA,NA,NA,NA
Acacia atopa,tree,NA,NA,NA,NA,NA,NA,NA
Acacia atrox,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia atrox subsp. atrox,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia atrox subsp. planitiicola,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia attenuata,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia aulacocarpa,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia aulacophylla,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia auratiflora,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia aureocrinita,shrub,erect bushy,NA,NA,NA,NA,NA,NA
Acacia auricoma,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia auriculiformis,tree,NA,NA,NA,NA,NA,NA,NA
Acacia auripila,tree,dense,NA,NA,NA,NA,NA,NA
Acacia auronitens,subshrub,spreading procumbent,NA,NA,NA,NA,NA,NA
Acacia ausfeldii,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia awestoniana,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia axillaris,shrub,erect spreading,NA,NA,NA,NA,NA,NA
Acacia ayersiana,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia baeuerlenii,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia baileyana,tree shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia bakeri,tree,NA,NA,NA,NA,NA,NA,NA
Acacia balsamea,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia bancroftiorum,tree shrub,spindly,NA,NA,NA,NA,NA,NA
Acacia barakulensis,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia barattensis,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia barbinervis,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia barrettiorum,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia barringtonensis,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia bartlei,tree shrub,erect,NA,NA,NA,NA,NA,NA
Acacia basedowii,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia baueri,subshrub,NA,NA,NA,rhizome,NA,NA,NA
Acacia baxteri,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia beadleana,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia beauverdiana,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia beckleri,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia benthamii,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia besleyi,shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia betchei,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia bidentata,shrub,prostrate,NA,NA,NA,NA,NA,NA
Acacia bifaria,shrub,prostrate,NA,NA,NA,NA,NA,NA
Acacia biflora,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia binata,shrub,dense open,NA,NA,NA,NA,NA,NA
Acacia binervata,tree shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia binervia,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia bivenosa,shrub,prostrate dense,NA,NA,NA,NA,NA,NA
Acacia blakei,tree shrub,erect,NA,NA,NA,NA,NA,NA
Acacia blakei subsp. blakei,NA,NA,NA,NA,NA,NA,NA,NA
Acacia blakei subsp. diphylla,NA,NA,NA,NA,NA,NA,NA,NA
Acacia blakelyi,tree shrub,dense,NA,NA,NA,NA,NA,NA
Acacia blaxellii,shrub,spreading dense,NA,NA,NA,NA,NA,NA
Acacia blayana,tree,NA,NA,NA,NA,NA,NA,NA
Acacia boormanii,shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia boormanii subsp. boormanii,shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia boormanii subsp. gibba,shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia botrydion,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia brachybotrya,shrub,spreading dense,NA,NA,NA,NA,NA,NA
Acacia brachyclada,shrub,spreading dense,NA,NA,NA,NA,NA,NA
Acacia brachyphylla,subshrub,NA,NA,NA,NA,NA,NA,NA
Acacia brachypoda,shrub,dense,NA,NA,NA,NA,NA,NA
Acacia brachystachya,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia bracteolata,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia brassii,tree,NA,NA,NA,NA,NA,NA,NA
Acacia brockii,tree,NA,NA,NA,NA,NA,NA,NA
Acacia bromilowiana,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia browniana,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia browniana var. browniana,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia browniana var. endlicheri,subshrub,spreading,NA,NA,NA,NA,NA,NA
Acacia browniana var. glaucescens,subshrub,spreading,NA,NA,NA,NA,NA,NA
Acacia browniana var. intermedia,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia browniana var. obscura,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia brownii,shrub,prostrate sprawling,NA,NA,NA,NA,NA,NA
Acacia brumalis,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia brunioides,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia brunioides subsp. brunioides,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia brunioides subsp. granitica,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia bulgaensis,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia burbidgeae,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia burdekensis,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia burkittii,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia burrana,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia burrowii,tree,NA,NA,NA,NA,NA,NA,NA
Acacia burrowsiana,tree shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia buxifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia buxifolia subsp. buxifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia buxifolia subsp. pubiflora,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia bynoeana,shrub,decumbent,NA,NA,NA,NA,NA,NA
Acacia caerulescens,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia caesaneura,tree shrub,dense,NA,NA,NA,NA,NA,NA
Acacia caesariata,shrub,spreading dense,NA,NA,NA,NA,NA,NA
Acacia caesiella,tree mallee shrub,NA,NA,NA,NA,NA,NA,NA
Acacia calamifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia calantha,shrub,dense,NA,NA,NA,NA,NA,NA
Acacia calcarata,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia calcicola,tree shrub,spreading bushy,NA,NA,NA,NA,NA,NA
Acacia calligera,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia calyculata,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia cambagei,tree,spreading dense,NA,NA,NA,NA,NA,NA
Acacia camptoclada,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia campylophylla,shrub,dense,NA,NA,NA,NA,NA,NA
Acacia cana,tree shrub,spreading dense,NA,NA,NA,NA,NA,NA
Acacia cangaiensis,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia capillaris,shrub,erect,NA,NA,NA,NA,NA,NA
Acacia cardiophylla,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia carens,shrub,open,NA,NA,NA,NA,NA,NA
Acacia carneorum,tree shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia carnosula,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia caroleae,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia cassicula,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia castanostegia,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia cataractae,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia catenulata,tree,NA,NA,NA,NA,NA,NA,NA
Acacia catenulata subsp. catenulata,tree,NA,NA,NA,NA,NA,NA,NA
Acacia catenulata subsp. occidentalis,tree,NA,NA,NA,NA,NA,NA,NA
Acacia cavealis,shrub,sprawling,NA,NA,NA,NA,NA,NA
Acacia cedroides,shrub,dense,NA,NA,NA,NA,NA,NA
Acacia celastrifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia celsa,tree,NA,NA,NA,NA,NA,NA,NA
Acacia centrinervia,shrub,erect spreading,NA,NA,NA,NA,NA,NA
Acacia cerastes,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia chalkeri,shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia chamaeleon,shrub,open,NA,NA,NA,NA,NA,NA
Acacia chapmanii,shrub,dense,NA,NA,NA,NA,NA,NA
Acacia chartacea,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia cheelii,tree,NA,NA,NA,NA,NA,NA,NA
Acacia chinchillensis,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia chippendalei,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia chisholmii,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia chrysella,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia chrysocephala,subshrub,compact,NA,NA,NA,NA,NA,NA
Acacia chrysochaeta,shrub,erect spindly,NA,NA,NA,NA,NA,NA
Acacia chrysopoda,shrub,compact,NA,NA,NA,NA,NA,NA
Acacia chrysotricha,tree,NA,NA,NA,NA,NA,NA,NA
Acacia cincinnata,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia cineramis Orel,shrub,erect spreading,NA,NA,NA,NA,NA,NA
Acacia citrinoviridis,tree,NA,NA,NA,NA,NA,NA,NA
Acacia citriodora,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia clandullensis,shrub,open,NA,NA,NA,NA,NA,NA
Acacia clelandii,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia clunies-rossiae,tree shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia clydonophora,shrub,open,NA,NA,NA,NA,NA,NA
Acacia coatesii,NA,NA,NA,NA,NA,NA,NA,NA
Acacia cochlearis,shrub,erect sprawling,NA,NA,NA,NA,NA,NA
Acacia cochlocarpa,shrub,sprawling,NA,NA,NA,NA,NA,NA
Acacia cockertoniana,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia cognata 'BW 06',tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia colei,tree shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia colei var. colei,NA,NA,NA,NA,NA,NA,NA,NA
Acacia colei var. ileocarpa,NA,NA,NA,NA,NA,NA,NA,NA
Acacia collegialis,tree shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia colletioides,tree shrub,dense,NA,NA,NA,NA,NA,NA
Acacia comans,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia complanata,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia concolorans,subshrub,compact sprawling,NA,NA,NA,NA,NA,NA
Acacia concurrens,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia conferta,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia confluens,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia congesta,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia congesta subsp. cliftoniana,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia congesta subsp. congesta,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia congesta subsp. wonganensis,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia conjunctifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia conniana,shrub,bushy dense,NA,NA,NA,NA,NA,NA
Acacia consanguinea,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia consobrina,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia conspersa,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia constablei,shrub,erect,NA,NA,NA,NA,NA,NA
Acacia continua,shrub,open,NA,NA,NA,NA,NA,NA
Acacia convallium,tree,NA,NA,NA,NA,NA,NA,NA
Acacia coolgardiensis,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia coriacea,tree shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia coriacea subsp. coriacea,tree shrub,prostrate spreading dense,NA,NA,NA,NA,NA,NA
Acacia coriacea subsp. pendens,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia costata,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia costiniana,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia courtii,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia covenyi,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia cowaniana,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia cowleana,tree shrub,open spindly,NA,NA,NA,NA,NA,NA
Acacia cracentis,shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia craspedocarpa,tree shrub,dense,NA,NA,NA,NA,NA,NA
Acacia crassa,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia crassa subsp. crassa,NA,NA,NA,NA,NA,NA,NA,NA
Acacia crassa subsp. longicoma,NA,NA,NA,NA,NA,NA,NA,NA
Acacia crassicarpa,tree,NA,NA,NA,NA,NA,NA,NA
Acacia crassistipula,shrub,spreading compact,NA,NA,NA,NA,NA,NA
Acacia crassiuscula,shrub,spindly,NA,NA,NA,NA,NA,NA
Acacia crassuloides,shrub,prostrate mat_forming,NA,NA,NA,NA,NA,NA
Acacia cremiflora,shrub,erect bushy,NA,NA,NA,NA,NA,NA
Acacia crenulata,shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia cretacea,tree shrub,spindly,NA,NA,NA,NA,NA,NA
Acacia cretata,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia crispula,shrub,prostrate spreading,NA,NA,NA,NA,NA,NA
Acacia crombiei,tree,NA,NA,NA,NA,NA,NA,NA
Acacia cultriformis,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia cummingiana,subshrub,sprawling,NA,NA,NA,NA,NA,NA
Acacia cuneifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia cupularis,shrub,dense open,NA,NA,NA,NA,NA,NA
Acacia curranii,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia curryana,shrub,dense,NA,NA,NA,NA,NA,NA
Acacia curvata,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia cuspidifolia,tree shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia cuthbertsonii,tree shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia cuthbertsonii subsp. cuthbertsonii,NA,NA,NA,NA,NA,NA,NA,NA
Acacia cuthbertsonii subsp. linearis,NA,NA,NA,NA,NA,NA,NA,NA
Acacia cyclocarpa,shrub,decumbent sprawling,NA,NA,NA,NA,NA,NA
Acacia cyclops,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia cylindrica,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia cyperophylla,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia cyperophylla var. cyperophylla,NA,spreading,NA,NA,NA,NA,NA,NA
Acacia cyperophylla var. omearana,NA,NA,NA,NA,NA,NA,NA,NA
Acacia dacrydioides,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia dallachiana,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia dangarensis,tree,NA,NA,NA,NA,NA,NA,NA
Acacia daphnifolia,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia daviesii,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia daviesioides,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia daweana,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia dawsonii,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia dealbata,tree shrub,spreading bushy,NA,NA,NA,NA,NA,NA
Acacia dealbata subsp. dealbata,tree shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia dealbata subsp. subalpina,tree shrub,dense,NA,NA,NA,NA,NA,NA
Acacia deanei,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia deanei subsp. deanei,NA,NA,NA,NA,NA,NA,NA,NA
Acacia deanei subsp. paucijuga,NA,NA,NA,NA,NA,NA,NA,NA
Acacia debilis,tree shrub,spindly,NA,NA,NA,NA,NA,NA
Acacia declinata,shrub,prostrate,NA,NA,NA,NA,NA,NA
Acacia decora,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia decurrens,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia deficiens,shrub,prostrate spreading,NA,NA,NA,NA,NA,NA
Acacia deflexa,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia delibrata,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia delicatula,shrub,erect,NA,NA,NA,NA,NA,NA
Acacia delphina,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia deltoidea,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia demissa,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia dempsteri,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia densiflora,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia denticulosa,shrub,open spindly,NA,NA,NA,NA,NA,NA
Acacia dentifera,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia depressa,shrub,prostrate mat_forming,NA,NA,NA,NA,NA,NA
Acacia dermatophylla,shrub,open,NA,NA,NA,NA,NA,NA
Acacia derwentiana,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia desertorum,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia desertorum var. desertorum,NA,NA,NA,NA,NA,NA,NA,NA
Acacia desertorum var. nudipes,NA,NA,NA,NA,NA,NA,NA,NA
Acacia desmondii,tree,shrubby,NA,NA,NA,NA,NA,NA
Acacia deuteroneura,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia diallaga,shrub,spreading dense,NA,NA,NA,NA,NA,NA
Acacia diaphana,shrub,spreading bushy,NA,NA,NA,NA,NA,NA
Acacia diaphyllodinea,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia dictyocarpa,shrub,spreading dense,NA,NA,NA,NA,NA,NA
Acacia dictyoneura,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia dictyophleba,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia didyma,tree shrub,dense,NA,NA,NA,NA,NA,NA
Acacia dielsii,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia dietrichiana,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia difficilis,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia difformis,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia dilatata,shrub,compact sprawling,NA,NA,NA,NA,NA,NA
Acacia dilloniorum,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia dimidiata,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia diminuta,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia disparrima,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia disparrima subsp. calidestris,NA,NA,NA,NA,NA,NA,NA,NA
Acacia disparrima subsp. disparrima,NA,NA,NA,NA,NA,NA,NA,NA
Acacia dissimilis,shrub,open,NA,NA,NA,NA,NA,NA
Acacia dissona,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia distans,tree,NA,NA,NA,NA,NA,NA,NA
Acacia disticha,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia divergens,shrub,NA,NA,NA,NA,NA,NA,NA
