original_name,cleaned_name,aligned_name,taxonomic_dataset,taxon_rank,aligned_reason,alignment_code
Ampelocissus sp. Kununnurra (M.D.Barrett MDB 1525),Ampelocissus sp. Kununnurra (M.D.Barrett MDB 1525),Ampelocissus sp. Kununurra (M.D.Barrett MDB 1525),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-31),match_05a_fuzzy_accepted_canonical_name
Casearia dallachii,Casearia dallachii,Casearia dallachyi,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-31),match_05a_fuzzy_accepted_canonical_name
Dentella arnhemensis MS,Dentella arnhemensis MS,Dentella arnhemensis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-31),match_05a_fuzzy_accepted_canonical_name
Hakea persiehana,Hakea persiehana,Hakea persiehiana,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-31),match_05a_fuzzy_accepted_canonical_name
Homalanthus novo-guineensis,Homalanthus novo-guineensis,Homalanthus novoguineensis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-31),match_05a_fuzzy_accepted_canonical_name
Leucopogon sp. Dongolocking (K.Kershaw KK2333),Leucopogon sp. Dongolocking (K.Kershaw KK2333),Leucopogon sp. Dongolocking (K.Kershaw KK 2333),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-31),match_05a_fuzzy_accepted_canonical_name
Monotoca aristata MS,Monotoca aristata MS,Monotoca aristata,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-31),match_05a_fuzzy_accepted_canonical_name
Myosotis laxa subsp. caespitosa,Myosotis laxa subsp. caespitosa,Myosotis laxa subsp. cespitosa,APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-31),match_05a_fuzzy_accepted_canonical_name
learia tomentosa subsp. A,Olearia tomentosa subsp. A,Olearia tomentosa,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-31),match_05a_fuzzy_accepted_canonical_name
Sarcocornia quinqueflora subsp. quinqueflora,Sarcocornia quinqueflora subsp. quinqueflora,Salicornia quinqueflora subsp. quinqueflora,APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-31),match_05a_fuzzy_accepted_canonical_name
Schoenus sesquispiculus,Schoenus sesquispiculus,Schoenus sesquispicula,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-31),match_05a_fuzzy_accepted_canonical_name
Tarenna dallachiana subsp. dallachiana,Tarenna dallachiana subsp. dallachiana,Tarenna dallachyana subsp. dallachyana,APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-31),match_05a_fuzzy_accepted_canonical_name
Tarenna dallachiana subsp. expandens,Tarenna dallachiana subsp. expandens,Tarenna dallachyana subsp. expandens,APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-31),match_05a_fuzzy_accepted_canonical_name
