dataset_id,trait_name,find,replace
Nano_2011,resprouting_capacity,Resprouter,resprouts
Nano_2011,resprouting_capacity,Seeder,fire_killed
Nano_2011,resprouting_capacity,"Seeder, Faculative resprouter",resprouts
Nano_2011,resprouting_capacity,"Seeder, Resprouter",resprouts
Nano_2011,resprouting_capacity,Faculative resprouter,resprouts
Nano_2011,resprouting_capacity,"Resprouter, Faculative resprouter",resprouts
Nano_2011,resprouting_capacity,"Seeder, Resprouter, Faculative resprouter",resprouts
Nano_2011,post_fire_recruitment,Resprouter,
Nano_2011,post_fire_recruitment,Seeder,post_fire_recruitment
Nano_2011,post_fire_recruitment,"Seeder, Faculative resprouter",post_fire_recruitment
Nano_2011,post_fire_recruitment,"Seeder, Resprouter",post_fire_recruitment
Nano_2011,post_fire_recruitment,Faculative resprouter,post_fire_recruitment
Nano_2011,post_fire_recruitment,"Resprouter, Faculative resprouter",post_fire_recruitment
Nano_2011,post_fire_recruitment,"Seeder, Resprouter, Faculative resprouter",post_fire_recruitment
Nano_2011,bud_bank_location,Underground storage organs (bulbs/tubers),fleshy_underground_organ
Nano_2011,bud_bank_location,None,none
Nano_2011,bud_bank_location,Basal stem buds (includes lignotuber and basal stem),basal_stem_buds
Nano_2011,bud_bank_location,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",basal_stem_buds epicormic_buds
Nano_2011,bud_bank_location,Root suckers or rhizomes,bud-bearing_root rhizome
Nano_2011,bud_bank_location,"Basal stem buds (includes lignotuber and basal stem), None",basal_stem_buds none
Nano_2011,bud_bank_location,Epicormic shoots,epicormic_buds
Nano_2011,bud_bank_location,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",bud-bearing_root rhizome basal_stem_buds
Nano_2011,bud_bank_location,"Root suckers or rhizomes, Underground storage organs (bulbs/tubers)",bud-bearing_root rhizome fleshy_underground_organ
Nano_2011,bud_bank_location,"Basal stem buds (includes lignotuber and basal stem), Underground storage organs (bulbs/tubers)",basal_stem_buds fleshy_underground_organ
Nano_2011,bud_bank_location,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem), Epicormic shoots, None",bud-bearing_root rhizome basal_stem_buds epicormic_buds none
Nano_2011,bud_bank_location,"Root suckers or rhizomes, Epicormic shoots",bud-bearing_root rhizome epicormic_buds
Nano_2011,bud_bank_location,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots, None",basal_stem_buds epicormic_buds none
Nano_2011,bud_bank_location,"Epicormic shoots, Underground storage organs (bulbs/tubers)",epicormic_buds fleshy_underground_organ
Nano_2011,seedbank_location,Dispersal reliant,none
Nano_2011,seedbank_location,Strictly serotinous,canopy_seedbank soil_seedbank_absent
Nano_2011,serotiny,Dispersal reliant,not_serotinous
Nano_2011,serotiny,Strictly serotinous,serotiny_high
Nano_2011,bud_bank_location,VI,epicormic_buds
