Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,Fire_Response_Adult,Resprout_Type,stem buds
Acacia abbreviata,R-,P+,NA,NA,NA,NA,1,5,NA
Acacia acradenia,R-,P+,NA,NA,NA,NA,4,20,NA
Acacia adsurgens,R-,P+,NA,NA,NA,NA,1,2,NA
Acacia ammobia,R-,P+,NA,NA,NA,NA,1,2,NA
Acacia ancistrocarpa,R+,P+,NA,NA,NA,NA,6,2,NA
Acacia aneura,R-,P-,NA,NA,NA,NA,NA,NA,NA
Acacia ayersiana,R-,P+,NA,NA,NA,NA,1,5,NA
Acacia bivenosa,R+,P+,NA,NA,NA,NA,3,14,NA
Acacia colei var. colei,R-,P+,NA,NA,NA,NA,NA,NA,NA
Acacia cowleana,R-,P+,NA,NA,NA,NA,1,5,NA
Acacia dictyophleba,R-,P+,NA,NA,NA,NA,1,7,NA
Acacia elachantha,R-,P+,NA,NA,NA,NA,NA,NA,NA
Acacia estrophiolata,R+,P-,NA,NA,NA,NA,7,7,NA
Acacia georginae,R-,P-,NA,NA,NA,NA,1,2,NA
Acacia hemignosta,R+,P-,NA,NA,NA,NA,2,2,NA
Acacia hilliana,R-,P+,NA,NA,NA,NA,1,2,NA
Acacia holosericea,R-,P-,NA,NA,NA,NA,1,5,NA
Acacia kempeana,R+,P+,NA,NA,NA,NA,4,21,NA
Acacia ligulata,R-,P+,NA,NA,NA,NA,6,2,NA
Acacia lycopodiifolia,R-,P+,NA,NA,NA,NA,1,5,NA
Acacia lysiphloia,R-,P+,NA,NA,NA,NA,4,2,NA
Acacia macdonnellensis subsp. macdonnellensis,R-,P+,NA,NA,NA,NA,1,2,NA
Acacia maitlandii,R+,P-,NA,NA,NA,NA,2,2,NA
Acacia melleodora,R-,P+,NA,NA,NA,NA,1,7,NA
Acacia minyura,R-,P+,NA,NA,NA,NA,1,20,NA
Acacia monticola,R-,P+,NA,NA,NA,NA,1,5,NA
Acacia murrayana,R+,P+,NA,NA,NA,NA,2,1,NA
Acacia neurocarpa,R-,P+,NA,NA,NA,NA,4,20,NA
Acacia paraneura,R-,P-,NA,NA,NA,NA,1,2,NA
Acacia pruinocarpa,R+,P-,NA,NA,NA,NA,2,7,VI
Acacia ramulosa var. ramulosa,R-,P+,NA,NA,NA,NA,1,2,NA
Acacia retivenea subsp. retivenea,R-,P+,NA,NA,NA,NA,1,5,NA
Acacia sericophylla,R+,P-,NA,NA,NA,NA,NA,NA,VI
Acacia sessiliceps,R+,P-,NA,NA,NA,NA,NA,NA,NA
Acacia sibirica,R-,P-,NA,NA,NA,NA,NA,NA,NA
Acacia spondylophylla,R-,P+,NA,NA,NA,NA,2,2,NA
Acacia stipuligera,R-,P+,NA,NA,NA,NA,4,20,NA
Acacia strongylophylla,R-,P+,NA,NA,NA,NA,1,2,NA
Acacia tenuissima,R-,P-,NA,NA,NA,NA,NA,NA,NA
Acacia tetragonophylla,R-,P-,NA,NA,NA,NA,4,22,NA
Acacia validinervia,R+,P+,NA,NA,NA,NA,2,1,NA
Acacia victoriae subsp. arida,R+,P+,NA,NA,NA,NA,2,2,NA
Adansonia gregorii,R+,P+,NA,NA,NA,NA,2,3,VI
Adriana tomentosa var. hookeri,R+,P-,NA,NA,NA,NA,2,1,NA
Alectryon oleifolius subsp. elongatus,R+,P-,NA,NA,NA,NA,2,2,NA
Allocasuarina decaisneana,R+,P-,NA,NA,NA,NA,2,3,VI
Aluta maisonneuvei subsp. maisonneuvei,R-,P-,NA,NA,NA,NA,1,NA,NA
Alyogyne pinoniana,R+,P-,NA,NA,NA,NA,2,2,NA
Amyema bifurcata,R-,P-,NA,NA,NA,NA,NA,NA,NA
Amyema gibberula var. gibberula,R-,P-,NA,NA,NA,NA,1,5,NA
Amyema hilliana,R-,P-,NA,NA,NA,NA,1,5,NA
Amyema maidenii subsp. maidenii,R-,P-,NA,NA,NA,NA,1,NA,NA
Amyema miquelii,R-,P-,NA,NA,NA,NA,1,5,NA
