find,dataset_id,replace,reason,taxonomic_resolution
Dactyloctenium radulans (R.Br.) P.Beauv.,Nano_2011,Dactyloctenium radulans,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dampiera candicans F.Muell.,Nano_2011,Dampiera candicans,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dampiera cinerea Ewart & O.B.Davies,Nano_2011,Dampiera cinerea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dampiera conospermoides W.Fitzg.,Nano_2011,Dampiera conospermoides,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dampiera dentata Rajput,Nano_2011,Dampiera dentata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dapsilanthus spathaceus (R.Br.) B.G.Briggs & L.A.S.Johnson,Nano_2011,Dapsilanthus spathaceus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Daviesia arthropoda F.Muell.,Nano_2011,Daviesia arthropoda,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Daviesia eremaea Crisp,Nano_2011,Daviesia eremaea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Daviesia reclinata A.Cunn. ex Benth.,Nano_2011,Daviesia reclinata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dendrobium dicuphum F.Muell.,Nano_2011,Dendrobium dicuphum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dendrobium paludicola Schltr.,Nano_2011,Dendrobium paludicola,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dendrophthoe odontocalyx (F.Muell. ex Benth.) Tiegh.,Nano_2011,Dendrophthoe odontocalyx,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Denhamia cunninghamii (Hook.) M.P.Simmons,Nano_2011,Denhamia cunninghamii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Denhamia ferdinandi (Jessup) M.P.Simmons,Nano_2011,Denhamia ferdinandi,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Denhamia obscura (A.Rich.) Meisn. ex Walp.,Nano_2011,Denhamia obscura,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Derris trifoliata Lour.,Nano_2011,Derris trifoliata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Desmodium brownii Schindl.,Nano_2011,Desmodium brownii,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Desmodium gangeticum (L.) DC.,Nano_2011,Desmodium gangeticum,match_10_fuzzy. Imprecise fuzzy alignment with known canonical name in APC (2023-06-18),Species
Desmodium glareosum Pedley,Nano_2011,Desmodium glareosum,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Desmodium heterocarpon (L.) DC. var. strigosum (Meeuwen) H.Ohashi,Nano_2011,Desmodium heterocarpon,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Desmodium muelleri Benth.,Nano_2011,Desmodium muelleri,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Desmodium pycnotrichum Pedley,Nano_2011,Desmodium pycnotrichum,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Desmodium trichostachyum Benth.,Nano_2011,Desmodium trichostachyum,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Desmodium velutinum (Willd.) DC.,Nano_2011,Desmodium velutinum,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Desmos wardianus (F.M.Bailey) Jessup,Nano_2011,Desmos wardianus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dianella odorata Blume,Nano_2011,Dianella odorata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dicarpidium monoicum F.Muell.,Nano_2011,Dicarpidium monoicum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dicarpidium sp. Arnhem Land (L.A.Craven 2494) Cowie,Nano_2011,Dicarpidium sp. Arnhem Land (L.A.Craven 2494),match_12. Automatic alignment with infraspecific canonical name in APC accepted when notes are ignored (2023-06-18),Species
Dicarpidium sp. Nabarlek (R.Hinz 561) Cowie,Nano_2011,Dicarpidium sp. [Dicarpidium sp. Nabarlek (R.Hinz 561) Cowie; Nano_2011],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-06-18)",genus
Dicarpidium sp. Purnululu (K.A.Menkhorst 766) Cowie,Nano_2011,Dicarpidium sp. Purnululu (K.A.Menkhorst 766),match_12. Automatic alignment with infraspecific canonical name in APC accepted when notes are ignored (2023-06-18),Species
Dicarpidium sp. Ubirr (N.Byrnes 2821) Cowie,Nano_2011,Dicarpidium sp. [Dicarpidium sp. Ubirr (N.Byrnes 2821) Cowie; Nano_2011],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-06-18)",genus
Dichanthium annulatum (Forssk.) Stapf,Nano_2011,Dichanthium annulatum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dichanthium sericeum (R.Br.) A.Camus subsp. humilius (J.M.Black) B.K.Simon,Nano_2011,Dichanthium sericeum,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Dichanthium sericeum (R.Br.) A.Camus subsp. sericeum,Nano_2011,Dichanthium sericeum subsp. sericeum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Dichapetalum timoriense (DC.) Boerl.,Nano_2011,Dichapetalum timoriense,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dichrostachys spicata (F.Muell.) Domin,Nano_2011,Dichrostachys spicata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dicliptera armata F.Muell.,Nano_2011,Dicliptera armata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dicliptera ciliata Decne.,Nano_2011,Dicliptera ciliata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dicliptera spicata Decne.,Nano_2011,Dicliptera spicata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dicranopteris linearis (Burm.f.) J.Underw. var. linearis,Nano_2011,Dicranopteris linearis,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Dicrastylis beveridgei F.Muell.,Nano_2011,Dicrastylis beveridgei,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dicrastylis doranii F.Muell.,Nano_2011,Dicrastylis doranii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dicrastylis exsuccosa (F.Muell.) Druce,Nano_2011,Dicrastylis exsuccosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dicrastylis gilesii F.Muell.,Nano_2011,Dicrastylis gilesii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Didymoplexis pallens Griff.,Nano_2011,Didymoplexis pallens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dienia montana (Blume) M.A.Clem. & D.L.Jones,Nano_2011,Dienia montana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Digitaria ammophila Hughes,Nano_2011,Digitaria ammophila,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Digitaria bicornis (Lam.) Roem. & Schult.,Nano_2011,Digitaria bicornis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Digitaria brownii (Roem. & Schult.) Hughes,Nano_2011,Digitaria brownii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Digitaria ciliaris (Retz.) Koeler,Nano_2011,Digitaria ciliaris,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Digitaria ctenantha (F.Muell.) Hughes,Nano_2011,Digitaria ctenantha,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Digitaria divaricatissima (R.Br.) Hughes var. divaricatissima,Nano_2011,Digitaria divaricatissima var. divaricatissima,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Varietas
Digitaria gibbosa (R.Br.) P.Beauv.,Nano_2011,Digitaria gibbosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Digitaria longiflora (Retz.) Pers.,Nano_2011,Digitaria longiflora,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dillenia alata (R.Br. ex DC.) Martelli,Nano_2011,Dillenia alata,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Dinebra neesii (Thwaites) P.M.Peterson & N.Snow,Nano_2011,Dinebra neesii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dioscorea alata L.,Nano_2011,Dioscorea alata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dioscorea bulbifera L.,Nano_2011,Dioscorea bulbifera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dioscorea transversa R.Br.,Nano_2011,Dioscorea transversa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Diospyros calycantha O.Schwarz,Nano_2011,Diospyros calycantha,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Diospyros compacta (R.Br.) Kosterm.,Nano_2011,Diospyros compacta,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Diospyros humilis (R.Br.) F.Muell.,Nano_2011,Diospyros humilis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Diospyros littorea (R.Br.) Kosterm.,Nano_2011,Diospyros littorea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Diospyros maritima Blume,Nano_2011,Diospyros maritima,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Diospyros rugosula R.Br.,Nano_2011,Diospyros rugosula,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Diplachne fusca (L.) P.Beauv. ex Roem. & Schult. subsp. muelleri (Benth.) P.M.Peterson & N.Snow,Nano_2011,Diplachne fusca,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Diplatia grandibractea (F.Muell.) Tiegh.,Nano_2011,Diplatia grandibractea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Diplocyclos palmatus (L.) C.Jeffrey,Nano_2011,Diplocyclos palmatus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dipodium stenocheilum O.Schwarz,Nano_2011,Dipodium stenocheilum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dipteracanthus australasicus F.Muell. subsp. australasicus,Nano_2011,Dipteracanthus australasicus subsp. australasicus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Distimake quinatus (R.Br.) A.R.Simões & Staples,Nano_2011,Distimake quinatus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dodonaea arnhemica (S.T.Reynolds) M.Harrington,Nano_2011,Dodonaea arnhemica,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Dodonaea coriacea (Ewart & O.B.Davies) McGill.,Nano_2011,Dodonaea coriacea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dodonaea lanceolata F.Muell. var. lanceolata,Nano_2011,Dodonaea lanceolata var. lanceolata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Varietas
Dodonaea microzyga F.Muell. var. microzyga,Nano_2011,Dodonaea microzyga var. microzyga,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Varietas
Dodonaea platyptera F.Muell.,Nano_2011,Dodonaea platyptera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dodonaea polyzyga F.Muell.,Nano_2011,Dodonaea polyzyga,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dodonaea stenophylla F.Muell.,Nano_2011,Dodonaea stenophylla,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dodonaea viscosa Jacq. subsp. angustissima (DC.) J.G.West,Nano_2011,Dodonaea viscosa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Dodonaea viscosa Jacq. subsp. mucronata J.G.West,Nano_2011,Dodonaea viscosa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Dolichandrone filiformis (DC.) F.Muell.,Nano_2011,Dolichandrone filiformis,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Dolichandrone heterophylla (R.Br.) F.Muell.,Nano_2011,Dolichandrone heterophylla,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dracaena angustifolia (Medik.) Roxb.,Nano_2011,Dracaena angustifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Drosera finlaysoniana Wall. ex Arn.,Nano_2011,Drosera finlaysoniana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Drosera lanata Kondo,Nano_2011,Drosera lanata,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Drosera petiolaris R.Br. ex DC.,Nano_2011,Drosera petiolaris,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Drosera subtilis N.G.Marchant,Nano_2011,Drosera subtilis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Drummondita borealis Duretto,Nano_2011,Drummondita borealis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Drynaria quercifolia (L.) J.J.Sm.,Nano_2011,Drynaria quercifolia,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Drypetes deplanchei (Brongn. & Griseb.) Merr.,Nano_2011,Drypetes deplanchei,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Duboisia hopwoodii (F.Muell.) F.Muell.,Nano_2011,Duboisia hopwoodii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Duma florulenta (Meisn.) T.M.Schust.,Nano_2011,Duma florulenta,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dunbaria singuliflora F.Muell.,Nano_2011,Dunbaria singuliflora,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dysoxylum acutangulum Miq. subsp. foveolatum (Radlk.) Mabb.,Nano_2011,Dysoxylum acutangulum,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Dysoxylum latifolium Benth.,Nano_2011,Dysoxylum latifolium,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dysphania cristata (F.Muell.) Mosyakin & Clemants,Nano_2011,Dysphania cristata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dysphania kalpari Paul G.Wilson,Nano_2011,Dysphania kalpari,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dysphania melanocarpa (J.M.Black) Mosyakin & Clemants,Nano_2011,Dysphania melanocarpa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dysphania simulans F.Muell. & Tate,Nano_2011,Dysphania simulans,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Dysphania truncata (Paul G.Wilson) Mosyakin & Clemants,Nano_2011,Dysphania truncata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Echinochloa colona (L.) Link,Nano_2011,Echinochloa colona,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ectrosia leporina R.Br.,Nano_2011,Ectrosia leporina,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Einadia nutans (R.Br.) A.J.Scott subsp. eremaea Paul G.Wilson,Nano_2011,Einadia nutans,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Einadia nutans (R.Br.) A.J.Scott subsp. nutans,Nano_2011,Einadia nutans subsp. nutans,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Elaeocarpus angustifolius Blume,Nano_2011,Elaeocarpus angustifolius,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Elaeocarpus arnhemicus F.Muell.,Nano_2011,Elaeocarpus arnhemicus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Elaeocarpus culminicola Warb.,Nano_2011,Elaeocarpus culminicola,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Elaeocarpus miegei Weibe,Nano_2011,Elaeocarpus miegei,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Elaeodendron melanocarpum F.Muell.,Nano_2011,Elaeodendron melanocarpum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Elatine macrocalyx Albr.,Nano_2011,Elatine macrocalyx,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eleocharis dulcis (Burm.f. ) Trin. ex Hensch.,Nano_2011,Eleocharis dulcis,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Eleocharis pallens S.T.Blake,Nano_2011,Eleocharis pallens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eleocharis papillosa Latz,Nano_2011,Eleocharis papillosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eleocharis sphacelata R.Br.,Nano_2011,Eleocharis sphacelata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eleocharis spiralis (Rottb.) Roem. & Schult.,Nano_2011,Eleocharis spiralis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Elephantopus scaber L.,Nano_2011,Elephantopus scaber,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eleutheranthera ruderalis (Sw.) Sch.Bip.,Nano_2011,Eleutheranthera ruderalis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Elytrophorus spicatus (Willd.) A.Camus,Nano_2011,Elytrophorus spicatus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Embelia curvinervia S.T.Reynolds,Nano_2011,Embelia curvinervia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Emilia sonchifolia (L.) DC.,Nano_2011,Emilia sonchifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Emmenosperma cunninghamii Benth.,Nano_2011,Emmenosperma cunninghamii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Enchylaena tomentosa R.Br. var. tomentosa,Nano_2011,Enchylaena tomentosa var. tomentosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Varietas
Endiandra limnophila B.Hyland,Nano_2011,Endiandra limnophila,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Endospermum myrmecophilum L.S.Sm.,Nano_2011,Endospermum myrmecophilum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Enneapogon avenaceus (Lindl.) C.E.Hubb.,Nano_2011,Enneapogon avenaceus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Enneapogon clelandii N.T.Burb.,Nano_2011,Enneapogon clelandii,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Enneapogon cylindricus N.T.Burb.,Nano_2011,Enneapogon cylindricus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Enneapogon oblongus N.T.Burb.,Nano_2011,Enneapogon oblongus,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Enneapogon polyphyllus (Domin) N.T.Burb.,Nano_2011,Enneapogon polyphyllus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Enneapogon purpurascens (R.Br.) P.Beauv.,Nano_2011,Enneapogon purpurascens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Entada rheedii Spreng.,Nano_2011,Entada rheedii,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Enteropogon acicularis (Lindl.) Lazarides,Nano_2011,Enteropogon acicularis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Enteropogon ramosus B.K.Simon,Nano_2011,Enteropogon ramosus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Epipremnum amplissimum (Schott) Engl.,Nano_2011,Epipremnum amplissimum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eragrostis australasica (Steud.) C.E.Hubb.,Nano_2011,Eragrostis australasica,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eragrostis confertiflora J.M.Black,Nano_2011,Eragrostis confertiflora,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eragrostis cumingii Steud.,Nano_2011,Eragrostis cumingii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eragrostis desertorum Domin,Nano_2011,Eragrostis desertorum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eragrostis dielsii Pilg. ex Diels & E.Pritz.,Nano_2011,Eragrostis dielsii,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Eragrostis eriopoda Benth.,Nano_2011,Eragrostis eriopoda,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eragrostis falcata (Gaudich.) Gaudich. ex Steud.,Nano_2011,Eragrostis falcata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eragrostis lanicaulis Lazarides,Nano_2011,Eragrostis lanicaulis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eragrostis laniflora Benth.,Nano_2011,Eragrostis laniflora,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eragrostis leptocarpa Benth.,Nano_2011,Eragrostis leptocarpa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eragrostis olida Lazarides,Nano_2011,Eragrostis olida,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eragrostis setifolia Nees.,Nano_2011,Eragrostis setifolia,match_10_fuzzy. Imprecise fuzzy alignment with accepted canonical name in APC (2023-06-18),Species
Eragrostis sp. limestone (P.K.Latz 5921),Nano_2011,Eragrostis sp. Limestone (P.K.Latz 5921),match_07_fuzzy. Fuzzy alignment with accepted canonical name in APC (2023-06-18),Species
Eragrostis spartinoides Steud.,Nano_2011,Eragrostis spartinoides,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eragrostis sterilis Domin,Nano_2011,Eragrostis sterilis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eragrostis tenellula (Kunth) Steud.,Nano_2011,Eragrostis tenellula,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eragrostis xerophila Domin,Nano_2011,Eragrostis xerophila,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eremophea spinosa (Ewart & O.B.Davies) Paul G.Wilson,Nano_2011,Eremophea spinosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eremophila alternifolia R.Br.,Nano_2011,Eremophila alternifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eremophila christophori F.Muell.,Nano_2011,Eremophila christophori,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eremophila duttonii F.Muell.,Nano_2011,Eremophila duttonii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eremophila forrestii F.Muell. subsp. forrestii,Nano_2011,Eremophila forrestii subsp. forrestii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Eremophila freelingii F.Muell.,Nano_2011,Eremophila freelingii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eremophila gilesii F.Muell. subsp. gilesii,Nano_2011,Eremophila gilesii subsp. gilesii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Eremophila latrobei F.Muell. subsp. latrobei,Nano_2011,Eremophila latrobei subsp. latrobei,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Eremophila longifolia (R.Br.) F.Muell.,Nano_2011,Eremophila longifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eremophila macdonnellii F.Muell.,Nano_2011,Eremophila macdonnellii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eremophila ovata Chinnock,Nano_2011,Eremophila ovata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eremophila platythamnos Diels subsp. exotrachys (Kraenzl.) Chinnock,Nano_2011,Eremophila platythamnos,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Eremophila prostrata Chinnock,Nano_2011,Eremophila prostrata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eremophila serrulata (A.Cunn. ex DC.) Druce,Nano_2011,Eremophila serrulata,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Eremophila sturtii R.Br.,Nano_2011,Eremophila sturtii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eremophila willsii F.Muell. subsp. willsii,Nano_2011,Eremophila willsii subsp. willsii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Eriachne agrostidea F.Muell.,Nano_2011,Eriachne agrostidea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eriachne aristidea F.Muell.,Nano_2011,Eriachne aristidea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eriachne armittii F.Muell. ex Benth.,Nano_2011,Eriachne armittii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eriachne avenacea R.Br.,Nano_2011,Eriachne avenacea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eriachne basedowii Hartley,Nano_2011,Eriachne basedowii,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Eriachne burkittii Jansen,Nano_2011,Eriachne burkittii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eriachne capillaris R.Br.,Nano_2011,Eriachne capillaris,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eriachne ciliata R.Br.,Nano_2011,Eriachne ciliata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eriachne fastigiata Lazarides,Nano_2011,Eriachne fastigiata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eriachne filiformis Hartley,Nano_2011,Eriachne filiformis,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Eriachne helmsii Domin,Nano_2011,Eriachne helmsii,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Eriachne mucronata R.Br.,Nano_2011,Eriachne mucronata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eriachne obtusa R.Br.,Nano_2011,Eriachne obtusa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Eriachne pallescens R.Br. var. pallescens,Nano_2011,Eriachne pallescens var. pallescens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Varietas
Eriachne pulchella Domin subsp. pulchella,Nano_2011,Eriachne pulchella subsp. pulchella,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Eriachne sulcata Hartley,Nano_2011,Eriachne sulcata,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
