find,dataset_id,replace,reason,taxonomic_resolution
Acacia colei Maslin & L.Thomps.,Nano_2011,Acacia colei,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Acacia conjunctifolia F.Muell.,Nano_2011,Acacia conjunctifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia conspersa F.Muell.,Nano_2011,Acacia conspersa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia cowleana Tate,Nano_2011,Acacia cowleana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia cuthbertsonii Luehm. subsp. cuthbertsonii,Nano_2011,Acacia cuthbertsonii subsp. cuthbertsonii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Acacia cyperophylla F.Muell. ex Benth. var. cyperophylla,Nano_2011,Acacia cyperophylla var. cyperophylla,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Varietas
Acacia desmondii Maslin,Nano_2011,Acacia desmondii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia dictyophleba F.Muell.,Nano_2011,Acacia dictyophleba,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia difficilis Maiden,Nano_2011,Acacia difficilis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia dimidiata Benth.,Nano_2011,Acacia dimidiata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia dolichophylla Maslin,Nano_2011,Acacia dolichophylla,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia dunnii (Maiden) Turrill,Nano_2011,Acacia dunnii,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Acacia estrophiolata F.Muell.,Nano_2011,Acacia estrophiolata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia froggattii Maiden,Nano_2011,Acacia froggattii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia georginae F.M.Bailey,Nano_2011,Acacia georginae,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia gonocarpa F.Muell.,Nano_2011,Acacia gonocarpa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
