var_name,trait_name,unit
growth form,plant_growth_form,NA
leaf longevity,leaf_phenology,NA
leaf_type,leaf_compoundness,NA
N_fixer,nitrogen_fixing,NA
SLA (cm2/g),specific_leaf_area,cm2/g
Leaf size (cm2),leaf_area,cm2
Lamina_Thickness (mm),leaf_thickness,mm
leaf N per mass (%),leaf_N_per_dry_mass,%
Leaf N per area (g/m2),leaf_N_per_area,g/m2
"Leaf P per mass, %",leaf_P_per_dry_mass,%
Leaf P per area (g/m2),leaf_P_per_area,g/m2
