Collection Site,Location,Intertidal zone ,CollectionDate,Species,Specimen label,Diameter (mm),Support spam (mm),Maximum load (N),Maximum stress (MPa),Flex modulus (MPa),Flexure strain at Maximum Flexure Load (%),Flexure Stress at Present Point (% Maximum Flexure Load 100%),Extension at maximum flexure load (mm),Wood density (g/cm3),Fibre wall thickness (u),Vessel diameter (u)
Point Halloran,Point Halloran Reserve low intertidal zone,Low,19-Oct-2010,Rhizophora stylosa,B5,,120,47.6,21.1,750,6.2,21.122,16.833,0.490797546,2.627018,23.91403
Point Halloran,Point Halloran Reserve low intertidal zone,Low,19-Oct-2010,Rhizophora stylosa,B6,,120,27.4,10.9,302,5.7,10.896,15,0.535714286,2.497628,22.01968
Point Halloran,Point Halloran Reserve low intertidal zone,Low,19-Oct-2010,Rhizophora stylosa,B7,,120,29.6,12.4,388,5.7,12.426,15.167,0.496062992,2.278873,23.12376
Point Halloran,Point Halloran Reserve high intertidal zone,High,19-Oct-2010,Ceriops australis,B100,,120,99.4,47.7,2018,5.5,47.746,15.458,0.603174603,4.415094,27.11292
Point Halloran,Point Halloran Reserve high intertidal zone,High,19-Oct-2010,Ceriops australis,B101,,120,197.8,75.9,2586,5.8,75.87,15.083,0.637305699,5.526684,20.61108
Point Halloran,Point Halloran Reserve high intertidal zone,High,19-Oct-2010,Ceriops australis,B103,,120,123.7,50.7,1824,7.5,50.662,19.792,0.600619195,5.793286,24.21872
Point Halloran,Point Halloran Reserve high intertidal zone,High,19-Oct-2010,Ceriops australis,B104,,120,139.2,62.8,2581,4.7,62.832,12.958,0.63961039,5.694439,25.02725
Point Halloran,Point Halloran Reserve high intertidal zone,High,19-Oct-2010,Ceriops australis,B105,,120,78.5,35.8,951,7.7,35.819,21.25,0.609053498,5.226467,22.55914
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,26-Oct-2010,Avicennia marina,C1,,120,139.5,63,3062,7.4,62.996,20.208,0.576407507,4.862215,30.48386
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,26-Oct-2010,Avicennia marina,C2,,120,137.7,52.1,2401,6.1,52.145,15.792,0.548628429,3.955415,30.28101
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,26-Oct-2010,Avicennia marina,C3,,120,153.3,55.7,2716,5.1,55.676,13,0.528735632,3.590723,33.88537
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,26-Oct-2010,Avicennia marina,C4,,120,136.7,77.4,4790,5.3,77.438,15.583,0.512820513,4.772458,32.91799
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,26-Oct-2010,Avicennia marina,C7,,120,222.2,86.9,3349,5.1,86.897,13.375,0.548628429,3.736778,27.40434
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,26-Oct-2010,Aegiceras corniculatum,C60,,120,79.8,43.3,1768,5.7,43.282,16.458,0.54787234,4.226852,16.21245
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,26-Oct-2010,Aegiceras corniculatum,C61,,120,60.2,35.1,1627,5,35.136,14.75,0.577922078,4.242791,14.63756
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,26-Oct-2010,Aegiceras corniculatum,C63,,120,123.6,46.7,1669,5.5,46.661,14.042,0.6225,3.708935,17.47238
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,26-Oct-2010,Aegiceras corniculatum,C64,,120,49.7,29.4,1317,5.7,29.413,17.167,0.585434174,3.78951,19.28674
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,26-Oct-2010,Rhizophora stylosa,C40,,120,54.4,27.8,812,10.1,27.849,28.917,0.430412371,2.217212,23.9222
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,26-Oct-2010,Rhizophora stylosa,C41,,120,50.1,18.5,533,9.8,18.534,25.083,0.451485149,2.575533,19.07398
Tinchi Tamba,Tinchi Tamba Wetlands Reserve low intertidal zone,Low,26-Oct-2010,Rhizophora stylosa,C43,,120,69.4,28.3,821,13.1,28.25,34.528,0.415417559,3.203717,33.97759
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,26-Oct-2010,Avicennia marina,C81,,120,103.8,43,1831,7,42.953,18.708,0.629166667,4.452101,26.12391
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,26-Oct-2010,Avicennia marina,C82,,120,62.9,29.7,1070,5.1,29.685,14.208,0.554621849,4.678064,24.78597
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,26-Oct-2010,Avicennia marina,C83,,120,116.5,44.1,1911,5.1,44.098,13.167,0.561688312,3.280965,29.82267
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,26-Oct-2010,Avicennia marina,C84,,120,65.1,31.4,923,7.6,31.373,21.208,0.50755287,3.489959,29.99288
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,26-Oct-2010,Avicennia marina,C85,,120,80.1,39.5,1468,10.9,39.455,30.542,0.608910891,4.347578,25.75113
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,26-Oct-2010,Ceriops australis,C10,,120,151.3,59.4,1659,8.4,59.366,21.792,0.61627907,5.212955,23.5854
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,26-Oct-2010,Ceriops australis,C11,,120,102.8,49.1,2032,8.1,49.062,22.417,0.655391121,5.833179,23.50815
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,26-Oct-2010,Ceriops australis,C12,,120,49.9,27.7,842,5.9,27.746,17.292,0.585507246,5.246173,23.0097
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,26-Oct-2010,Ceriops australis,C13,,120,76.1,40.7,1408,9,40.671,25.917,0.601351351,6.405447,22.15941
Tinchi Tamba,Tinchi Tamba Wetlands Reserve high intertidal zone,High,26-Oct-2010,Ceriops australis,C14,,120,58,33.1,1251,5.9,33.106,17.375,0.604166667,5.35798,20.03697
