Abbreviation,Taxon
Ang_cos,Angophora costata
Ang_his,Anophora hispida
Cor_gum,Corymbia gummifera
Cor_macu,Corymbia maculata
Euc_euge,Eucalyptus eugenioides
Euc_haem,Eucalyptus haemastoma
Euc_pilu,Eucalyptus pilularis
Euc_pipe,Eucalyptus piperita
Euc_punc,Eucalyptus punctata
Syn_glo,Syncarpia glomulifera
