Material,Species,rep,MassLoss_12 (%),MassLoss_24 (%),Bark dry_massFlamm (g),Bark thicknFlam (mm),dry_massFlam (g),FMC (%odw),TTI (s),FD (s),SD (s),TBT (s),Combustibility (mg/s),FD/mass (s/g),SD/mass (s/g),Bark thickness (mm),Bark area (cm2),Bark dry mass (g),Bark volume (cm3),Bark density (g/cm3),Bark MaxFlexLoad (Newton),Bark MFLperTHICKN (N/mm),BAM (cm2/g),Bark Energy (MJ/kg),Bark C (wght %),Bark N (wght %),Bark Al (mg/kg),Bark B (mg/kg),Bark Ca (wght %),Bark Cu (mg/kg),Bark Fe (mg/kg),Bark K (wght %),Bark Mg (wght %),Bark Mn (mg/kg),Bark Na (mg/kg),Bark P (mg/kg),Bark S (wght %),Bark Zn (mg/kg),Bark Lignin (wght %),Bark Cellulose (wght %),Bark Ash (wght %),Bark Free Tannins (wt%),Bark Bound Tannins (wt%),Bark Total Tannins (wt%)
BARK,Ang_cos,1,20.44243198,65.29229607,11.60000000,1.40000000,0.49120555,13.84204609,8.80000000,10.80000000,69.20000000,80.00000000,7.17000000,21.98672245,140.87788827,1.46333333,16.30000000,0.72900000,1.52347000,0.47851287,9.54000000,7.17000000,22.35939643,18.97885000,45.13000000,0.20100000,804.06330532,56.14192344,0.51698530,16.83613445,57.51428571,0.09439032,0.13289693,8.48954248,1398.92773109,41.26386555,0.08360850,103.66788049,25.20531873,52.89401643,0.72350411,5.45818321,2.54591302,8.00409623
BARK,Ang_cos,2,18.45905309,54.07758212,12.30000000,2.07000000,0.68546279,15.00619579,8.80000000,26.00000000,104.20000000,130.20000000,6.15000000,37.93057819,152.01408643,1.88333333,20.50000000,0.98000000,1.98756100,0.49306663,15.87900000,7.22000000,20.91836735,18.70875000,45.06000000,0.20100000,175.07913810,50.54162586,0.20721105,4.88364349,18.34025465,0.18603000,0.08849801,7.37571009,965.09461312,26.79637610,0.16089491,23.25514202,27.59991630,50.36618539,0.06277464,7.99402750,1.82842172,9.82244923
BARK,Ang_cos,3,21.70547341,46.90900753,12.20000000,2.51000000,0.76248108,,11.00000000,19.70000000,110.30000000,130.00000000,6.85000000,25.83670658,144.65932669,2.11333333,15.10000000,0.92800000,2.23547000,0.41512523,24.55800000,13.06000000,16.27155172,18.86375000,45.87000000,0.10100000,37.47582583,63.38588589,0.14597853,2.05705706,15.39489489,0.07083926,0.04590560,9.35030030,540.31201201,30.01666667,0.15655233,4.24106607,30.07721314,48.44675884,0.55665290,11.29334446,6.91794180,18.21128626
BARK,Ang_cos,4,21.45954099,55.92007299,12.70000000,1.73000000,0.70001069,,8.10000000,31.10000000,91.00000000,122.10000000,6.70000000,44.42789291,129.99801461,2.35666667,15.20000000,0.90600000,2.31764000,0.39091490,26.96300000,12.96000000,16.77704194,18.71000000,44.89000000,0.17400000,33.70211538,69.57519231,0.11799835,1.69846154,51.96096154,0.07346100,0.06581229,6.97394231,493.64096154,59.73307692,0.22279010,10.25432692,31.98555957,49.60288809,0.66787004,10.98519643,6.13483234,17.12002876
BARK,Ang_cos,5,,55.93917740,11.00000000,1.31000000,0.42873515,,3.90000000,21.80000000,60.30000000,82.10000000,6.10000000,50.84724169,140.64626944,1.36000000,18.30000000,0.62900000,1.63245000,0.38531042,11.72600000,7.42000000,29.09379968,18.75260000,45.69000000,0.10890000,32.27123656,49.69050179,0.17522785,3.15878136,10.88969534,0.14553372,0.09033883,8.14668459,827.68960573,52.97016129,0.22516281,8.87060932,27.17927632,47.88240132,0.96628289,12.11749172,2.98693048,15.10442220
BARK,Ang_cos,6,32.71292574,56.96363173,14.50000000,1.39000000,0.65037668,,3.50000000,42.40000000,51.20000000,93.60000000,8.12000000,65.19298931,78.72360973,1.94000000,17.30000000,0.70700000,1.56090000,0.45294381,13.90800000,11.40000000,24.46958982,18.58975000,44.34000000,0.19420000,35.04283452,69.18448139,0.46279414,1.65993666,17.55843230,0.10185608,0.12041285,8.34829770,994.06302454,101.12034838,0.25445582,21.94433888,28.21928614,44.66574640,0.09859988,5.55887807,1.92783199,7.48671006
BARK,Ang_cos,7,20.77727763,47.52783905,14.30000000,2.42000000,0.64353061,,6.50000000,32.50000000,79.70000000,112.20000000,6.70000000,50.50264815,123.84803255,2.64333333,13.70000000,1.09200000,1.88543000,0.57917822,25.33400000,18.36000000,12.54578755,18.45875000,47.06000000,0.11580000,45.02977316,60.94612476,0.16419337,2.32514178,35.06020794,0.04907844,0.05802834,13.37826087,382.89376181,26.95293006,0.48573790,5.19858223,29.27429274,51.96801968,0.16400164,5.55871235,2.44768883,8.00640119
BARK,Ang_cos,8,34.85129631,46.61630822,13.70000000,1.92000000,0.64010758,,6.00000000,35.00000000,78.10000000,113.10000000,6.61000000,54.67830931,122.01074164,1.60000000,15.10000000,0.56500000,1.41895000,0.39818175,10.46600000,7.58000000,26.72566372,,,,,,,,,,,,,,,,,,,,,
BARK,Ang_cos,9,21.81313958,47.11939388,14.30000000,2.12000000,0.70856828,,5.60000000,30.90000000,87.50000000,118.40000000,6.99000000,43.60906483,123.48845219,2.22000000,16.40000000,0.91600000,2.71934000,0.33684644,13.52900000,6.47000000,17.90393013,,,,,,,,,,,,,,,,,,,,,
BARK,Ang_his,1,10.83405670,37.80707021,10.10000000,1.07000000,0.36222489,13.45462238,6.40000000,37.70000000,48.40000000,86.10000000,4.82000000,104.07898871,133.61864864,1.41333333,16.30000000,0.38000000,0.21459000,1.77081877,19.52400000,12.44000000,42.89473684,19.81195000,46.65000000,0.23630000,131.96014109,46.42689594,0.34578811,6.90608466,113.56305115,0.02052601,0.06918140,11.15379189,298.96084656,30.97795414,0.57544418,19.56895944,46.41426282,35.97756410,0.06009615,2.00195790,0.45177347,2.45373137
BARK,Ang_his,2,14.24701302,43.98191746,13.00000000,1.39000000,0.55861188,11.97916667,6.60000000,14.70000000,95.10000000,109.80000000,5.83000000,26.31523005,170.24342705,1.40000000,14.40000000,0.40000000,0.31104000,1.28600823,11.90900000,8.51000000,36.00000000,21.32080000,46.62000000,0.25110000,129.53841463,42.01432927,0.17026150,4.63160569,115.23119919,0.02377098,0.09383268,12.45203252,262.03211382,56.52245935,0.63990722,21.02103659,44.81147814,37.67100434,1.76843510,2.63434993,2.25026401,4.88461394
BARK,Ang_his,3,11.95596413,33.27050330,11.10000000,1.25000000,0.41808608,,6.10000000,15.10000000,63.00000000,78.10000000,6.13000000,36.11696465,150.68667371,2.07666667,19.60000000,0.69600000,0.50000000,1.39200000,19.04900000,8.28000000,28.16091954,19.56330000,46.90000000,0.22450000,127.78052632,23.68771930,0.09913561,5.90280702,150.36008772,0.01564881,0.06801783,15.03675439,144.46017544,32.61666667,0.50634096,43.62061404,42.42118027,41.99676637,0.20210186,1.96413460,1.82586876,3.79000336
BARK,Ang_his,4,17.01036291,70.66342370,10.10000000,1.09000000,0.34651393,,3.10000000,9.00000000,45.60000000,54.60000000,7.27000000,25.97298190,131.59644164,1.69666667,17.20000000,1.01200000,1.11654000,0.90637147,21.93900000,18.59000000,16.99604743,19.91235000,46.21000000,0.23540000,205.85119847,55.92138063,0.10533993,6.96452541,194.32933845,0.01460512,0.06766576,16.29894535,170.39079578,52.14285714,0.48434966,46.38053691,32.52542740,47.95498810,1.23349924,1.17610252,0.34612165,1.52222416
BARK,Ang_his,5,20.96861086,53.83252012,10.90000000,1.05000000,0.29065274,,2.50000000,6.90000000,39.60000000,46.50000000,7.16000000,23.73966944,136.24505942,1.27333333,14.50000000,0.43100000,0.69117000,0.62358031,9.80300000,6.37000000,33.64269142,19.59630000,47.05000000,0.24780000,173.14226021,58.53751187,0.17164742,7.69753086,167.35375119,0.01531938,0.06932838,19.69202279,204.48110161,48.55080722,0.38707094,43.74577398,35.68093385,44.92217899,3.61867704,1.13485549,0.51565446,1.65050995
BARK,Ang_his,6,20.69055813,68.43755299,15.30000000,1.34000000,0.42594155,,3.90000000,9.70000000,50.60000000,60.30000000,8.09000000,22.77307742,118.79564095,1.72333333,19.30000000,0.79100000,0.76385000,1.03554363,20.61800000,14.22000000,24.39949431,19.93465000,44.73000000,0.21450000,304.96938175,18.21982336,0.11532253,7.21187439,221.99852797,0.00956132,0.05747587,14.18557409,126.03886163,27.02443572,0.34891531,22.26692836,34.49566588,47.22222222,0.33490938,0.83283767,0.36491988,1.19775755
