species,entity_type,individual_code,leaf_replicate,live_or_dead,Species,Sampled,individual,date,location_name,SWC,Po (MPa),YTLP (MPa),RWCTLP ,e (MPa),CFT (MPa-1),CTLP (MPa-1),CFT* (mol m-2 MPa-1),Leaf dry mass(g),Leaf area (cm2),LMA (gm-2),P88 (Mpa),MS (%),MT (%),ML (%),Moisture_content - Flaming,Moisture_content - Non-flaming,Leaf area (cm2) Flaming,Leaf area (cm2) Non-flaming,Time to ignition (s) Flaming ,Time to ignition (s) Non-flaming,Combustion time (s)Flaming,Combustion time (s) Non-flaming,est. dry mass (g),mass after rehy (g),mass when burned (g),leaf water potential (MPa),time to smoke (s),flame (y/n),time to flame (s),flame duration (s),time to ash (s)
Eucalyptus crebra,individual,cre_7,18,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.254,,219.4595528,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_7,19,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.215,,230.901657,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_7,20,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.206,,213.0961001,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_8,2,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.206,,141.9430301,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_8,3,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.226,,128.1659018,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_8,4,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.168,,135.826453,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_8,5,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.199,,130.6285639,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_8,6,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.229,,125.3422407,,,,,,,,,,,,,,,,,,,,,
Eucalyptus sideroxylon,population,,,,,,,,Hawkesbury Institute for the Environment,,,,,,,,,,,,-6.8,108,97,59,,,,,,,,,,,,,,,,,
Eucalyptus crebra,population,,,,,,,,Hawkesbury Institute for the Environment,,,,,,,,,,,,-6.2,117,107,71,,,,,,,,,,,,,,,,,
Eucalyptus moluccana,population,,,,,,,,Hawkesbury Institute for the Environment,,,,,,,,,,,,-7.8,138,125,71,,,,,,,,,,,,,,,,,
Eucalyptus fibrosa,population,,,,,,,,Hawkesbury Institute for the Environment,,,,,,,,,,,,-7.6,119,109,77,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,population,,,,,,,,Hawkesbury Institute for the Environment,,,,,,,,,,,,-5.5,152,136,80,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_6,2,live,,,,,Hawkesbury Institute for the Environment,,,,,,,,,,,,,,,,,116.48261234161532,,6.422,,13.761,,17.326999999999998,0.11733043926834237,0.255,0.254,-0.164,9.562999999999999,no,,,31.087999999999997
Eucalyptus crebra,individual,cre_6,3,live,,,,,Hawkesbury Institute for the Environment,,,,,,,,,,,,,,,,,129.9949563041492,,7.306,,13.928000000000004,,20.258999999999993,0.1334811879935393,0.309,0.307,-0.204,10.263000000000002,no,,,34.187
Eucalyptus crebra,individual,cre_6,4,live,,,,,Hawkesbury Institute for the Environment,,,,,,,,,,,,,,,,103.37668447471364,,8.639,,14.229000000000003,,14.393999999999998,,0.15783520162553874,0.326,0.321,-0.212,9.297,yes,14.229000000000003,2.164999999999999,28.623
Eucalyptus crebra,individual,cre_6,5,live,,,,,Hawkesbury Institute for the Environment,,,,,,,,,,,,,,,,,108.0324145174602,,7.288,,13.329,,20.591,0.13315232659415746,0.281,0.277,-0.249,9.93,no,,,33.92
Eucalyptus crebra,individual,cre_6,6,live,,,,,Hawkesbury Institute for the Environment,,,,,,,,,,,,,,,,,114.38393130328942,,8.655,,14.060999999999996,,22.225000000000005,0.1581275228694337,0.343,0.339,-0.27,10.229,no,,,36.286
Eucalyptus crebra,individual,cre_6,7,live,,,,,Hawkesbury Institute for the Environment,,,,,,,,,,,,,,,,,114.77547895521998,,7.365,,13.660999999999998,,19.825999999999997,0.134559123,0.296,0.289,-0.294,10.796000000000003,no,,,33.486999999999995
Eucalyptus crebra,individual,cre_6,8,live,,,,,Hawkesbury Institute for the Environment,,,,,,,,,,,,,,,,,98.48443424940334,,9.238,,13.793999999999997,,22.35900000000001,0.16877897819385657,0.343,0.335,-0.399,9.829,no,,,36.153000000000006
Eucalyptus crebra,individual,cre_6,9,live,,,,,Hawkesbury Institute for the Environment,,,,,,,,,,,,,,,,,98.09499601072858,,5.247,,12.961999999999996,,20.358000000000004,0.095863098,0.207,0.1899,-2.86,8.329999999999998,no,,,33.32
