species,entity_type,individual_code,leaf_replicate,live_or_dead,Species,Sampled,individual,date,location_name,SWC,Po (MPa),YTLP (MPa),RWCTLP ,e (MPa),CFT (MPa-1),CTLP (MPa-1),CFT* (mol m-2 MPa-1),Leaf dry mass(g),Leaf area (cm2),LMA (gm-2),P88 (Mpa),MS (%),MT (%),ML (%),Moisture_content - Flaming,Moisture_content - Non-flaming,Leaf area (cm2) Flaming,Leaf area (cm2) Non-flaming,Time to ignition (s) Flaming ,Time to ignition (s) Non-flaming,Combustion time (s)Flaming,Combustion time (s) Non-flaming,est. dry mass (g),mass after rehy (g),mass when burned (g),leaf water potential (MPa),time to smoke (s),flame (y/n),time to flame (s),flame duration (s),time to ash (s)
Eucalyptus crebra,individual,cre_1,,,E. crebra,Aug '22,1,8/9/2025,Hawkesbury Institute for the Environment,1.118746744,-2.354931749,-2.774819923,90.99836428,28.3104589,0.030359882,0.142388152,0.418482347,0.388,17.5,221.7776508,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_6,,,E. crebra,Aug '22,6,8/9/2025,Hawkesbury Institute for the Environment,1.09753972,-2.513908935,-2.80171598,93.90204533,41.59596984,0.02160538,0.155191784,0.313546609,0.392,16.47,238.0085003,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_9,,,E. crebra,Aug '22,9,8/9/2025,Hawkesbury Institute for the Environment,1.028947715,-2.577982056,-3.046163969,89.83641578,28.4248569,0.030400958,0.157411339,0.377674819,0.357,16.427,217.3251354,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_3,,,E. crebra,Aug '22,3,13/10/2025,Hawkesbury Institute for the Environment,1.416024949,-1.915068211,-2.280343985,88.20549799,17.80130781,0.047926264,0.190840036,0.62166141,0.253,15.344,164.8852972,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_8,,,E. crebra,Aug '22,8,13/10/2025,Hawkesbury Institute for the Environment,1.183322399,-2.040026511,-2.29356736,93.5086564,30.90033604,0.02876316,0.159081092,0.315990391,0.169,10.113,167.1116385,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_10,,,E. crebra,Aug '22,10,13/10/2025,Hawkesbury Institute for the Environment,1.19434727,-1.888396616,-2.19068507,92.54118845,23.9707922,0.035762892,0.150062188,0.429839675,0.209,11.538,181.140579,,,,,,,,,,,,,,,,,,,,,
Eucalyptus moluccana,individual,mol_6,4,,E. moluccana,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,1.077,,233.227944,,,,,,,,,,,,,,,,,,,,,
Eucalyptus moluccana,individual,mol_7,10,,E. moluccana,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,1.539,,195.9386339,,,,,,,,,,,,,,,,,,,,,
Eucalyptus moluccana,individual,mol_7,11,,E. moluccana,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,1.387,,188.3896555,,,,,,,,,,,,,,,,,,,,,
Eucalyptus moluccana,individual,mol_7,15,,E. moluccana,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,1.434,,187.8192534,,,,,,,,,,,,,,,,,,,,,
Eucalyptus moluccana,individual,mol_8,10,,E. moluccana,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,1.325,,183.9920016,,,,,,,,,,,,,,,,,,,,,
Eucalyptus moluccana,individual,mol_8,11,,E. moluccana,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,1.837,,206.1404493,,,,,,,,,,,,,,,,,,,,,
Eucalyptus moluccana,individual,mol_8,12,,E. moluccana,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,1.321,,205.8081202,,,,,,,,,,,,,,,,,,,,,
Eucalyptus moluccana,individual,mol_9,12,,E. moluccana,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,1.443,,191.6971106,,,,,,,,,,,,,,,,,,,,,
Eucalyptus moluccana,individual,mol_9,13,,E. moluccana,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,1.407,,185.9020942,,,,,,,,,,,,,,,,,,,,,
Eucalyptus moluccana,individual,mol_9,14,,E. moluccana,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,1.043,,185.8484346,,,,,,,,,,,,,,,,,,,,,
Eucalyptus moluccana,individual,mol_9,23,,E. moluccana,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,1.172,,224.7449567,,,,,,,,,,,,,,,,,,,,,
Eucalyptus moluccana,individual,mol_9,24,,E. moluccana,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,1.599,,209.7764484,,,,,,,,,,,,,,,,,,,,,
Eucalyptus moluccana,individual,mol_9,31,,E. moluccana,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.932,,148.4596515,,,,,,,,,,,,,,,,,,,,,
Eucalyptus moluccana,individual,mol_9,34,,E. moluccana,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.856,,143.007554,,,,,,,,,,,,,,,,,,,,,
Eucalyptus fibrosa,individual,fib_2,6,,E. fibrosa,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.693,,227.0493415,,,,,,,,,,,,,,,,,,,,,
Eucalyptus fibrosa,individual,fib_2,7,,E. fibrosa,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.583,,228.3766844,,,,,,,,,,,,,,,,,,,,,
Eucalyptus fibrosa,individual,fib_2,8,,E. fibrosa,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.865,,213.3853023,,,,,,,,,,,,,,,,,,,,,
Eucalyptus fibrosa,individual,fib_3,11,,E. fibrosa,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,1.089,,221.7787101,,,,,,,,,,,,,,,,,,,,,
Eucalyptus fibrosa,individual,fib_3,12,,E. fibrosa,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,1.1,,226.2210797,,,,,,,,,,,,,,,,,,,,,
Eucalyptus fibrosa,individual,fib_3,13,,E. fibrosa,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.829,,215.7786512,,,,,,,,,,,,,,,,,,,,,
Eucalyptus fibrosa,individual,fib_3,14,,E. fibrosa,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,1.267,,237.8940649,,,,,,,,,,,,,,,,,,,,,
Eucalyptus fibrosa,individual,fib_3,15,,E. fibrosa,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.819,,218.3126749,,,,,,,,,,,,,,,,,,,,,
Eucalyptus fibrosa,individual,fib_10,1a,,E. fibrosa,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.578,,211.6208399,,,,,,,,,,,,,,,,,,,,,
