Taxon,trait value,trait,units,primary_source_id,metadata_id
Cleistochloa subjuncea,all year,flowering time,NA,78,81
Cymbopogon ambiguus,all year,flowering time,NA,78,81
Cymbopogon bombycinus,all year,flowering time,NA,78,81
Cymbopogon obtectus,all year,flowering time,NA,78,81
Cymbopogon refractus,all year,flowering time,NA,78,81
Dichanthium tenue,all year,flowering time,NA,78,81
Digitaria brownii,all year,flowering time,NA,78,81
Digitaria diminuta,all year,flowering time,NA,78,81
Digitaria longiflora,all year,flowering time,NA,78,81
Echinochloa elliptica,all year,flowering time,NA,78,81
Entolasia marginata,all year,flowering time,NA,78,81
Entolasia stricta,all year,flowering time,NA,78,81
Entolasia whiteana,all year,flowering time,NA,78,81
Eragrostis alveiformis,all year,flowering time,NA,78,81
Eragrostis australasica,all year,flowering time,NA,78,81
Eragrostis basedowii,all year,flowering time,NA,78,81
Eragrostis brownii,all year,flowering time,NA,78,81
Eragrostis cumingii,all year,flowering time,NA,78,81
Eragrostis dielsii,all year,flowering time,NA,78,81
Eragrostis elongata,all year,flowering time,NA,78,81
Eragrostis eriopoda,all year,flowering time,NA,78,81
Eragrostis falcata,all year,flowering time,NA,78,81
Eragrostis fallax,all year,flowering time,NA,78,81
Eragrostis interrupta,all year,flowering time,NA,78,81
Eragrostis lacunaria,all year,flowering time,NA,78,81
Eragrostis laniflora,all year,flowering time,NA,78,81
Eragrostis leptocarpa,all year,flowering time,NA,78,81
Eragrostis leptostachya,all year,flowering time,NA,78,81
Eragrostis microcarpa,all year,flowering time,NA,78,81
Eragrostis olida,all year,flowering time,NA,78,81
Eragrostis parviflora,all year,flowering time,NA,78,81
Eragrostis pergracilis,all year,flowering time,NA,78,81
Eragrostis potamophila,all year,flowering time,NA,78,81
Eragrostis pubescens,all year,flowering time,NA,78,81
Eragrostis schultzii,all year,flowering time,NA,78,81
Eragrostis setifolia,all year,flowering time,NA,78,81
Eragrostis sororia,all year,flowering time,NA,78,81
Eragrostis spartinoides,all year,flowering time,NA,78,81
Eragrostis speciosa,all year,flowering time,NA,78,81
Eragrostis stagnalis,all year,flowering time,NA,78,81
Eragrostis xerophila,all year,flowering time,NA,78,81
Eriachne aristidea,all year,flowering time,NA,78,81
Eriachne pulchella,all year,flowering time,NA,78,81
Eriachne pulchella subsp. dominii,all year,flowering time,NA,78,81
Eriachne pulchella subsp. pulchella,all year,flowering time,NA,78,81
Eriochloa procera,all year,flowering time,NA,78,81
Heteropogon contortus,all year,flowering time,NA,78,81
Hymenachne acutigluma,all year,flowering time,NA,78,81
Isachne globosa,all year,flowering time,NA,78,81
Micraira subulifolia,all year,flowering time,NA,78,81
Panicum decompositum,all year,flowering time,NA,78,81
Panicum decompositum var. decompositum,all year,flowering time,NA,78,81
Panicum decompositum var. tenuius,all year,flowering time,NA,78,81
Panicum distachyum var. trichophorum,all year,flowering time,NA,78,81
Panicum effusum,all year,flowering time,NA,78,81
Panicum laevinode,all year,flowering time,NA,78,81
Panicum mindanaense,all year,flowering time,NA,78,81
Panicum paludosum,all year,flowering time,NA,78,81
Panicum trachyrhachis,all year,flowering time,NA,78,81
Pseudoraphis spinescens,all year,flowering time,NA,78,81
Sehima nervosum,all year,flowering time,NA,78,81
Sporobolus creber,all year,flowering time,NA,78,81
Sporobolus elongatus,all year,flowering time,NA,78,81
Sporobolus laxus,all year,flowering time,NA,78,81
Sporobolus scabridus,all year,flowering time,NA,78,81
Sporobolus sessilis,all year,flowering time,NA,78,81
Sporobolus virginicus,all year,flowering time,NA,78,81
Themeda triandra,all year,flowering time,NA,78,81
Thyridolepis multiculmis,all year,flowering time,NA,78,81
Thyridolepis xerophila,all year,flowering time,NA,78,81
Triodia angusta,all year,flowering time,NA,78,81
Triodia basedowii,all year,flowering time,NA,78,81
Triodia brizoides,all year,flowering time,NA,78,81
Triodia epactia,all year,flowering time,NA,78,81
Triodia irritans,all year,flowering time,NA,78,81
Triodia longiceps,all year,flowering time,NA,78,81
Triodia marginata,all year,flowering time,NA,78,81
Triodia melvillei,all year,flowering time,NA,78,81
Triodia mitchellii,all year,flowering time,NA,78,81
Triodia pungens,all year,flowering time,NA,78,81
Triodia wiseana,all year,flowering time,NA,78,81
Triraphis mollis,all year,flowering time,NA,78,81
Urochloa piligera,all year,flowering time,NA,78,81
Whiteochloa airoides,all year,flowering time,NA,78,81
Eragrostis uvida,apr,flowering time,NA,78,81
Ischaemum barbatum,apr,flowering time,NA,78,81
Scrotochloa tararaensis,apr,flowering time,NA,78,81
Themeda intermedia,apr,flowering time,NA,78,81
Urochloa argentea,apr,flowering time,NA,78,81
Eragrostis concinna,apr-aug,flowering time,NA,78,81
Eragrostis unioloides,apr-aug,flowering time,NA,78,81
Eriachne lanata,apr-aug,flowering time,NA,78,81
Eriachne vesiculosa,apr-aug,flowering time,NA,78,81
Oplismenus compositus,apr-aug,flowering time,NA,78,81
Oplismenus mollis,apr-aug,flowering time,NA,78,81
Paspalidium constrictum,apr-aug,flowering time,NA,78,81
Spathia neurosa,apr-aug,flowering time,NA,78,81
Triodia roscida,apr-aug,flowering time,NA,78,81
Ischaemum fragile,apr-dec,flowering time,NA,78,81
Eragrostis infecunda,apr-feb,flowering time,NA,78,81
Chrysopogon elongatus,apr-jan,flowering time,NA,78,81
Elytrophorus spicatus,apr-jul,flowering time,NA,78,81
Eriachne filiformis,apr-jul,flowering time,NA,78,81
Eriachne minuta,apr-jul,flowering time,NA,78,81
Eriachne squarrosa,apr-jul,flowering time,NA,78,81
Triodia bunglensis,apr-jul,flowering time,NA,78,81
Yakirra muelleri,apr-jul,flowering time,NA,78,81
Digitaria oraria,apr-jun,flowering time,NA,78,81
Eriachne basalis,apr-jun,flowering time,NA,78,81
Iseilema ciliatum,apr-jun,flowering time,NA,78,81
Phragmites australis,apr-jun,flowering time,NA,78,81
Chrysopogon rigidus,apr-may,flowering time,NA,78,81
Eriachne major,apr-may,flowering time,NA,78,81
Eulalia annua,apr-may,flowering time,NA,78,81
Chrysopogon oliganthus,apr-oct,flowering time,NA,78,81
Ischaemum decumbens,apr-oct,flowering time,NA,78,81
Paspalidium tabulatum,apr-oct,flowering time,NA,78,81
Thaumastochloa brassii,apr-oct,flowering time,NA,78,81
Cyrtococcum oxyphyllum,apr-sep,flowering time,NA,78,81
Dimeria ornithopoda,apr-sep,flowering time,NA,78,81
Echinochloa lacunaria,apr-sep,flowering time,NA,78,81
Eragrostis confertiflora,apr-sep,flowering time,NA,78,81
Eragrostis filicaulis,apr-sep,flowering time,NA,78,81
Paspalidium clementii,apr-sep,flowering time,NA,78,81
Paspalidium flavidum,apr-sep,flowering time,NA,78,81
Paspalidium reflexum,apr-sep,flowering time,NA,78,81
Pheidochloa gracilis,apr-sep,flowering time,NA,78,81
Sacciolepis myosuroides,apr-sep,flowering time,NA,78,81
Neurachne alopecuroides,aug-dec,flowering time,NA,78,81
Triodia compacta,aug-feb,flowering time,NA,78,81
Echinopogon ovatus,aug-jan,flowering time,NA,78,81
Poa fax,aug-nov,flowering time,NA,78,81
Triodia lanata,aug-nov,flowering time,NA,78,81
Eriachne scleranthoides,aug-oct,flowering time,NA,78,81
Eriachne mucronata,aug-sep,flowering time,NA,78,81
Neurachne lanigera,aug-sep,flowering time,NA,78,81
Notochloe microdon,dec,flowering time,NA,78,81
Plinthanthesis urvillei,dec,flowering time,NA,78,81
Rytidosperma alpicola,dec,flowering time,NA,78,81
Rytidosperma remotum,dec,flowering time,NA,78,81
Deyeuxia frigida,dec-apr,flowering time,NA,78,81
Dichelachne sieberiana,dec-apr,flowering time,NA,78,81
Echinochloa telmatophila,dec-apr,flowering time,NA,78,81
Eriachne insularis,dec-apr,flowering time,NA,78,81
Poa gunnii,dec-apr,flowering time,NA,78,81
Triodia latzii,dec-apr,flowering time,NA,78,81
Eragrostis longipedicellata,dec-aug,flowering time,NA,78,81
Eragrostis trachycarpa,dec-aug,flowering time,NA,78,81
Eriachne obtusa,dec-aug,flowering time,NA,78,81
Eriachne triseta,dec-aug,flowering time,NA,78,81
Chionochloa frigida,dec-feb,flowering time,NA,78,81
Deyeuxia valida,dec-feb,flowering time,NA,78,81
Distichlis distichophylla,dec-feb,flowering time,NA,78,81
Eriachne glandulosa,dec-feb,flowering time,NA,78,81
Festuca asperula,dec-feb,flowering time,NA,78,81
Festuca plebeia,dec-feb,flowering time,NA,78,81
Hierochloe redolens,dec-feb,flowering time,NA,78,81
Hierochloe submutica,dec-feb,flowering time,NA,78,81
Leptochloa decipiens,dec-feb,flowering time,NA,78,81
Leptochloa decipiens subsp. asthenes,dec-feb,flowering time,NA,78,81
Leptochloa decipiens subsp. peacockii,dec-feb,flowering time,NA,78,81
Paspalidium aversum,dec-feb,flowering time,NA,78,81
Poa clivicola,dec-feb,flowering time,NA,78,81
Poa fawcettiae,dec-feb,flowering time,NA,78,81
Triodia burbidgeana,dec-feb,flowering time,NA,78,81
Deyeuxia pungens,dec-jan,flowering time,NA,78,81
Eragrostis subtilis,dec-jan,flowering time,NA,78,81
Plinthanthesis rodwayi,dec-jan,flowering time,NA,78,81
Poa cheelii,dec-jan,flowering time,NA,78,81
Rytidosperma diemenicum,dec-jan,flowering time,NA,78,81
Tetrarrhena acuminata,dec-jan,flowering time,NA,78,81
Tetrarrhena distichophylla,dec-jan,flowering time,NA,78,81
Triodia claytonii,dec-jan,flowering time,NA,78,81
Triodia longiloba,dec-jan,flowering time,NA,78,81
Eragrostis exigua,dec-jul,flowering time,NA,78,81
Eragrostis megalosperma,dec-jul,flowering time,NA,78,81
Eriachne glabrata,dec-jul,flowering time,NA,78,81
Eulalia trispicata,dec-jul,flowering time,NA,78,81
Iseilema membranaceum,dec-jul,flowering time,NA,78,81
Iseilema vaginiflorum,dec-jul,flowering time,NA,78,81
Pseudopogonatherum irritans,dec-jul,flowering time,NA,78,81
Sorghum nitidum,dec-jul,flowering time,NA,78,81
Triodia plectrachnoides,dec-jul,flowering time,NA,78,81
Dactyloctenium radulans,dec-jun,flowering time,NA,78,81
Deyeuxia ramosa,dec-jun,flowering time,NA,78,81
Eragrostis triquetra,dec-jun,flowering time,NA,78,81
Mnesithea rottboellioides,dec-jun,flowering time,NA,78,81
Paspalum scrobiculatum,dec-jun,flowering time,NA,78,81
Urochloa praetervisa,dec-jun,flowering time,NA,78,81
Calyptochloa cylindropserma,dec-mar,flowering time,NA,78,81
Deyeuxia carinata,dec-mar,flowering time,NA,78,81
Deyeuxia contracta,dec-mar,flowering time,NA,78,81
Deyeuxia crassiuscula,dec-mar,flowering time,NA,78,81
Dichelachne rara,dec-mar,flowering time,NA,78,81
Festuca muelleri,dec-mar,flowering time,NA,78,81
Lachnagrostis meionectes,dec-mar,flowering time,NA,78,81
Poa jugicola,dec-mar,flowering time,NA,78,81
Eriachne helmsii,dec-may,flowering time,NA,78,81
Triodia racemigera,dec-may,flowering time,NA,78,81
Urochloa gilesii,dec-may,flowering time,NA,78,81
Urochloa gilesii var. gilesii,dec-may,flowering time,NA,78,81
Urochloa gilesii var. nothochthona,dec-may,flowering time,NA,78,81
Urochloa whiteana,dec-may,flowering time,NA,78,81
Dichanthium fecundum,dec-oct,flowering time,NA,78,81
Elionurus citreus,dec-oct,flowering time,NA,78,81
Heteropogon triticeus,dec-oct,flowering time,NA,78,81
Triodia triaristata,dec-oct,flowering time,NA,78,81
Eriachne benthamii,dec-sep,flowering time,NA,78,81
Triodia intermedia,dec-sep,flowering time,NA,78,81
Psammagrostis wiseana,ephemeral,flowering time,NA,78,81
Sacciolepis indica,ephemeral,flowering time,NA,78,81
