Genus species,spp,age,date,N(%)_leaf,LMA(g/m2),gas_d15N_leaf,gas_ d13C_leaf
Acacia difficilis,AcaDif,adult,dry season (Sep 2010),1.92,103.7,-0.79,-30.31
Acacia difficilis,AcaDif,sapling,dry season (Sep 2010),2.05,109.3,-0.35,-30.01
Acacia latescens,AcaLat,adult,dry season (Sep 2010),2.65,111.2,-0.02,-30.93
Acacia latescens,AcaLat,sapling,dry season (Sep 2010),2.39,114,-0.4,-31.13
Acacia mimula,AcaMim,adult,dry season (Sep 2010),2.45,137.5,-1.07,-30.06
Acacia mimula,AcaMim,sapling,dry season (Sep 2010),2.42,147.1,-0.87,-29.59
Buchanania obovata,BucObo,adult,dry season (Sep 2010),1.38,111.2,0.5,-28.05
Buchanania obovata,BucObo,sapling,dry season (Sep 2010),1.23,132.2,0.84,-29.65
Corymbia bleeseri,CorBle,adult,dry season (Sep 2010),1.11,153.9,-0.32,-29.69
Corymbia bleeseri,CorBle,sapling,dry season (Sep 2010),1.11,167,-1.62,-29.28
Corymbia porrecta,CorPor,adult,dry season (Sep 2010),1.13,129,0.04,-28.65
Corymbia porrecta,CorPor,sapling,dry season (Sep 2010),1.09,156.7,-1.12,-29.42
Erythrophloem chlorostachys,EryChl,adult,dry season (Sep 2010),2.26,100.4,-1.11,-30.93
Erythrophloem chlorostachys,EryChl,sapling,dry season (Sep 2010),2.2,104.2,-1.19,-30.38
Eucalyptus miniata,EucMin,adult,dry season (Sep 2010),1.24,148.7,-1.1,-30.71
Eucalyptus miniata,EucMin,sapling,dry season (Sep 2010),1.24,168.1,-1.09,-30.35
Eucalyptus tetrodonta,EucTet,adult,dry season (Sep 2010),1.16,175.5,-0.44,-27.85
Eucalyptus tetrodonta,EucTet,sapling,dry season (Sep 2010),1.21,180.9,-1.6,-29.23
Grevillea decurrens,GreDec,adult,dry season (Sep 2010),1.26,86.1,1.81,-29.64
Grevillea decurrens,GreDec,sapling,dry season (Sep 2010),1.38,81.6,2.23,-29.76
Grevillea pteridifolia,GrePte,adult,dry season (Sep 2010),1.09,180,2.71,-28.8
Grevillea pteridifolia,GrePte,sapling,dry season (Sep 2010),1.15,156.2,2.46,-29.99
Lophostemon lactifluus,LopLac,adult,dry season (Sep 2010),1.16,121,-1.65,-31.12
Lophostemon lactifluus,LopLac,sapling,dry season (Sep 2010),1.1,152.5,0.33,-30.46
Persoonia falcata,PerFal,adult,dry season (Sep 2010),1.39,143.8,3.27,-31.53
Persoonia falcata,PerFal,sapling,dry season (Sep 2010),1.04,148.1,3.48,-31.94
Petalostigma pubescens,PetPub,adult,dry season (Sep 2010),1.08,112.2,0.23,-30.66
Petalostigma pubescens,PetPub,sapling,dry season (Sep 2010),1.17,120.6,0.45,-30.38
Planchonia careya,PlaCar,adult,dry season (Sep 2010),1.49,111.7,0.01,-28.72
Planchonia careya,PlaCar,sapling,dry season (Sep 2010),,,,
Stenocarpus cunninghamii,SteCun,adult,dry season (Sep 2010),0.98,151.8,2.37,-31.27
Stenocarpus cunninghamii,SteCun,sapling,dry season (Sep 2010),,,,
Xanthostemon paradoxus,XanPar,adult,dry season (Sep 2010),1.26,124.8,-0.28,-28.1
Xanthostemon paradoxus,XanPar,sapling,dry season (Sep 2010),,154.8,,
Acacia difficilis,AcaDif,adult,wet season (May 2011),2.04,94.8,-0.62,-29.56
Acacia difficilis,AcaDif,sapling,wet season (May 2011),2.45,90.7,-0.56,-29.85
Acacia latescens,AcaLat,adult,wet season (May 2011),1.88,146.7,-0.93,-30.09
Acacia latescens,AcaLat,sapling,wet season (May 2011),1.66,158.9,-1.77,-29.84
Acacia mimula,AcaMim,adult,wet season (May 2011),1.92,141.5,-1.31,-28.26
Acacia mimula,AcaMim,sapling,wet season (May 2011),1.9,158.6,-1.32,-28.65
Buchanania obovata,BucObo,adult,wet season (May 2011),0.49,194.2,-0.91,-27.07
Buchanania obovata,BucObo,sapling,wet season (May 2011),0.28,175,-0.835,-28.05
Cochlospermum fraseri,CocFra,adult,wet season (May 2011),1.08,57.8,-3.03,-27.94
Cochlospermum fraseri,CocFra,sapling,wet season (May 2011),1.9,59.3,-2.285,-28.275
Corymbia bleeseri,CorBle,adult,wet season (May 2011),0.89,187,-2.48,-28.71
Corymbia bleeseri,CorBle,sapling,wet season (May 2011),0.83,212.3,-2.23,-27.68
Corymbia porrecta,CorPor,adult,wet season (May 2011),0.89,190.4,-2.75,-29.33
Corymbia porrecta,CorPor,sapling,wet season (May 2011),0.86,217.7,-2.44,-28.64
Erythrophleum chlorostachys,EryChl,adult,wet season (May 2011),1.68,104.6,-1.03,-28.1
Erythrophleum chlorostachys,EryChl,sapling,wet season (May 2011),1.66,102,-1.85,-27.77
Eucalyptus miniata,EucMin,adult,wet season (May 2011),0.74,146.8,-2.49,-29.75
Eucalyptus miniata,EucMin,sapling,wet season (May 2011),0.53,176.3,-2.14,-29.14
Eucalyptus tetrodonta,EucTet,adult,wet season (May 2011),0.56,233.1,-2.03,-27.75
Eucalyptus tetrodonta,EucTet,sapling,wet season (May 2011),0.5,237.1,-3.49,-28.55
Grevillea decurrens,GreDec,adult,wet season (May 2011),0.83,98.2,0.7,-28.41
Grevillea decurrens,GreDec,sapling,wet season (May 2011),0.87,101.4,2.5,-27.47
Grevillea pteridifolia,GrePte,adult,wet season (May 2011),0.65,178,0.85,-29.52
Grevillea pteridifolia,GrePte,sapling,wet season (May 2011),0.7,148,0.28,-28.66
Lophostemon lactifluus,LopLac,adult,wet season (May 2011),0.9,110.7,-2.72,-29.11
Lophostemon lactifluus,LopLac,sapling,wet season (May 2011),0.88,136.1,-1.34,-28.66
Persoonia falcata,PerFal,adult,wet season (May 2011),0.43,162.8,2.63,-29.83
Persoonia falcata,PerFal,sapling,wet season (May 2011),0.52,161.4,3.34,-30.29
Petalostigma pubescens,PetPub,adult,wet season (May 2011),1.04,115.5,-0.05,-28.59
Petalostigma pubescens,PetPub,sapling,wet season (May 2011),1.1,134.3,0.22,-28.56
Planchonia careya,PlaCar,adult,wet season (May 2011),1.06,131.1,0.15,-27.31
