spp,Species
AcaDif,Acacia difficilis
AcaLat,Acacia latescens
AcaMim,Acacia mimula
BucObo,Buchanania obovata
CocFra,Cochlospermum fraseri
CorBle,Corymbia bleeseri
CorPor,Corymbia porrecta
EryChl,Erythrophloem chlorostachys
EucMin,Eucalyptus miniata
EucTet,Eucalyptus tetrodonta
GreDec,Grevillea decurrens
GrePte,Grevillea pteridifolia
LopLac,Lophostemon lactifluus
PerFal,Persoonia falcata
PetPub,Petalostigma pubescens
PlaCar,Planchonia careya
SteCun,Stenocarpus cunninghamii
XanPar,Xanthostemon paradoxus
